Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Garobadha,04/09/2018,2,Local,4000,5000,4500,
,11/09/2018,2,Local,4000,5000,4500,
,18/09/2018,2.5,Local,4000,5000,4500,
,25/09/2018,2,Local,4000,4500,4250,
Jowai,04/09/2018,15,Local,1500,2000,1800,
,21/09/2018,3,Local,1500,2000,1800,
Khliehriat,06/09/2018,1.95,Other,2000,3000,2500,
,14/09/2018,2,Other,2000,3000,2500,
,22/09/2018,2,Other,2000,3000,2500,
Nongstoin,01/09/2018,0.4,Other,3000,5000,4000,
Shillong,04/09/2018,22,Local,1200,1800,1600,
,05/09/2018,27.5,Local,1000,1800,1500,
,06/09/2018,20,Local,1500,2000,1800,
,10/09/2018,15,Local,2000,2400,2200,
,11/09/2018,25,Local,2000,2400,2250,
,12/09/2018,15,Local,1800,2400,2200,
,13/09/2018,25,Local,1900,2500,2250,
,14/09/2018,15,Local,1800,2400,2200,
,17/09/2018,10,Local,2000,2600,2400,
,18/09/2018,10,Local,2000,2700,2400,
,19/09/2018,15,Local,1600,2200,1800,
,20/09/2018,22,Local,1800,2200,2000,
,21/09/2018,12.5,Local,2000,2400,2200,
,24/09/2018,8,Local,2000,2500,2250,
,25/09/2018,12,Local,2000,2500,2200,
,26/09/2018,14,Local,1800,2400,2000,
,27/09/2018,15,Local,1800,2400,2300,
,28/09/2018,10,Local,1800,2500,2000,
Tura,21/09/2018,0.1, ,NR,NR,NR,
