Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Khliehriat,21/10/2019,3.05,Other,3500,4000,3750,
Shillong,01/10/2019,15,Local,3000,3800,3500,
,03/10/2019,14,Local,3000,3800,3500,
,04/10/2019,15,Local,2800,3800,3500,
,09/10/2019,15,Local,3000,4000,3500,
,10/10/2019,18,Local,3500,4000,3800,
,11/10/2019,10,Local,3000,4500,3850,
,14/10/2019,11,Local,3000,3500,3200,
,15/10/2019,15, ,NR,NR,NR,
,16/10/2019,17,Local,3000,3500,3200,
,17/10/2019,15,Local,3000,3800,3500,
,18/10/2019,14,Local,3000,3500,3200,
,21/10/2019,10,Local,3000,3800,3500,
,22/10/2019,16,Local,2800,3500,3200,
,23/10/2019,15,Local,2400,3000,2600,
,24/10/2019,15,Local,2500,3500,3000,
,25/10/2019,15,Local,2500,3500,3000,
,28/10/2019,10,Local,3000,4000,3750,
,29/10/2019,11,Local,3200,3800,3500,
,30/10/2019,18,Local,2800,3600,3450,
,31/10/2019,20,Local,2800,3600,3400,
