Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bowenpally,07/12/2019,150.6,Deshi,400,1400,1200,
,08/12/2019,236.6,Deshi,300,1200,1000,
,09/12/2019,153.5,Deshi,200,1600,1300,
,10/12/2019,379.7,Deshi,200,1200,1000,
,11/12/2019,253.2,Deshi,200,1200,1000,
,12/12/2019,183.3,Deshi,200,1400,1200,
,13/12/2019,140.9,Deshi,200,1000,800,
,14/12/2019,140.5,Deshi,200,1200,1000,
,15/12/2019,265.5,Deshi,200,1200,1000,
,16/12/2019,186.9,Deshi,200,1200,1000,
,17/12/2019,222.8,Deshi,200,1000,800,
,18/12/2019,201.9,Deshi,200,1200,1000,
,19/12/2019,163.8,Deshi,200,1000,800,
,20/12/2019,192.7,Deshi,200,1200,1000,
,21/12/2019,278.7,Deshi,200,1000,800,
,27/12/2019,167,Deshi,200,1000,800,
,28/12/2019,180.8,Deshi,200,1000,800,
,29/12/2019,221.6,Deshi,200,1200,1000,
,30/12/2019,161.4,Deshi,200,800,600,
,31/12/2019,149.2,Deshi,200,1200,800,
Gudimalkapur,01/12/2019,163.1,Deshi,600,1400,800,
,02/12/2019,93.9,Deshi,800,1400,1000,
,03/12/2019,129.6,Deshi,400,1400,800,
,04/12/2019,134.7,Deshi,400,1500,900,
,05/12/2019,199.7,Deshi,600,1400,800,
,06/12/2019,92.8,Deshi,400,1000,600,
,07/12/2019,110.4,Deshi,400,1000,600,
,08/12/2019,138.9,Deshi,400,1000,600,
,09/12/2019,100.3,Deshi,400,1200,800,
,10/12/2019,185.6,Deshi,400,1200,800,
,11/12/2019,151,Deshi,400,1000,600,
,12/12/2019,103.5,Deshi,400,800,600,
,13/12/2019,84.9,Deshi,300,800,500,
,14/12/2019,113.1,Deshi,400,800,600,
,15/12/2019,166.5,Deshi,300,800,500,
,16/12/2019,135.6,Deshi,300,700,400,
,17/12/2019,108.8,Deshi,200,800,400,
,18/12/2019,126.2,Deshi,200,600,400,
,19/12/2019,135.8,Deshi,400,800,600,
,20/12/2019,122.3,Deshi,200,600,400,
,21/12/2019,117.2,Deshi,200,600,400,
,22/12/2019,131.6,Deshi,200,600,300,
,23/12/2019,124.6,Deshi,200,600,400,
,24/12/2019,123.3,Deshi,200,600,400,
,25/12/2019,104.4,Deshi,200,600,400,
,27/12/2019,102.8,Deshi,400,600,500,
,28/12/2019,148.2,Deshi,400,800,600,
,29/12/2019,140.5,Deshi,400,800,600,
,30/12/2019,112.1,Deshi,400,800,600,
,31/12/2019,120,Deshi,200,600,400,
Ibrahimputnam,01/12/2019,4.5,Deshi,700,1000,800,
,02/12/2019,4,Deshi,1000,1200,1100,
,03/12/2019,4,Deshi,800,1000,900,
,10/12/2019,4.5,Deshi,1000,1500,1200,
,11/12/2019,4,Deshi,600,1000,800,
,12/12/2019,4,Deshi,800,1000,900,
,13/12/2019,4,Deshi,500,1000,800,
,14/12/2019,4,Deshi,600,1000,800,
,15/12/2019,4.5,Deshi,800,1200,1000,
,16/12/2019,4,Deshi,600,1000,800,
,17/12/2019,4,Deshi,600,1000,800,
,18/12/2019,4,Deshi,500,1000,800,
,19/12/2019,4,Deshi,500,1000,800,
,23/12/2019,4,Deshi,600,1200,1000,
,28/12/2019,4,Deshi,800,1200,1000,
,29/12/2019,4,Deshi,1000,1800,1500,
,30/12/2019,4,Deshi,800,1200,1000,
,31/12/2019,4,Deshi,600,1200,800,
Sangareddy,01/12/2019,1,Deshi,1800,2000,1900,
,02/12/2019,0.9,Deshi,1800,2000,1900,
,04/12/2019,1,Deshi,1600,1800,1700,
,05/12/2019,1,Deshi,1500,1700,1600,
,06/12/2019,0.8,Deshi,1600,1800,1700,
,07/12/2019,0.8,Deshi,1700,1900,1800,
,08/12/2019,1,Deshi,1500,1700,1600,
,09/12/2019,1.1,Deshi,1800,2000,1900,
,11/12/2019,0.8,Deshi,800,1000,900,
,12/12/2019,1,Deshi,700,900,800,
,13/12/2019,0.8,Deshi,800,1000,900,
,14/12/2019,0.8,Deshi,800,1000,900,
,15/12/2019,0.6, ,NR,NR,NR,
,16/12/2019,0.8,Deshi,800,1000,900,
,18/12/2019,1,Deshi,800,1000,900,
,19/12/2019,1,Deshi,800,1000,900,
,20/12/2019,0.8,Deshi,800,1000,900,
,21/12/2019,1,Deshi,900,1200,1000,
,22/12/2019,0.8,Deshi,800,1000,900,
,23/12/2019,1,Deshi,700,900,800,
,25/12/2019,1,Deshi,900,1200,1000,
,26/12/2019,1.1,Deshi,900,1200,1000,
,27/12/2019,1.2,Deshi,900,1100,1000,
,28/12/2019,0.8,Deshi,800,1000,900,
,29/12/2019,1,Deshi,800,1000,900,
Shadnagar,02/12/2019,0.1,Deshi,800,1200,900,
,03/12/2019,0.1,Deshi,800,1000,900,
,04/12/2019,0.1,Deshi,800,1200,900,
,06/12/2019,0.15,Deshi,400,1000,500,
,07/12/2019,0.2,Deshi,400,600,500,
,08/12/2019,0.1,Deshi,400,600,500,
,10/12/2019,0.1,Deshi,400,600,500,
,11/12/2019,0.1,Deshi,400,600,500,
,12/12/2019,0.12,Deshi,500,700,600,
,13/12/2019,0.1,Deshi,500,700,600,
,19/12/2019,0.1,Deshi,400,700,500,
,20/12/2019,0.1,Deshi,800,1000,900,
,21/12/2019,0.15,Deshi,800,1000,900,
,22/12/2019,0.15,Deshi,800,1000,900,
,23/12/2019,0.1,Deshi,300,500,400,
,24/12/2019,0.15,Deshi,400,500,400,
,25/12/2019,0.2,Deshi,300,500,400,
,26/12/2019,0.1,Deshi,300,500,400,
,29/12/2019,0.12,Deshi,300,500,400,
,30/12/2019,0.1,Deshi,300,500,400,
,31/12/2019,0.12,Deshi,300,500,400,
