Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Barpathari,01/11/2019,0.3,Tomato,5500,6000,5750,
,04/11/2019,0.4,Tomato,5500,6000,5750,
,08/11/2019,0.3,Tomato,5500,6000,5750,
,11/11/2019,0.4,Tomato,5500,6000,5750,
,15/11/2019,0.4,Tomato,5500,6000,5750,
,18/11/2019,0.3,Tomato,5000,5500,5250,
,22/11/2019,0.2,Tomato,6000,6500,6250,
,25/11/2019,0.2,Tomato,5000,5500,5250,
,29/11/2019,0.3,Tomato,5000,5500,5250,
Biokhora,12/11/2019,0.1,Hybrid,4000,4500,4500,
,14/11/2019,0.2,Hybrid,5000,7000,6000,
,15/11/2019,0.1,Hybrid,5000,7000,6000,
,16/11/2019,0.5,Hybrid,5000,8000,6000,
,17/11/2019,0.1,Hybrid,5000,6000,5500,
,19/11/2019,0.3,Hybrid,4500,6000,5000,
,23/11/2019,0.5,Hybrid,5000,6000,5500,
,24/11/2019,0.12,Hybrid,5000,6000,5500,
,26/11/2019,0.8,Hybrid,3500,5000,4000,
,27/11/2019,0.1,Hybrid,4000,5000,4500,
,28/11/2019,0.1,Hybrid,4000,5000,4500,
,29/11/2019,0.1,Hybrid,4000,5000,4500,
Bishalgarh,02/11/2019,0.6,Hybrid,5500,7000,6000,
,05/11/2019,0.5,Hybrid,6500,8000,7000,
,09/11/2019,0.5,Hybrid,6000,8000,7000,
,12/11/2019,0.5,Hybrid,5000,7000,6000,
,17/11/2019,0.5,Hybrid,5500,6500,6000,
,19/11/2019,0.6,Hybrid,5000,6000,5500,
,23/11/2019,0.5,Hybrid,4000,5000,4500,
,26/11/2019,0.6,Hybrid,4000,5000,4500,
,30/11/2019,0.6,Hybrid,4000,5000,4500,
Bishramganj,03/11/2019,0.6,Hybrid,6500,8000,7000,
,07/11/2019,0.6,Hybrid,5500,8000,7000,
,10/11/2019,0.5,Hybrid,6000,8000,7000,
,14/11/2019,0.6,Hybrid,4500,6000,5000,
,17/11/2019,0.5,Hybrid,5500,7000,6000,
,21/11/2019,0.6,Hybrid,5000,6000,5500,
,24/11/2019,0.6,Hybrid,4000,5000,4500,
,28/11/2019,0.6,Hybrid,4000,6000,5000,
Champaknagar,01/11/2019,0.2,Hybrid,7850,8000,7900,
,02/11/2019,0.1,Hybrid,7820,8000,7950,
,04/11/2019,0.4,Hybrid,7800,8000,7900,
,06/11/2019,0.1,Hybrid,7800,8000,7900,
,08/11/2019,0.2,Hybrid,7370,7500,7460,
,10/11/2019,0.1,Hybrid,5800,6000,5860,
,11/11/2019,0.2,Hybrid,6800,7000,6900,
,12/11/2019,0.15,Hybrid,5800,6000,5940,
,15/11/2019,0.2,Hybrid,7900,8000,7950,
,18/11/2019,0.2,Hybrid,5900,6000,5960,
,22/11/2019,0.3,Hybrid,4900,5000,4950,
,25/11/2019,0.2,Hybrid,5850,6000,5900,
,27/11/2019,0.1,Hybrid,4920,5000,4960,
,29/11/2019,0.2,Hybrid,4800,5000,4900,
Dasda,01/11/2019,3.5,Hybrid,3800,5000,4400,
,08/11/2019,2.7,Hybrid,5200,6000,5600,
,15/11/2019,2.3,Hybrid,4200,5000,4600,
,29/11/2019,0.8,Hybrid,4000,5000,4500,
Garjee,02/11/2019,1,Hybrid,5000,5500,5480,
,05/11/2019,1,Hybrid,6000,6500,6450,
,08/11/2019,2,Hybrid,5500,6000,5970,
,09/11/2019,1.3,Hybrid,6000,6500,6480,
,12/11/2019,2,Hybrid,4500,5000,4980,
,15/11/2019,1,Hybrid,5000,5500,5480,
,19/11/2019,1,Hybrid,5000,5500,5480,
,26/11/2019,2,Hybrid,3500,4000,3980,
Kadamtala,04/11/2019,0.2,Deshi,5500,5650,5550,
,06/11/2019,0.25,Deshi,4300,4500,4400,
,07/11/2019,0.25,Deshi,5500,5600,5550,
,10/11/2019,0.4,Deshi,4600,4800,4700,
