Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhainsa,03/07/2019,0.1,Finger,4519,5019,4619,
,04/07/2019,1.6,Bulb,5219,5219,5219,
,,,Finger,2121,5268,5268,
,06/07/2019,1.6,Finger,1656,5288,5288,
,08/07/2019,0.1,Finger,3229,3229,3229,
,09/07/2019,1.7,Finger,2209,5161,5151,
,11/07/2019,2.3,Finger,3209,5701,5401,
,19/07/2019,0.1,Finger,1519,2659,2659,
Gollapally,03/07/2019,0.3,Bulb,5000,5000,5000,
,,,Finger,5100,5100,5100,
,05/07/2019,0.2,Finger,5200,5200,5200,
,06/07/2019,0.3,Bulb,5100,5100,5100,
,,,Finger,5000,5000,5000,
,13/07/2019,1.9,Bulb,5300,5300,5300,
,,,Finger,5300,5300,5300,
,15/07/2019,2,Bulb,5000,5500,5100,
,,,Finger,5000,5500,5400,
,22/07/2019,0.6,Bulb,5500,5500,5500,
,,,Finger,5600,5600,5600,
Kesamudram,01/07/2019,86,Bulb,4129,6051,5759,
,,,Finger,3055,5861,5611,
,03/07/2019,286,Bulb,3719,6042,5621,
,,,Finger,4001,5919,5628,
,05/07/2019,196.8,Bulb,4089,6018,5721,
,,,Finger,4020,5823,5621,
,08/07/2019,304.3,Bulb,4109,6041,5551,
,,,Finger,3511,5861,5351,
,09/07/2019,320.9,Bulb,4019,5711,5411,
,,,Finger,4211,5842,5472,
,10/07/2019,200.3,Bulb,3409,5669,5621,
,,,Finger,3469,5851,5231,
,11/07/2019,233.9,Bulb,4251,5719,5311,
,,,Finger,3250,5821,5351,
,15/07/2019,109.1,Bulb,4059,5821,5721,
,,,Finger,4001,5829,5511,
,16/07/2019,146.6,Bulb,4239,6011,5851,
,,,Finger,4121,6011,5720,
,17/07/2019,147.5,Bulb,4189,6239,5969,
,,,Finger,4109,6111,5711,
,18/07/2019,133.1,Bulb,4100,6251,6019,
,,,Finger,4751,6151,5811,
,19/07/2019,86.1,Bulb,4400,6269,6159,
,,,Finger,3889,6185,5989,
,22/07/2019,114.3,Bulb,4655,6351,6051,
,,,Finger,4545,6108,5709,
,23/07/2019,145.4,Bulb,4019,6356,6351,
,,,Finger,4500,6205,5875,
,24/07/2019,126.5,Bulb,4521,6368,6121,
,,,Finger,4019,6219,5911,
,25/07/2019,186.4,Bulb,3389,6225,5809,
,,,Finger,3800,6051,6011,
,26/07/2019,99.1,Bulb,4509,6129,5651,
,,,Finger,4589,6169,5509,
,27/07/2019,0.1,Bulb,4500,5950,5800,
,,,Finger,4400,6050,5750,
,28/07/2019,0.1,Bulb,5500,5500,5500,
,,,Finger,5600,5600,5600,
,29/07/2019,0.1,Bulb,5850,5850,5850,
,,,Finger,5750,5750,5750,
,30/07/2019,92.3,Bulb,4355,6068,5609,
,,,Finger,4309,6035,5551,
,31/07/2019,191.6,Bulb,4689,6013,5409,
,,,Finger,4259,6066,5411,
Mahboob Manison,17/07/2019,2,Bulb,4000,7000,5000,
Nizamabad,01/07/2019,180.4,Bulb,4006,6239,5626,
,,,Finger,4006,6671,5758,
,03/07/2019,127.5,Bulb,4000,6092,5211,
,,,Finger,4006,6179,5835,
,04/07/2019,119.6,Bulb,4066,6129,5700,
,05/07/2019,142.1,Bulb,4106,6109,5827,
,,,Finger,4012,6353,6089,
,08/07/2019,269.3,Bulb,4106,6347,5947,
,,,Finger,4149,6769,6015,
,09/07/2019,200.1,Bulb,4006,6455,5506,
,,,Finger,4000,6808,6051,
,10/07/2019,199.5,Bulb,4001,6510,5425,
,,,Finger,4010,6892,5955,
,11/07/2019,126.2,Bulb,4000,6269,5785,
,,,Finger,4000,6415,6055,
