Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Faizabad,03/01/2020,2,Turmeric,10800,11300,11000,
,10/01/2020,1.8,Turmeric,10800,11200,11000,
,17/01/2020,2,Turmeric,10900,11250,11000,
,24/01/2020,1.8,Turmeric,10200,11000,10500,
,31/01/2020,1.6,Turmeric,10300,10800,10500,
Jafarganj,03/01/2020,2.5,Bulb,9200,9400,9300,
,10/01/2020,3,Bulb,9300,9500,9400,
,17/01/2020,4,Bulb,9450,9600,9500,
,24/01/2020,5,Bulb,9500,9700,9600,
,31/01/2020,4.5,Bulb,9600,9800,9700,
Sultanpur,10/01/2020,2,Dry,10700,11000,10800,
,17/01/2020,2.5,Dry,10700,11000,10800,
,24/01/2020,2.5,Dry,10700,11000,10850,
,31/01/2020,2,Dry,10700,11000,10800,
Vishalpur,17/01/2020,2,Bulb,9120,9180,9150,
,24/01/2020,1.2,Bulb,8960,9045,9005,
