Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambikapur,11/04/2018,1.5,Local,1740,1740,1740,
,30/04/2018,240,Other,1740,1740,1740,
Baikunthpur,05/04/2018,2.5,Other,1630,1630,1630,
,09/04/2018,1,Other,1630,1630,1630,
,16/04/2018,4.7,Other,1600,1630,1630,
,19/04/2018,4.3,Other,1630,1630,1630,
,28/04/2018,11.5,Other,1630,1630,1630,
Balodabazar,12/04/2018,309,Other,1465,1500,1465,
Baramkela,02/04/2018,70.7,Other,1600,1600,1600,
,03/04/2018,79.45,Other,1625,1630,1625,
,04/04/2018,147.38,Other,1580,1620,1600,
,05/04/2018,122,Other,1600,1600,1600,
,06/04/2018,110.57,Other,1580,1600,1590,
,07/04/2018,233.85,Other,1560,1600,1580,
,09/04/2018,22.42,Other,1600,1620,1600,
,11/04/2018,61.27,Other,1580,1600,1580,
,12/04/2018,133.61,Other,1550,1560,1550,
,13/04/2018,30,Other,1560,1560,1560,
,14/04/2018,51.74,Other,1580,1600,1580,
,16/04/2018,51.23,Other,1580,1580,1580,
,17/04/2018,6.6,Other,1600,1600,1600,
,20/04/2018,128.62,Other,1550,1600,1550,
,23/04/2018,94.66,Other,1540,1550,1550,
,26/04/2018,36.25,Other,1550,1550,1550,
Basana,17/04/2018,5,Deshi,1650,1650,1650,
Bazar Atriya,28/04/2018,8.1,Other,1300,1500,1400,
Bemetara,02/04/2018,55.9,Other,1525,1580,1550,
,03/04/2018,7.7,Other,1550,1550,1550,
,05/04/2018,84.7,Other,1470,1580,1575,
,06/04/2018,15.4,Other,1475,1550,1550,
,07/04/2018,211.9,Other,1470,1580,1550,
,08/04/2018,23.2,Other,1470,1560,1525,
,09/04/2018,112.1,Other,1470,1580,1550,
,10/04/2018,36.3,Other,1470,1560,1550,
,11/04/2018,52.3,Other,1530,1550,1530,
,12/04/2018,110.8,Other,1470,1550,1500,
,13/04/2018,178.6,Other,1500,1560,1550,
,15/04/2018,22,Other,1500,1500,1500,
,16/04/2018,54,Other,1500,1500,1500,
,17/04/2018,30.1,Other,1470,1575,1500,
,18/04/2018,46.6,Other,1550,1550,1550,
,20/04/2018,24.3,Other,1550,1560,1550,
,24/04/2018,1.2,Other,1480,1535,1480,
,25/04/2018,18.6,Other,1500,1550,1550,
,27/04/2018,8.9,Other,1524,1553,1524,
,30/04/2018,13.4,Other,1560,1560,1560,
Berla,04/04/2018,23.7,Other,1450,1500,1500,
,09/04/2018,114.2,Other,1450,1500,1450,
,10/04/2018,21,Other,1500,1500,1500,
,12/04/2018,22,Other,1500,1500,1500,
,15/04/2018,25.7,Other,1490,1500,1500,
,17/04/2018,14.1,Other,1490,1500,1500,
,19/04/2018,38.9,Other,1475,1525,1525,
,23/04/2018,42.5,Other,1470,1500,1500,
,25/04/2018,13.3,Other,1480,1500,1500,
,26/04/2018,10.6,Other,1480,1500,1500,
Bhatapara,02/04/2018,68,Local,1540,1578,1560,
,03/04/2018,143.3,Local,1541,1569,1564,
,04/04/2018,155.8,Local,1551,1575,1566,
,05/04/2018,138.7,Local,1540,1560,1550,
,06/04/2018,181.5,Local,1540,1575,1565,
,07/04/2018,219.1,Local,1540,1567,1564,
,09/04/2018,148.8,Local,1500,1575,1550,
,10/04/2018,131.6,Local,1500,1578,1566,
,11/04/2018,177.9,Local,1411,1571,1530,
,12/04/2018,151,Local,1480,1558,1548,
,13/04/2018,173.4,Local,1490,1545,1540,
,16/04/2018,129.3,Local,1400,1557,1544,
,17/04/2018,113.3,Local,1500,1556,1540,
,18/04/2018,52.6,Local,1525,1579,1550,
,19/04/2018,47.5,Local,1496,1566,1560,
,20/04/2018,53.6,Local,1550,1565,1560,
,21/04/2018,38.1, ,NR,NR,NR,
,23/04/2018,52.9,Local,1541,1601,1571,
,24/04/2018,43.8,Local,1598,1665,1620,
,25/04/2018,37.7,Local,1400,1599,1577,
,26/04/2018,73.8,Local,1580,1632,1610,
,27/04/2018,31,Local,1570,1641,1622,
,28/04/2018,25.9,Local,1600,1629,1611,
Bilaspur,05/04/2018,3.2,Local,1645,1645,1645,
,06/04/2018,6.6,Local,1645,1645,1645,
,07/04/2018,24.4,Local,1635,1635,1635,
,09/04/2018,44.4,Local,1626,1649,1649,
,10/04/2018,52.1,Local,1645,1655,1655,
,,,Other,1626,1649,1649,
,11/04/2018,74.4,Local,1605,1645,1645,
,12/04/2018,49,Local,1605,1645,1645,
,13/04/2018,69.4,Local,1620,1642,1642,
,16/04/2018,139.2,Local,1609,1635,1631,
,18/04/2018,132.9,Local,1605,1655,1615,
,19/04/2018,43.9,Local,1620,1630,1630,
,20/04/2018,1.8,Local,1616,1616,1616,
,21/04/2018,12.2, ,NR,NR,NR,
,23/04/2018,21.9,Local,1615,1635,1620,
,24/04/2018,22.3,Local,1625,1628,1625,
,25/04/2018,31.6,Local,1627,1646,1627,
,26/04/2018,18,Local,1643,1645,1643,
,27/04/2018,21.7,Local,1635,1645,1635,
,28/04/2018,30.4,Local,1638,1646,1638,
Bilha,16/04/2018,20.1,Local,1545,1555,1550,
,27/04/2018,4.3,Local,1600,1600,1600,
Chandrapur,12/04/2018,503,Coarse,1500,1500,1500,
,18/04/2018,60,Coarse,1500,1500,1500,
Charama,30/04/2018,6,Other,2000,2000,2000,
Dondi,09/04/2018,1.5,147 Average,1600,1600,1600,
Durg,18/04/2018,1672.4,Deshi,1500,1800,1650,
,24/04/2018,855.7,Deshi,1500,1675,1587,
,27/04/2018,598,Deshi,1500,1660,1580,
Gandai,16/04/2018,16,147 Average,1400,1740,1735,
,18/04/2018,9.6,147 Average,1500,1750,1735,
,21/04/2018,33.5, ,NR,NR,NR,
,26/04/2018,31,147 Average,1400,1740,1735,
,28/04/2018,18.9,147 Average,1500,1740,1735,
,30/04/2018,32.4,147 Average,1400,1740,1735,
Katghora,26/04/2018,2,Medium,1800,1800,1800,
Kawardha,03/04/2018,1.4,Deshi,1587,1590,1589,
,04/04/2018,1.6,Deshi,1558,1599,1590,
,05/04/2018,1.1,Deshi,802,1570,1526,
,07/04/2018,1.1,Deshi,1500,1580,1550,
,16/04/2018,5.1,Deshi,1521,1583,1531,
,17/04/2018,1.7,Deshi,1310,1575,1530,
,20/04/2018,1.7, ,NR,NR,NR,
,22/04/2018,0.5, ,NR,NR,NR,
,23/04/2018,2.5,Deshi,1500,1562,1550,
,24/04/2018,0.8,Deshi,1500,1556,1540,
,26/04/2018,0.4,Deshi,1500,1577,1550,
,28/04/2018,16.5,Deshi,1515,1572,1560,
,29/04/2018,1.5,Deshi,1500,1555,1550,
Khamhariya,04/04/2018,17.8,Other,1525,1550,1550,
,19/04/2018,13,Other,1520,1520,1520,
,20/04/2018,9.6,Other,1550,1550,1550,
Kharsiya,26/04/2018,1,Other,1900,1900,1900,
,27/04/2018,1,Other,1900,1900,1900,
Kheragarh,21/04/2018,395,Other,1300,1500,1400,
,23/04/2018,42,Other,1500,1500,1500,
,28/04/2018,2355,Other,1300,1500,1400,
Kotba,13/04/2018,10,Other,1700,1700,1700,
Lormi,25/04/2018,2.5,Local,1550,1550,1550,
Manendragarh,04/04/2018,10.5,Deshi,2010,2010,2010,
,06/04/2018,5.1,Deshi,2021,2021,2021,
,14/04/2018,11,Deshi,2151,2151,2151,
,,,Local,1975,1975,1975,
,,,Other,2025,2025,2025,
,15/04/2018,5,Deshi,1960,1960,1960,
,16/04/2018,6,Deshi,1950,1950,1950,
,23/04/2018,12,Deshi,2035,2105,2105,
,24/04/2018,30,Deshi,2250,2250,2250,
,25/04/2018,8,Deshi,1960,2030,2030,
Munguli,03/04/2018,0.1,Local,1550,1550,1550,
,04/04/2018,4.6,Local,1500,1582,1550,
,05/04/2018,5.8,Local,1500,1560,1540,
,06/04/2018,1.8,Local,1500,1600,1540,
,07/04/2018,3.4,Local,1500,1540,1510,
,09/04/2018,9.4,Local,1470,1560,1520,
,10/04/2018,2.5,Local,1490,1560,1530,
,11/04/2018,4.3,Local,1470,1510,1490,
,12/04/2018,2.2,Local,1490,1570,1530,
,13/04/2018,9.2,Local,1490,1520,1510,
,16/04/2018,7.1,Local,1490,1570,1540,
,17/04/2018,5.7,Local,1450,1540,1490,
,18/04/2018,2.3,Local,1480,1530,1510,
,19/04/2018,0.5,Local,1520,1520,1520,
,20/04/2018,4.5,Local,1510,1540,1520,
,21/04/2018,8.3, ,NR,NR,NR,
,23/04/2018,14.3,Local,1500,1570,1540,
,24/04/2018,5.7,Local,1500,1550,1530,
,25/04/2018,4.8,Local,1490,1560,1540,
,26/04/2018,16.8,Local,1450,1600,1540,
,27/04/2018,1.3,Local,1490,1545,1520,
,28/04/2018,9.8,Local,1510,1680,1600,
Naila,24/04/2018,740,Deshi,200,200,200,
Neora,03/04/2018,7.8,Other,1500,1560,1555,
,06/04/2018,5.3,Other,1520,1560,1530,
,09/04/2018,4.7,Other,1530,1560,1540,
,10/04/2018,17.3,Other,1530,1550,1540,
,12/04/2018,26.1,Other,1545,1555,1550,
,13/04/2018,19.4,Other,1500,1550,1525,
,16/04/2018,22.4,Other,1500,1550,1525,
,18/04/2018,46.9,Other,1520,1550,1530,
,20/04/2018,3.2,Other,1530,1550,1540,
,21/04/2018,28.1, ,NR,NR,NR,
,24/04/2018,28.4,Other,1500,1530,1520,
,26/04/2018,24.5,Other,1500,1550,1525,
,27/04/2018,5.5,Other,1550,1550,1550,
,28/04/2018,24.9,Other,1500,1560,1550,
Pandariya,17/04/2018,2.6,Local,1500,1500,1500,
,21/04/2018,4.1,Local,1520,1550,1535,
,24/04/2018,5,Local,1525,1530,1527,
Pathalgaon,20/04/2018,3,Local,1700,1700,1700,
,23/04/2018,3, ,NR,NR,NR,
,26/04/2018,10,Local,1700,1700,1700,
,30/04/2018,34.5,Local,1650,1650,1650,
Pendraroad,17/04/2018,7.5,Local,1550,1550,1550,
,20/04/2018,5.1,Local,1440,1450,1450,
,21/04/2018,50.7,Local,1500,1600,1500,
,24/04/2018,7.5,Local,1600,1600,1600,
