Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,03/02/2018,8.66,White,1850,1980,1920,
,04/02/2018,9.57,White,1750,1890,1850,
,08/02/2018,8.45,White,1780,1890,1840,
,09/02/2018,6.88,White,1700,1850,1800,
,14/02/2018,7.66,White,1700,1920,1900,
,20/02/2018,8.32,White,1700,1850,1800,
,23/02/2018,8.55,White,1700,1890,1800,
,25/02/2018,7.66,White,1700,1890,1800,
,26/02/2018,11.88,White,1700,1890,1800,
,27/02/2018,13.88,White,1700,1920,1900,
,28/02/2018,8.77,White,1600,1900,1850,
