Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,12/04/2018,396,H.D.,1850,1950,1900,
Arasikere,30/04/2018,2,Local,2270,2270,2270,
Athani,15/04/2018,5,H.D.,1300,1500,1400,
Bagalakot,03/04/2018,5,Sona,1700,1700,1700,
,04/04/2018,2,Sona,1700,1700,1700,
,07/04/2018,1,Sona,1650,1700,1673,
,09/04/2018,1,Sona,1700,1700,1700,
,10/04/2018,3,Sona,1400,1700,1560,
,11/04/2018,5,Sona,1700,1700,1700,
,13/04/2018,21,Sona,1700,1750,1710,
,17/04/2018,5,Sona,1171,1171,1171,
,26/04/2018,6,Sona,1711,1750,1742,
,28/04/2018,8,Sona,1725,1750,1746,
,30/04/2018,2,Sona,1750,1750,1750,
Bangalore,02/04/2018,178,Local,2300,3300,2800,
,03/04/2018,123,Local,2300,3300,2800,
,04/04/2018,70,Local,2300,3300,2800,
,05/04/2018,134,Local,2300,3300,2800,
,06/04/2018,118,Local,2300,3300,2800,
,07/04/2018,123,Local,2300,3300,2800,
,09/04/2018,228,Local,2300,3300,2800,
,10/04/2018,191,Local,2300,3300,2800,
,11/04/2018,25,Local,2300,3300,2800,
,12/04/2018,175,Local,2300,3300,2800,
,13/04/2018,90,Local,2300,3300,2800,
,16/04/2018,147,Local,2300,3300,2800,
,17/04/2018,10,Local,2300,3300,2800,
,19/04/2018,107,Local,2300,3300,2800,
,26/04/2018,26,Local,2300,3300,2800,
,27/04/2018,125,Local,2300,3300,2800,
,28/04/2018,51,Local,2300,3300,2800,
,30/04/2018,176,Local,2300,3300,2800,
Basava Kalayana,02/04/2018,12,Medium,1100,1460,1300,
,,,Mexican,1500,1700,1600,
,03/04/2018,8,Medium,1350,1450,1400,
,,,Mexican,1500,1800,1700,
,04/04/2018,3,Medium,1200,1481,1350,
,,,Mexican,1450,1681,1500,
,05/04/2018,5,Medium,1200,1450,1300,
,,,Mexican,1500,1900,1650,
,06/04/2018,5,Medium,1100,1561,1400,
,,,Mexican,1450,1760,1500,
,07/04/2018,6,Medium,1400,1500,1450,
,,,Mexican,1450,1700,1650,
,09/04/2018,6,Medium,1200,1550,1400,
,,,Mexican,1350,1800,1700,
,10/04/2018,5,Medium,1250,1550,1450,
,,,Mexican,1450,1650,1500,
,11/04/2018,3,Medium,1200,1550,1350,
,,,Mexican,1450,1750,1600,
,12/04/2018,3,Medium,1450,1550,1490,
,,,Mexican,1500,1750,1600,
,13/04/2018,3,Medium,1200,1550,1450,
,,,Mexican,1550,1701,1680,
,26/04/2018,3,Medium,1450,1611,1500,
,,,Mexican,1500,1690,1580,
,27/04/2018,3,Medium,1100,1550,1500,
,,,Mexican,1400,1800,1600,
,28/04/2018,3,Medium,1000,1520,1400,
,,,Mexican,1400,1711,1600,
,30/04/2018,3,Medium,1200,1550,1450,
,,,Mexican,1550,1750,1600,
Bellary,09/04/2018,1,Sona,1520,1601,1574,
Bhadravathi,07/04/2018,1,Local,2800,2800,2800,
,10/04/2018,6,Local,2130,2130,2130,
Bidar,02/04/2018,9,Red,1800,2400,2100,
,03/04/2018,6,Red,1900,2400,2100,
,04/04/2018,5,Red,1800,2400,2000,
,05/04/2018,7,Red,1900,2400,2100,
,06/04/2018,5,Red,1900,2400,2100,
,07/04/2018,6,Red,1900,2400,2200,
,09/04/2018,5,Red,1900,2400,2200,
,10/04/2018,7,Red,2000,2500,2200,
,11/04/2018,6,Red,1800,2500,2100,
,12/04/2018,4,Red,2000,2500,2100,
,13/04/2018,6,Red,1900,2500,2300,
,17/04/2018,5,Red,2000,2500,2200,
,19/04/2018,4,Red,2000,2500,2100,
,26/04/2018,6,Red,2000,2500,2100,
,27/04/2018,5,Red,2000,2500,2100,
,28/04/2018,6,Red,1900,2500,2200,
,30/04/2018,4,Red,1900,2500,2100,
Bijapur,02/04/2018,1, ,1800,2200,2000,
,,,Bansi,3000,3500,3250,
,,,Sona,1800,2200,2000,
,03/04/2018,2,Medium,1200,1400,1300,
,06/04/2018,1, ,1800,2200,2000,
,,,Bansi,3000,3500,3250,
,,,Sona,1800,2200,2000,
,09/04/2018,6, ,1800,2200,2000,
,,,Bansi,3000,3500,3250,
,,,Sona,1800,2200,2000,
,10/04/2018,1, ,1800,2200,2000,
,,,Bansi,3000,3500,3250,
,,,Sona,1800,2200,2000,
,11/04/2018,2, ,1800,2200,2000,
,,,Bansi,3000,3500,3250,
,,,Sona,1800,2200,2000,
,12/04/2018,10, ,1800,2200,2000,
,,,Bansi,3000,3500,3250,
,,,Medium,1100,1200,1150,
,,,Sona,1800,2200,2000,
,16/04/2018,28, ,1800,2200,2000,
,,,Bansi,2800,3500,3200,
,,,Medium,1200,1500,1400,
,,,Sona,1800,2200,2000,
,27/04/2018,18,Medium,1200,1400,1300,
Davangere,06/04/2018,8,Super Fine,2200,2300,2250,
,13/04/2018,31,Super Fine,2200,2300,2250,
,20/04/2018,26,Super Fine,2100,2200,2150,
,27/04/2018,13,Super Fine,2200,2300,2250,
Dharwar,05/04/2018,22,H.D.,1800,1890,1845,
,09/04/2018,1,H.D.,1721,1750,1733,
,10/04/2018,21,H.D.,1710,1830,1770,
,11/04/2018,1,H.D.,2400,2400,2400,
,12/04/2018,18,H.D.,1800,1800,1800,
,13/04/2018,3,H.D.,1600,1600,1600,
,21/04/2018,14,H.D.,1720,1840,1780,
,25/04/2018,12,H.D.,1925,1925,1925,
,27/04/2018,17,H.D.,1710,1850,1780,
,28/04/2018,10,H.D.,1825,1825,1825,
,30/04/2018,4,H.D.,1825,1825,1825,
Gadag,02/04/2018,10,White,1451,2509,1776,
,03/04/2018,33,White,1101,2762,1744,
,04/04/2018,16,White,1019,2500,2024,
,05/04/2018,189,White,1319,3178,1656,
,06/04/2018,26,White,1401,2408,1795,
,07/04/2018,42,White,1127,2728,1801,
,09/04/2018,40,White,961,2850,1678,
,10/04/2018,20,White,1551,2611,1860,
,11/04/2018,18,White,1304,2738,1910,
,12/04/2018,34,White,1358,2711,1673,
,13/04/2018,23,White,1422,2779,1912,
,26/04/2018,19,White,1563,1800,1760,
,27/04/2018,4,White,1311,2302,1916,
,28/04/2018,30,White,1101,2069,1639,
,30/04/2018,14,White,1439,2862,1723,
Gangavathi,02/04/2018,34,Local,1700,1710,1705,
,05/04/2018,33,Local,2240,2260,2253,
,09/04/2018,8,Local,1690,1690,1690,
,11/04/2018,6,Local,1800,1800,1800,
,16/04/2018,76,Local,1690,1700,1690,
,27/04/2018,56,Local,1690,1690,1690,
,30/04/2018,37,Local,1705,1725,1720,
Gulbarga,02/04/2018,7, ,2050,2750,2250,
,03/04/2018,2, ,1525,2750,2185,
,04/04/2018,3, ,1845,2752,2322,
,05/04/2018,3, ,1525,2750,2250,
,06/04/2018,2, ,1525,2750,2215,
,07/04/2018,2, ,1528,2752,2216,
,09/04/2018,1, ,1522,2748,2212,
,10/04/2018,2, ,1525,2752,2215,
,11/04/2018,2, ,1530,2760,2220,
,12/04/2018,8, ,1825,2752,2265,
,13/04/2018,2, ,2125,2750,2425,
,26/04/2018,3, ,1525,2750,2365,
,27/04/2018,3, ,1525,2750,2400,
,28/04/2018,10, ,1250,2000,1750,
,30/04/2018,10, ,1255,2008,1752,
Hassan,30/04/2018,2508,Other,2177,2500,2204,
Hubli (Amaragol),02/04/2018,5,Local,1339,1829,1552,
,03/04/2018,5,Local,1509,2016,1729,
,04/04/2018,3,Local,1489,1709,1489,
,05/04/2018,1,Local,1439,1889,1708,
,06/04/2018,6,Local,1349,2039,1715,
,07/04/2018,1,Local,1650,2202,1652,
,09/04/2018,3,Local,1319,2239,1869,
,11/04/2018,2,Local,1619,2251,1819,
,12/04/2018,1,Local,1539,2139,1702,
,13/04/2018,2,Local,1563,2219,1819,
,14/04/2018,1,Local,1809,2129,1809,
,17/04/2018,9,Local,1339,2189,1709,
,26/04/2018,4,Local,1536,2239,2019,
,28/04/2018,4,Local,1089,2089,1615,
,30/04/2018,3,Local,1499,1789,1609,
Hungund,07/04/2018,7,Local,1700,1700,1700,
,26/04/2018,12,Local,1800,1800,1800,
Jamakhandi,02/04/2018,12,Other,1500,1650,1600,
,03/04/2018,14,Kirthi,1700,1850,1800,
,04/04/2018,15,Kirthi,1700,1900,1800,
,07/04/2018,15,Kirthi,1650,1750,1700,
,09/04/2018,19,Kirthi,1650,1750,1700,
,11/04/2018,15,Other,1500,1700,1600,
,12/04/2018,27,Other,1450,1550,1500,
,13/04/2018,27,Other,1500,1650,1600,
,19/04/2018,73,Kirthi,1700,1900,1800,
,,,Other,1550,1650,1600,
,21/04/2018,12,Other,1450,1550,1500,
,23/04/2018,38,Kirthi,1600,1800,1700,
,,,Other,1500,1650,1600,
,24/04/2018,42,Other,1450,1550,1500,
,26/04/2018,26,Kirthi,1700,1950,1850,
,28/04/2018,31,Other,1400,1600,1500,
,30/04/2018,26,Kirthi,1900,2200,2000,
,,,Other,1550,1650,1600,
K.R.Nagar,30/04/2018,1000,Bansi,2500,2500,2500,
Kudchi,13/04/2018,12,Other,1400,1600,1500,
,16/04/2018,31,Other,1400,1600,1500,
Laxmeshwar,02/04/2018,3,Red,1219,2305,1615,
,06/04/2018,2,White,1360,2174,1688,
,09/04/2018,1,Red,1371,1825,1514,
,26/04/2018,1,Red,1320,2069,1444,
,27/04/2018,1,Red,1270,2121,1467,
Mandya,06/04/2018,3,Other,2470,2470,2470,
Mysore (Bandipalya),02/04/2018,74,Local,2400,3000,2700,
,03/04/2018,33,Local,2400,3000,2700,
,04/04/2018,3,Local,2400,3000,2700,
,05/04/2018,3,Local,2400,3000,2700,
,07/04/2018,17,Local,2400,3000,2700,
,09/04/2018,42,Local,2400,3000,2700,
,10/04/2018,11,Local,2400,3000,2700,
,11/04/2018,11,Local,2400,3000,2700,
,12/04/2018,6,Local,2400,3000,2700,
,16/04/2018,5,Local,2400,2800,2600,
,17/04/2018,21,Local,2400,2800,2600,
,28/04/2018,15,Local,2400,2800,2600,
,30/04/2018,17,Local,2500,2800,2650,
