Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,01/03/2018,21,Other,1650,1725,1687,
,03/03/2018,26,Other,1671,1829,1750,
,05/03/2018,25,Other,1661,1751,1706,
,06/03/2018,49,Other,1671,1761,1716,
,07/03/2018,25,Other,1661,1781,1721,
,08/03/2018,31,Other,1661,1800,1730,
,09/03/2018,36,Other,1650,1850,1750,
,10/03/2018,14,Other,1671,1775,1723,
,12/03/2018,29,Other,1650,1751,1700,
,13/03/2018,30,Other,1661,1731,1696,
,14/03/2018,62,Other,1661,1775,1718,
,16/03/2018,25,Other,1670,1800,1735,
,17/03/2018,31,Other,1651,1800,1725,
,20/03/2018,28,Other,1665,1751,1708,
,21/03/2018,27,Other,1661,1821,1741,
,22/03/2018,22,Other,1661,1800,1730,
,23/03/2018,14,Other,1661,1700,1680,
,24/03/2018,25,Other,1665,1751,1708,
,26/03/2018,14,Other,1641,1675,1658,
Ahmedpur,07/03/2018,2,Other,1450,1600,1525,
,08/03/2018,2,Other,1350,1550,1450,
,09/03/2018,3,Other,1300,1725,1512,
,10/03/2018,2,Other,1350,1621,1485,
,12/03/2018,4,Other,1350,1641,1495,
,13/03/2018,2,Other,1350,1656,1503,
,15/03/2018,1,Other,1575,1575,1575,
,16/03/2018,2,Other,1350,1750,1550,
,20/03/2018,2,Other,1500,1650,1575,
,21/03/2018,1,Other,1350,1842,1596,
,23/03/2018,3,Other,1350,1620,1485,
,24/03/2018,2,Other,1300,1600,1450,
,26/03/2018,1,Other,1250,1500,1325,
,27/03/2018,2,Other,1600,1800,1700,
,28/03/2018,2,Other,1400,1650,1525,
Akhadabalapur,10/03/2018,3,Maharashtra 2189,1700,1700,1700,
,14/03/2018,17,Maharashtra 2189,1600,1700,1650,
,17/03/2018,2,Maharashtra 2189,1600,1700,1650,
,20/03/2018,3,Maharashtra 2189,1600,1700,1650,
,24/03/2018,2,Maharashtra 2189,1700,1800,1750,
,29/03/2018,2,Maharashtra 2189,1600,1700,1650,
,30/03/2018,9,Maharashtra 2189,1600,1700,1650,
Akluj,21/03/2018,9,Other,1575,1650,1600,
Akola,01/03/2018,3,Other,1575,1650,1610,
,,,Sharbati,2100,2400,2250,
,06/03/2018,1,Other,1700,1750,1725,
,,,Sharbati,2150,3125,2640,
,07/03/2018,1,Other,1400,1600,1500,
,,,Sharbati,2250,3250,2750,
,08/03/2018,4,Other,1400,1650,1525,
,,,Sharbati,2100,2400,2250,
,10/03/2018,4,Other,1621,1800,1710,
,,,Sharbati,2100,3100,2600,
,12/03/2018,1,Other,1300,1600,1450,
,,,Sharbati,2100,2400,2250,
,13/03/2018,9,Other,1550,1900,1725,
,14/03/2018,2,Other,1475,1750,1610,
,,,Sharbati,2100,3200,2650,
,16/03/2018,3,Other,1625,1790,1710,
,,,Sharbati,2150,2400,2275,
,17/03/2018,7,Other,1650,1740,1695,
,,,Sharbati,2050,2400,2225,
,19/03/2018,6,Other,1500,1710,1605,
,,,Sharbati,2150,2400,2275,
,20/03/2018,5,Other,1525,1800,1660,
,,,Sharbati,2250,3200,2725,
,21/03/2018,5,Other,1565,1850,1710,
,,,Sharbati,2100,2400,2250,
,22/03/2018,5,Other,1575,1775,1675,
,,,Sharbati,2250,3250,2750,
,23/03/2018,3,Other,1550,1750,1650,
,,,Sharbati,2100,2500,2300,
,24/03/2018,2,Other,1550,1790,1670,
,,,Sharbati,2100,2400,2250,
,28/03/2018,6,Other,1525,1750,1640,
,,,Sharbati,2000,2500,2250,
Akole,02/03/2018,6,Maharashtra 2189,1600,2200,1700,
,23/03/2018,3,Maharashtra 2189,1500,2200,1700,
Akot,06/03/2018,35,147 Average,1671,1781,1700,
,07/03/2018,30,147 Average,1600,1850,1800,
,14/03/2018,63,147 Average,1650,1790,1700,
,19/03/2018,190,147 Average,1665,1771,1700,
,20/03/2018,75,147 Average,1670,1800,1750,
,22/03/2018,180,147 Average,1476,1720,1520,
Amalner,01/03/2018,9,Other,1500,1816,1816,
,03/03/2018,10,Other,1700,1851,1851,
,05/03/2018,9,Other,1635,1821,1821,
,06/03/2018,10,Other,1651,2007,2007,
,07/03/2018,13,Other,1685,1700,1700,
,08/03/2018,17,Other,1685,1760,1760,
,09/03/2018,21,Other,1675,1896,1896,
,10/03/2018,14,Other,1685,1775,1775,
,12/03/2018,16,Other,1691,1830,1830,
,13/03/2018,20,Other,1600,1891,1891,
,14/03/2018,20,Other,1665,1725,1725,
,15/03/2018,25,Other,1775,1800,1800,
,16/03/2018,30,Other,1681,2061,2061,
,17/03/2018,32,Other,1712,1925,1925,
,19/03/2018,35,Other,1690,1745,1745,
,20/03/2018,41,Other,1661,1761,1761,
,21/03/2018,40,Other,1651,1801,1801,
,22/03/2018,70,Other,1655,1850,1850,
