Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bagalakot,02/12/2006,304, ,NR,NR,NR,
Bagalakot,09/12/2006,242, ,NR,NR,NR,
Bagalakot,16/12/2006,303, ,NR,NR,NR,
Bailahongal,01/12/2006,62,Local,270,500,500,
Bailahongal,22/12/2006,3,Local,200,400,300,
Bangalore,01/12/2006,3032,Bangalore-Samall,600,750,675,
Bangalore,04/12/2006,4015, ,NR,NR,NR,
Bangalore,05/12/2006,3010, ,NR,NR,NR,
Bangalore,06/12/2006,1896, ,NR,NR,NR,
Bangalore,14/12/2006,2656, ,NR,NR,NR,
Bangalore,15/12/2006,2425,Bangalore-Samall,300,400,350,
Bangalore,16/12/2006,2833, ,NR,NR,NR,
Bangalore,18/12/2006,3152,Bangalore-Samall,300,350,325,
Bangalore,19/12/2006,2622,Bangalore-Samall,300,400,350,
Bangalore,20/12/2006,1796,Bangalore-Samall,300,450,375,
Bangalore,23/12/2006,1720,Bangalore-Samall,350,450,400,
Bangalore,26/12/2006,3691,Bangalore-Samall,400,500,450,
Bangalore,27/12/2006,2222,Bangalore-Samall,550,650,600,
Basava Kalayana,29/12/2006,3,Pusa-Red,951,1111,1050,
Belgaum,02/12/2006,723, ,NR,NR,NR,
Belgaum,06/12/2006,213,White,200,600,350,
Belgaum,07/12/2006,17,White,200,600,350,
Belgaum,09/12/2006,969, ,NR,NR,NR,
Belgaum,10/12/2006,35, ,NR,NR,NR,
Belgaum,13/12/2006,1149, ,NR,NR,NR,
Belgaum,14/12/2006,77, ,NR,NR,NR,
Belgaum,15/12/2006,3, ,NR,NR,NR,
Belgaum,16/12/2006,990,White,200,700,500,
Belgaum,18/12/2006,51,White,200,700,500,
Belgaum,20/12/2006,707, ,NR,NR,NR,
Belgaum,21/12/2006,19, ,NR,NR,NR,
Belgaum,23/12/2006,560,White,250,900,700,
Belgaum,24/12/2006,22, ,NR,NR,NR,
Belgaum,31/12/2006,39,Pusa-Red,200,950,600,
Bellary,30/12/2006,15,Onion,420,650,455,
Bijapur,04/12/2006,230, ,NR,NR,NR,
Bijapur,07/12/2006,144, ,NR,NR,NR,
Bijapur,18/12/2006,211, ,NR,NR,NR,
Bijapur,21/12/2006,70, ,NR,NR,NR,
Bijapur,26/12/2006,120, ,NR,NR,NR,
Challakere,11/12/2006,10,Beelary-Red,255,400,380,
Chickkaballapura,02/12/2006,17, ,200,300,250,
Chickkaballapura,02/12/2006,17,Beelary-Red,300,500,400,
Chickkaballapura,06/12/2006,15,Beelary-Red,300,500,400,
Chickkaballapura,09/12/2006,14, ,200,300,250,
Chickkaballapura,09/12/2006,14,Beelary-Red,300,500,400,
Chickkaballapura,12/12/2006,9, ,200,300,250,
Chickkaballapura,16/12/2006,10, ,200,300,250,
Chickkaballapura,16/12/2006,10,Beelary-Red,300,600,400,
Chickkaballapura,20/12/2006,12, ,200,300,250,
Chickkaballapura,20/12/2006,12,Beelary-Red,300,500,400,
Chickkaballapura,23/12/2006,17, ,200,300,250,
Chickkaballapura,23/12/2006,17,Beelary-Red,500,800,600,
Chikkamagalore,02/12/2006,1,Local,375,425,400,
Chikkamagalore,05/12/2006,1,Local,475,525,500,
Chikkamagalore,06/12/2006,20,Local,385,425,405,
Chikkamagalore,20/12/2006,14,Local,460,540,500,
Chintamani,01/12/2006,7,Local,400,600,500,
Davangere,02/12/2006,20, ,NR,NR,NR,
Davangere,04/12/2006,40, ,NR,NR,NR,
Davangere,05/12/2006,30, ,NR,NR,NR,
Davangere,06/12/2006,80, ,NR,NR,NR,
Davangere,07/12/2006,85, ,NR,NR,NR,
Davangere,08/12/2006,45, ,NR,NR,NR,
Davangere,11/12/2006,80, ,NR,NR,NR,
Davangere,13/12/2006,100, ,NR,NR,NR,
Davangere,15/12/2006,60, ,NR,NR,NR,
Davangere,16/12/2006,30, ,NR,NR,NR,
Davangere,18/12/2006,90, ,NR,NR,NR,
Davangere,19/12/2006,60, ,NR,NR,NR,
Davangere,20/12/2006,70, ,NR,NR,NR,
Davangere,21/12/2006,60, ,NR,NR,NR,
Davangere,22/12/2006,60,Onion,200,800,475,
Davangere,23/12/2006,70, ,NR,NR,NR,
Davangere,26/12/2006,60,Onion,200,1100,500,
Davangere,27/12/2006,90,Onion,200,1100,550,
Doddaballa Pur,07/12/2006,11,Bangalore-Samall,400,600,500,
Gadag,01/12/2006,150, ,NR,NR,NR,
Gundlupet,08/12/2006,84,Local,350,367,355,
Gundlupet,11/12/2006,10, ,NR,NR,NR,
Gundlupet,15/12/2006,48,Local,350,367,354,
Gundlupet,22/12/2006,36,Local,350,367,356,
Hanagal,26/12/2006,4,Local,250,250,250,
Hassan,08/12/2006,10, ,NR,NR,NR,
Hassan,14/12/2006,77, ,NR,NR,NR,
Hassan,20/12/2006,357,Local,200,700,450,
Hassan,21/12/2006,40,Local,200,700,450,
Honnali,04/12/2006,10, ,NR,NR,NR,
Honnali,05/12/2006,8, ,NR,NR,NR,
Honnali,07/12/2006,40, ,NR,NR,NR,
Honnali,13/12/2006,16, ,NR,NR,NR,
Honnali,21/12/2006,12, ,NR,NR,NR,
Honnali,22/12/2006,14, ,NR,NR,NR,
Hospet,04/12/2006,4,Local,280,400,300,
Hospet,05/12/2006,2,Local,300,300,300,
Hospet,06/12/2006,5,Local,300,320,310,
Hospet,09/12/2006,1,Local,450,450,450,
Hospet,11/12/2006,6,Local,200,300,280,
Hospet,15/12/2006,4,Local,300,400,350,
Hospet,18/12/2006,8,Local,200,300,270,
Hospet,20/12/2006,2,Local,250,500,350,
Hospet,22/12/2006,4,Local,300,400,350,
Hospet,23/12/2006,1,Local,500,500,500,
Hospet,26/12/2006,3,Local,280,350,300,
Hospet,31/12/2006,5,Local,380,380,380,
Hubli (Amaragol),01/12/2006,643, ,NR,NR,NR,
Hubli (Amaragol),02/12/2006,1321, ,NR,NR,NR,
Hubli (Amaragol),04/12/2006,1066, ,NR,NR,NR,
Hubli (Amaragol),05/12/2006,804, ,NR,NR,NR,
Hubli (Amaragol),06/12/2006,990, ,NR,NR,NR,
Hubli (Amaragol),07/12/2006,1096,Telagi,200,830,395,
Hubli (Amaragol),08/12/2006,1470, ,NR,NR,NR,
Hubli (Amaragol),12/12/2006,1575, ,NR,NR,NR,
Hubli (Amaragol),14/12/2006,1085, ,NR,NR,NR,
Hubli (Amaragol),15/12/2006,770, ,NR,NR,NR,
Hubli (Amaragol),21/12/2006,513, ,NR,NR,NR,
Hubli (Amaragol),22/12/2006,621, ,NR,NR,NR,
Humanabad,11/12/2006,18,Local,400,500,410,
Jamakhandi,14/12/2006,16, ,NR,NR,NR,
Jamakhandi,21/12/2006,16,Onion,250,700,450,
K.R. Pet,02/12/2006,4,Onion,300,600,450,
K.R. Pet,10/12/2006,4,Onion,300,600,400,
K.R. Pet,25/12/2006,4,Onion,400,800,600,
K.R. Pet,31/12/2006,4,Onion,400,900,600,
Kadur,22/12/2006,10, ,NR,NR,NR,
Kundapura,02/12/2006,12,Onion,400,1000,700,
Kundapura,09/12/2006,9,Onion,400,800,700,
Kundapura,16/12/2006,15,Onion,400,800,550,
Kundapura,23/12/2006,12,Onion,600,1000,800,
Mysore (Bandipalya),01/12/2006,172,Other,200,600,450,
Mysore (Bandipalya),02/12/2006,285,Other,200,600,450,
Mysore (Bandipalya),05/12/2006,575,Other,200,600,400,
Mysore (Bandipalya),06/12/2006,290,Other,200,600,450,
Mysore (Bandipalya),07/12/2006,54,Other,200,550,400,
Mysore (Bandipalya),08/12/2006,269,Other,300,650,475,
Mysore (Bandipalya),09/12/2006,69,Other,300,550,400,
Mysore (Bandipalya),11/12/2006,169,Other,300,550,400,
Mysore (Bandipalya),12/12/2006,110,Other,300,650,475,
Mysore (Bandipalya),13/12/2006,105,Other,300,600,450,
Mysore (Bandipalya),14/12/2006,140,Other,300,650,450,
Mysore (Bandipalya),15/12/2006,74,Other,300,650,450,
Mysore (Bandipalya),16/12/2006,116,Other,300,650,450,
Mysore (Bandipalya),19/12/2006,124,Other,300,800,500,
Mysore (Bandipalya),20/12/2006,112,Other,700,850,750,
Mysore (Bandipalya),21/12/2006,107,Other,300,800,600,
Mysore (Bandipalya),22/12/2006,133,Other,300,800,550,
Mysore (Bandipalya),30/12/2006,303,Other,300,900,700,
Raichur,04/12/2006,114, ,NR,NR,NR,
Raichur,06/12/2006,90, ,NR,NR,NR,
Raichur,07/12/2006,82, ,NR,NR,NR,
Raichur,08/12/2006,148, ,NR,NR,NR,
Raichur,09/12/2006,132, ,NR,NR,NR,
Raichur,11/12/2006,95, ,NR,NR,NR,
Raichur,13/12/2006,84, ,NR,NR,NR,
Raichur,15/12/2006,73, ,NR,NR,NR,
Raichur,16/12/2006,81, ,NR,NR,NR,
Raichur,18/12/2006,119, ,NR,NR,NR,
Raichur,19/12/2006,101, ,NR,NR,NR,
Raichur,22/12/2006,74, ,NR,NR,NR,
Raichur,23/12/2006,80,Local,260,946,820,
Raichur,26/12/2006,78, ,NR,NR,NR,
Raichur,30/12/2006,130,Local,251,876,730,
Ranebennur,02/12/2006,231, ,NR,NR,NR,
Ranebennur,16/12/2006,196, ,NR,NR,NR,
Ranebennur,23/12/2006,164, ,NR,NR,NR,
Tarikere,07/12/2006,10,Local,350,425,400,
Tarikere,09/12/2006,16,Local,300,400,315,
Tarikere,15/12/2006,15,Local,350,450,400,
Tarikere,16/12/2006,16,Local,300,400,315,
Tarikere,17/12/2006,40,Local,250,350,275,
Tarikere,21/12/2006,10,Local,350,450,400,
Tarikere,22/12/2006,10,Local,350,450,400,
Tumkur,07/12/2006,13,Local,200,500,350,
Tumkur,18/12/2006,21,Local,200,500,310,
Tumkur,21/12/2006,16,Local,200,500,330,
Udupi,06/12/2006,7,Bangalore-Samall,575,625,600,
Udupi,20/12/2006,6,Bangalore-Samall,600,700,650,
