Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,11/03/2007,4,Onion,200,285,250,
Arasikere,29/03/2007,1,Onion,200,300,250,
Bagalakot,10/03/2007,57, ,NR,NR,NR,
Bailahongal,12/03/2007,3,Local,400,600,500,
Bailahongal,30/03/2007,2,Local,300,560,400,
Bangalore,03/03/2007,733,Bangalore-Samall,350,400,375,
Bangalore,05/03/2007,954,Bangalore-Samall,350,400,375,
Bangalore,06/03/2007,1221,Bangalore-Samall,350,370,360,
Bangalore,07/03/2007,702,Bangalore-Samall,400,420,410,
Bangalore,08/03/2007,568,Bangalore-Samall,400,450,425,
Bangalore,09/03/2007,821,Bangalore-Samall,400,450,425,
Bangalore,13/03/2007,870,Bangalore-Samall,600,650,625,
Bangalore,14/03/2007,958,Bangalore-Samall,600,700,650,
Bangalore,16/03/2007,1297,Bangalore-Samall,600,700,650,
Bangalore,17/03/2007,1650,Bangalore-Samall,600,700,650,
Bangalore,20/03/2007,1262,Bangalore-Samall,650,750,700,
Bangalore,21/03/2007,645,Bangalore-Samall,650,750,700,
Bangalore,22/03/2007,867,Bangalore-Samall,650,750,700,
Bangalore,24/03/2007,1197,Bangalore-Samall,500,600,550,
Bangalore,27/03/2007,438,Bangalore-Samall,500,600,550,
Bangalore,28/03/2007,710,Bangalore-Samall,500,600,550,
Bangalore,29/03/2007,1021,Bangalore-Samall,200,300,250,
Bangalore,30/03/2007,924,Bangalore-Samall,300,400,350,
Belgaum,01/03/2007,46, ,NR,NR,NR,
Belgaum,02/03/2007,28, ,NR,NR,NR,
Belgaum,03/03/2007,226, ,NR,NR,NR,
Belgaum,05/03/2007,34, ,NR,NR,NR,
Belgaum,07/03/2007,490, ,NR,NR,NR,
Belgaum,08/03/2007,4, ,NR,NR,NR,
Belgaum,09/03/2007,31, ,NR,NR,NR,
Belgaum,10/03/2007,377,White,200,1000,800,
Belgaum,11/03/2007,67,White,200,1000,800,
Belgaum,12/03/2007,18,White,200,1000,800,
Belgaum,13/03/2007,11, ,NR,NR,NR,
Belgaum,14/03/2007,475,Pusa-Red,200,825,700,
Belgaum,14/03/2007,475,White,200,1000,800,
Belgaum,15/03/2007,27,Pusa-Red,200,825,700,
Belgaum,15/03/2007,27,White,200,1000,800,
Belgaum,16/03/2007,27,Pusa-Red,200,825,700,
