Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,01/08/2008,3,Onion,550,650,640,
Arasikere,04/08/2008,5,Onion,550,650,580,
Arasikere,06/08/2008,2,Onion,550,650,560,
Arasikere,08/08/2008,3,Onion,520,650,550,
Arasikere,16/08/2008,8,Onion,500,600,550,
Arasikere,18/08/2008,4,Onion,500,550,510,
Arasikere,19/08/2008,3,Onion,500,600,550,
Arasikere,25/08/2008,1,Onion,500,550,500,
Arasikere,26/08/2008,4,Onion,500,545,515,
Arasikere,27/08/2008,4,Onion,500,600,550,
Bailahongal,08/08/2008,2,Local,300,500,400,
Bangalore,02/08/2008,1181,Bangalore-Samall,850,970,900,
Bangalore,02/08/2008,1181,Beelary-Red,950,1000,980,
Bangalore,02/08/2008,1181,Onion,980,1050,1000,
Bangalore,04/08/2008,1179,Bangalore-Samall,850,970,900,
Bangalore,04/08/2008,1179,Beelary-Red,950,1000,980,
Bangalore,04/08/2008,1179,Onion,980,1050,1000,
Bangalore,05/08/2008,853,Bangalore-Samall,850,970,900,
Bangalore,05/08/2008,853,Beelary-Red,950,1000,980,
Bangalore,05/08/2008,853,Onion,980,1050,1000,
Bangalore,06/08/2008,903,Bangalore-Samall,850,970,900,
Bangalore,06/08/2008,903,Beelary-Red,950,1000,980,
Bangalore,06/08/2008,903,Onion,980,1050,1000,
Bangalore,07/08/2008,936,Beelary-Red,950,1000,980,
Bangalore,07/08/2008,936,Onion,980,1100,1000,
Bangalore,08/08/2008,1511,Bangalore-Samall,850,970,900,
Bangalore,08/08/2008,1511,Beelary-Red,950,1000,980,
Bangalore,08/08/2008,1511,Onion,980,1100,1000,
Bangalore,11/08/2008,3641,Bangalore-Samall,850,970,900,
Bangalore,11/08/2008,3641,Beelary-Red,950,1000,980,
Bangalore,11/08/2008,3641,Onion,980,1100,1000,
Bangalore,12/08/2008,1009,Bangalore-Samall,850,970,900,
Bangalore,12/08/2008,1009,Beelary-Red,950,1000,980,
Bangalore,12/08/2008,1009,Onion,980,1100,1000,
Bangalore,13/08/2008,1417,Bangalore-Samall,700,800,750,
Bangalore,13/08/2008,1417,Beelary-Red,800,850,825,
Bangalore,13/08/2008,1417,Onion,900,1000,950,
Bangalore,14/08/2008,1520,Bangalore-Samall,700,800,750,
Bangalore,14/08/2008,1520,Beelary-Red,800,850,825,
Bangalore,14/08/2008,1520,Onion,900,1000,950,
Bangalore,18/08/2008,929,Bangalore-Samall,600,700,650,
Bangalore,18/08/2008,929,Beelary-Red,700,900,800,
Bangalore,18/08/2008,929,Onion,900,950,925,
Bangalore,19/08/2008,775,Bangalore-Samall,600,800,700,
Bangalore,19/08/2008,775,Beelary-Red,800,1000,900,
Bangalore,19/08/2008,775,Onion,1000,1200,1100,
Bangalore,20/08/2008,704,Bangalore-Samall,600,800,700,
Bangalore,20/08/2008,704,Beelary-Red,800,1000,900,
Bangalore,20/08/2008,704,Onion,1000,1200,1100,
Bangalore,21/08/2008,1040,Bangalore-Samall,650,800,725,
Bangalore,21/08/2008,1040,Beelary-Red,900,1100,1000,
Bangalore,21/08/2008,1040,Onion,800,900,850,
