Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bagalakot,19/07/2014,107,Onion,500,2400,1200,
Bangalore,01/07/2014,1809,Bangalore-Samall,900,1500,1200,
Bangalore,01/07/2014,1809,Local,1700,1800,1750,
Bangalore,01/07/2014,1809,Onion,2200,2500,2350,
Bangalore,01/07/2014,1809,Puna,2500,2700,2650,
Bangalore,02/07/2014,1645,Bangalore-Samall,1200,1500,1350,
Bangalore,02/07/2014,1645,Local,1600,1900,1750,
Bangalore,02/07/2014,1645,Onion,2400,2600,2500,
Bangalore,02/07/2014,1645,Puna,2800,3000,2900,
Bangalore,03/07/2014,1419,Bangalore-Samall,1400,1600,1500,
Bangalore,03/07/2014,1419,Local,1800,2000,1900,
Bangalore,03/07/2014,1419,Onion,2400,2600,2500,
Bangalore,03/07/2014,1419,Puna,2700,2900,2800,
Bangalore,04/07/2014,1537,Bangalore-Samall,1400,1600,1500,
Bangalore,04/07/2014,1537,Local,1800,2000,1900,
Bangalore,04/07/2014,1537,Onion,2200,2400,2300,
Bangalore,04/07/2014,1537,Puna,2500,2700,2600,
Bangalore,05/07/2014,1595,Bangalore-Samall,1200,1400,1300,
Bangalore,05/07/2014,1595,Local,1600,1800,1700,
Bangalore,05/07/2014,1595,Onion,2000,2300,2200,
Bangalore,05/07/2014,1595,Puna,2500,2700,2600,
Bangalore,07/07/2014,1842,Bangalore-Samall,1400,1800,1600,
Bangalore,07/07/2014,1842,Local,1800,2000,1900,
Bangalore,07/07/2014,1842,Onion,2200,2400,2300,
Bangalore,07/07/2014,1842,Puna,2400,2800,2600,
Bangalore,08/07/2014,1621,Bangalore-Samall,1600,1800,1700,
Bangalore,08/07/2014,1621,Local,2000,2100,2050,
Bangalore,08/07/2014,1621,Onion,2200,2600,2400,
Bangalore,08/07/2014,1621,Puna,2600,2900,2750,
Bangalore,09/07/2014,1830,Bangalore-Samall,1600,1800,1700,
Bangalore,09/07/2014,1830,Local,2000,2200,2100,
Bangalore,09/07/2014,1830,Onion,2200,2400,2300,
Bangalore,09/07/2014,1830,Puna,2600,2900,2750,
Bangalore,10/07/2014,1368,Bangalore-Samall,1100,1800,1500,
Bangalore,10/07/2014,1368,Local,2000,2200,2100,
Bangalore,10/07/2014,1368,Onion,2200,2600,2400,
Bangalore,10/07/2014,1368,Puna,2600,3000,2800,
Bangalore,11/07/2014,1781,Bangalore-Samall,1200,1800,1500,
Bangalore,11/07/2014,1781,Local,1800,2200,2000,
Bangalore,11/07/2014,1781,Onion,2200,2600,2400,
Bangalore,11/07/2014,1781,Puna,2500,2900,2700,
Bangalore,14/07/2014,3571,Bangalore-Samall,1200,1800,1600,
Bangalore,14/07/2014,3571,Local,1800,2200,2000,
Bangalore,14/07/2014,3571,Onion,2200,2400,2300,
Bangalore,14/07/2014,3571,Puna,2400,2800,2600,
Bangalore,15/07/2014,1084,Bangalore-Samall,1400,1800,1600,
Bangalore,15/07/2014,1084,Local,2000,2200,2100,
Bangalore,15/07/2014,1084,Onion,2200,2400,2300,
Bangalore,15/07/2014,1084,Puna,2300,2700,2500,
Bangalore,16/07/2014,1180,Bangalore-Samall,1400,2000,1600,
Bangalore,16/07/2014,1180,Local,2000,2200,2100,
Bangalore,16/07/2014,1180,Onion,2200,2500,2350,
Bangalore,16/07/2014,1180,Puna,2400,2800,2600,
Bangalore,17/07/2014,1501,Bangalore-Samall,1600,2100,1800,
Bangalore,17/07/2014,1501,Local,2200,2400,2300,
Bangalore,17/07/2014,1501,Onion,2400,2600,2500,
Bangalore,17/07/2014,1501,Puna,2600,2800,2700,
Bangalore,18/07/2014,1419,Bangalore-Samall,1600,2100,1800,
Bangalore,18/07/2014,1419,Local,2000,2400,2200,
Bangalore,18/07/2014,1419,Onion,2400,2600,2500,
Bangalore,18/07/2014,1419,Puna,2600,2800,2700,
Bangalore,19/07/2014,1804,Bangalore-Samall,1600,2000,1800,
Bangalore,19/07/2014,1804,Local,2000,2400,2200,
Bangalore,19/07/2014,1804,Onion,2300,2500,2400,
Bangalore,19/07/2014,1804,Puna,2400,2800,2600,
Bangalore,21/07/2014,2070,Bangalore-Samall,1400,1600,1500,
Bangalore,21/07/2014,2070,Local,2000,2400,2200,
Bangalore,21/07/2014,2070,Onion,1800,2100,1950,
Bangalore,21/07/2014,2070,Puna,2400,2600,2500,
Bangalore,22/07/2014,1364,Bangalore-Samall,1600,1800,1700,
Bangalore,22/07/2014,1364,Local,1800,2000,1900,
Bangalore,22/07/2014,1364,Onion,1800,2000,1900,
Bangalore,22/07/2014,1364,Puna,2400,2600,2500,
Bangalore,23/07/2014,1221,Bangalore-Samall,1400,1800,1600,
Bangalore,23/07/2014,1221,Local,1800,2000,1900,
Bangalore,23/07/2014,1221,Onion,2000,2400,2200,
Bangalore,23/07/2014,1221,Puna,2200,2600,2500,
Bangalore,24/07/2014,1497,Bangalore-Samall,1000,1600,1300,
Bangalore,24/07/2014,1497,Local,1800,2000,1900,
Bangalore,24/07/2014,1497,Onion,2000,2200,2100,
Bangalore,24/07/2014,1497,Puna,2200,2600,2400,
Bangalore,25/07/2014,1340,Bangalore-Samall,1000,1600,1300,
Bangalore,25/07/2014,1340,Local,1800,2000,1900,
Bangalore,25/07/2014,1340,Onion,2000,2100,2050,
Bangalore,25/07/2014,1340,Puna,2100,2500,2300,
Bangalore,26/07/2014,1300,Bangalore-Samall,1000,1600,1300,
Bangalore,26/07/2014,1300,Local,1800,2000,1900,
Bangalore,26/07/2014,1300,Onion,2000,2100,2050,
Bangalore,26/07/2014,1300,Puna,2100,2500,2300,
Bangalore,28/07/2014,1910,Bangalore-Samall,950,1500,1250,
Bangalore,28/07/2014,1910,Local,1600,2000,1800,
Bangalore,28/07/2014,1910,Onion,2000,2100,2050,
Bangalore,28/07/2014,1910,Puna,2100,2600,2350,
Bangalore,30/07/2014,1637,Bangalore-Samall,1200,1800,1500,
Bangalore,30/07/2014,1637,Local,1600,2000,1800,
Bangalore,30/07/2014,1637,Onion,1900,2200,2050,
Bangalore,30/07/2014,1637,Puna,2200,2800,2500,
Bangalore,31/07/2014,780,Bangalore-Samall,1000,1400,1300,
Bangalore,31/07/2014,780,Local,1600,1900,1750,
Bangalore,31/07/2014,780,Onion,1900,2200,2050,
Bangalore,31/07/2014,780,Puna,2200,2500,2400,
Belgaum,02/07/2014,327, ,NR,NR,NR,
Belgaum,03/07/2014,265,White,800,2900,1320,
Belgaum,04/07/2014,66,White,800,2900,1320,
Belgaum,05/07/2014,397,White,820,2680,1300,
Belgaum,06/07/2014,206,White,820,1680,1300,
Belgaum,07/07/2014,16,Pusa-Red,700,2500,1260,
Belgaum,07/07/2014,16,White,820,2680,1300,
Belgaum,09/07/2014,341,Pusa-Red,650,2600,1200,
