Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aatpadi,08/08/09,1,Red,500,710,605
Ahmednagar,01/08/09,869.6,Other,200,770,485
Ahmednagar,03/08/09,922,Other,200,815,510
Ahmednagar,06/08/09,788.5,Other,200,800,500
Ahmednagar,08/08/09,747.5,Other,200,825,510
Ahmednagar,10/08/09,863.7,Other,200,900,NR
Ahmednagar,13/08/09,744.5,Other,200,855,525
Ahmednagar,15/08/09,700.4,Other,200,875,535
Ahmednagar,17/08/09,932.5,Other,200,880,540
Ahmednagar,20/08/09,678.9,Other,200,875,535
Ahmednagar,22/08/09,640.2,Other,250,900,575
Ahmednagar,24/08/09,603.4,Other,250,900,575
Ahmednagar,27/08/09,1454.4,Other,200,850,525
Ahmednagar,29/08/09,1178.3,Other,200,900,550
Ahmednagar,31/08/09,1133.5,Other,150,830,500
Akole,02/08/09,166.1,Other,200,775,591
Akole,09/08/09,185.6,Other,100,850,661
Akole,16/08/09,182.4,Other,100,900,663
Akole,23/08/09,252.9,Other,200,911,635
Akole,30/08/09,297.6,Other,NR,NR,NR
Amrawati(Frui & Veg. Market),01/08/09,30,Other,500,850,675
Amrawati(Frui & Veg. Market),02/08/09,30,Other,500,950,725
Amrawati(Frui & Veg. Market),03/08/09,30,Other,500,950,725
Amrawati(Frui & Veg. Market),04/08/09,15,Other,500,950,725
Amrawati(Frui & Veg. Market),05/08/09,30,Other,1000,1400,1200
Amrawati(Frui & Veg. Market),07/08/09,60,Other,700,900,800
Amrawati(Frui & Veg. Market),08/08/09,15,Other,500,950,725
Amrawati(Frui & Veg. Market),09/08/09,15,Other,500,950,725
Amrawati(Frui & Veg. Market),10/08/09,15,Other,400,950,NR
Amrawati(Frui & Veg. Market),11/08/09,15,Other,500,950,NR
Amrawati(Frui & Veg. Market),12/08/09,15,Other,500,1000,750
Amrawati(Frui & Veg. Market),14/08/09,30,Other,500,1150,825
Amrawati(Frui & Veg. Market),15/08/09,10,Other,500,1000,750
Amrawati(Frui & Veg. Market),16/08/09,60,Other,500,1150,825
Amrawati(Frui & Veg. Market),17/08/09,15,Other,500,1200,850
Amrawati(Frui & Veg. Market),18/08/09,15,Other,500,1200,850
Amrawati(Frui & Veg. Market),19/08/09,30,Other,500,1150,825
Amrawati(Frui & Veg. Market),21/08/09,15,Other,500,1150,825
Amrawati(Frui & Veg. Market),22/08/09,45,Other,500,1150,825
Amrawati(Frui & Veg. Market),23/08/09,45,Other,500,1200,850
Amrawati(Frui & Veg. Market),24/08/09,45,Other,500,1200,850
Amrawati(Frui & Veg. Market),25/08/09,30,Other,500,1200,850
Amrawati(Frui & Veg. Market),26/08/09,60,Other,500,1500,1000
Amrawati(Frui & Veg. Market),28/08/09,45,Other,500,1100,800
Amrawati(Frui & Veg. Market),29/08/09,30,Other,500,1100,800
Aurangabad,01/08/09,7.6,Other,300,500,400
Aurangabad,02/08/09,18.5,Other,300,700,500
Aurangabad,03/08/09,16.6,Other,200,800,600
Aurangabad,04/08/09,7.5,Other,150,550,350
Aurangabad,05/08/09,9.6,Other,300,600,450
Aurangabad,06/08/09,24.9,Other,150,550,350
Aurangabad,08/08/09,9.9,Other,200,500,350
Aurangabad,09/08/09,29.1,Other,150,450,300
Aurangabad,10/08/09,14.9,Other,150,450,NR
Aurangabad,11/08/09,8,Other,200,400,NR
Aurangabad,12/08/09,7.3,Other,200,500,350
Aurangabad,13/08/09,24,Other,150,650,450
Aurangabad,15/08/09,17.9,Other,200,500,350
Aurangabad,16/08/09,22.5,Other,200,500,350
Aurangabad,17/08/09,7.2,Other,300,600,450
Aurangabad,18/08/09,33.5,Other,150,450,300
Aurangabad,19/08/09,11.3,Other,200,500,350
Aurangabad,20/08/09,11.5,Other,150,450,300
Aurangabad,22/08/09,8,Other,150,550,350
Aurangabad,23/08/09,25.5,Other,250,450,350
Aurangabad,24/08/09,14.6,Other,250,450,350
Aurangabad,25/08/09,14.6,Other,150,400,275
Aurangabad,26/08/09,11.2,Other,200,400,300
Aurangabad,27/08/09,38.5,Other,200,400,300
Aurangabad,29/08/09,20.4,Other,300,500,400
Aurangabad,30/08/09,25.2,Other,150,350,250
Aurangabad,31/08/09,8.8,Other,250,550,400
Chalisgaon,04/08/09,0.4,Other,300,600,450
Chalisgaon,13/08/09,0.6,Other,300,700,450
Chalisgaon,25/08/09,0.6,Other,500,700,650
Chandrapur(Ganjwad),04/08/09,32.2,Other,700,950,900
Chandrapur(Ganjwad),05/08/09,35,Other,700,950,900
Chandrapur(Ganjwad),06/08/09,35,Other,700,1000,925
Chandrapur(Ganjwad),07/08/09,9.4,Other,700,1000,900
Chandrapur(Ganjwad),08/08/09,13.2,Other,700,950,925
Chandrapur(Ganjwad),11/08/09,26.5,Other,800,950,NR
Chandrapur(Ganjwad),12/08/09,18.2,Other,700,950,900
Chandrapur(Ganjwad),17/08/09,128.8,Other,800,1050,950
Chandrapur(Ganjwad),18/08/09,32.3,Other,750,1050,950
Chandrapur(Ganjwad),19/08/09,19,Other,750,1050,950
Chandrapur(Ganjwad),22/08/09,18.2,Other,700,1250,950
Chandvad,01/08/09,317,Other,200,634,600
Chandvad,04/08/09,268,Other,200,655,600
Chandvad,06/08/09,272.5,Other,151,687,625
Chandvad,07/08/09,285.5,Other,200,700,625
Chandvad,08/08/09,317.5,Other,200,685,625
Chandvad,11/08/09,379.5,Other,250,747,NR
Chandvad,12/08/09,363,Other,250,799,725
Chandvad,13/08/09,454,Other,225,785,725
Chandvad,14/08/09,274.5,Other,200,790,725
Chandvad,18/08/09,464.5,Other,200,731,650
Chandvad,21/08/09,171.5,Other,200,761,675
Chandvad,22/08/09,289.5,Other,225,706,650
Chandvad,25/08/09,579.5,Other,200,726,650
Chandvad,26/08/09,499.5,Other,151,706,650
Chandvad,27/08/09,486,Other,200,710,640
Chandvad,28/08/09,605,Other,200,679,600
Chandvad,29/08/09,296.5,Other,200,697,600
Devala,03/08/09,475,Other,100,651,610
Devala,04/08/09,400,Other,100,662,610
Devala,06/08/09,470,Other,100,700,650
Devala,07/08/09,475,Other,221,704,640
Devala,10/08/09,690,Other,151,771,NR
Devala,11/08/09,745,Other,161,800,NR
Devala,12/08/09,660,Other,250,754,700
Devala,13/08/09,560,Other,250,774,710
Devala,18/08/09,720,Other,101,713,660
Devala,19/08/09,185,Other,116,711,680
Devala,21/08/09,445,Other,100,763,720
Dhule,03/08/09,230.3,Red,125,630,530
Dhule,04/08/09,209.5,Red,100,660,540
Dhule,05/08/09,276.4,Red,100,625,540
Dhule,06/08/09,68,Other,635,635,635
