Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/08/2016,60,Desi,1300,1400,1350,
Achalda,02/08/2016,40,Desi,1300,1450,1370,
Achalda,03/08/2016,30,Desi,1350,1500,1425,
Achalda,05/08/2016,30,Desi,1350,1500,1450,
Achalda,06/08/2016,25,Desi,1400,1550,1480,
Achalda,08/08/2016,40,Desi,1400,1500,1460,
Achalda,09/08/2016,30,Desi,1300,1550,1480,
Achalda,10/08/2016,30,Desi,1450,1600,1500,
Achalda,11/08/2016,50,Desi,1480,1600,1500,
Achalda,12/08/2016,55,Desi,1400,1550,1480,
Achalda,13/08/2016,40,Desi,1450,1550,1500,
Achalda,16/08/2016,30,Desi,1400,1550,1500,
Achalda,17/08/2016,40,Desi,1400,1520,1480,
Achalda,18/08/2016,50,Desi,1400,1550,1470,
Achalda,19/08/2016,40,Desi,1400,1550,1500,
Achalda,20/08/2016,30,Desi,1400,1600,1525,
Achalda,22/08/2016,50,Desi,1400,1600,1500,
Achalda,25/08/2016,60,Desi,1400,1550,1480,
Achalda,26/08/2016,40,Desi,1400,1600,1500,
Achalda,27/08/2016,30,Desi,1400,1600,1525,
Achalda,29/08/2016,45,Desi,1400,1600,1500,
Achalda,30/08/2016,40,Desi,1400,1600,1500,
Achalda,31/08/2016,30,Desi,1400,1600,1525,
Achnera,07/08/2016,90,Desi,NR,NR,1370,
Achnera,08/08/2016,80,Desi,NR,NR,1400,
Achnera,09/08/2016,10,Desi,NR,NR,1420,
Achnera,10/08/2016,12,Desi,NR,NR,1370,
Achnera,11/08/2016,14,Desi,NR,NR,1340,
Achnera,12/08/2016,15,Desi,NR,NR,1330,
Achnera,13/08/2016,17,Desi,NR,NR,1330,
Achnera,14/08/2016,40,Desi,NR,NR,1300,
Achnera,15/08/2016,38,Desi,NR,NR,1320,
Achnera,16/08/2016,40,Desi,NR,NR,1320,
Achnera,17/08/2016,43,Desi,NR,NR,1300,
Achnera,20/08/2016,39,Desi,NR,NR,1330,
Achnera,21/08/2016,40,Desi,NR,NR,1340,
Achnera,22/08/2016,39,Desi,NR,NR,1370,
Achnera,23/08/2016,44,Desi,NR,NR,1380,
Achnera,25/08/2016,39,Desi,NR,NR,1370,
Achnera,26/08/2016,45,Desi,NR,NR,1330,
Achnera,27/08/2016,41,Desi,NR,NR,1340,
Achnera,28/08/2016,42,Desi,NR,NR,1330,
Achnera,29/08/2016,43,Desi,NR,NR,1330,
Achnera,30/08/2016,38,Desi,NR,NR,1360,
Achnera,31/08/2016,45,Desi,NR,NR,1370,
Agra,02/08/2016,1520,Local,NR,NR,1495,
Agra,03/08/2016,1600,Local,NR,NR,1480,
Agra,04/08/2016,1580,Local,NR,NR,1510,
Agra,05/08/2016,1700,Local,NR,NR,1490,
Agra,06/08/2016,1900,Local,NR,NR,1420,
Agra,08/08/2016,1900,Local,NR,NR,1420,
Agra,09/08/2016,1850,Local,NR,NR,1450,
Agra,10/08/2016,1880,Local,NR,NR,1420,
Agra,11/08/2016,1860,Local,NR,NR,1450,
Agra,12/08/2016,1880,Local,NR,NR,1360,
Agra,16/08/2016,1900,Local,NR,NR,1370,
Agra,17/08/2016,1930,Local,NR,NR,1360,
Agra,18/08/2016,1940,Local,NR,NR,1370,
Agra,19/08/2016,1940,Local,NR,NR,1365,
Agra,20/08/2016,1870,Local,NR,NR,1380,
Agra,22/08/2016,1850,Local,NR,NR,1410,
Agra,23/08/2016,1700,Local,NR,NR,1420,
Agra,25/08/2016,1710,Local,NR,NR,1415,
Agra,26/08/2016,1680,Local,NR,NR,1420,
