Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alipurduar,03/12/2007,1,Jyoti,775,825,800,
Alipurduar,03/12/2007,1,Red,800,850,825,
Alipurduar,04/12/2007,1,Jyoti,775,825,800,
Alipurduar,04/12/2007,1,Red,800,850,825,
Alipurduar,05/12/2007,0.9,Jyoti,780,820,800,
Alipurduar,06/12/2007,0.8,Jyoti,780,825,800,
Alipurduar,06/12/2007,0.8,Red,800,850,825,
Alipurduar,07/12/2007,0.8,Jyoti,775,820,800,
Alipurduar,07/12/2007,0.8,Red,800,850,825,
Alipurduar,10/12/2007,0.9,Jyoti,775,825,800,
Alipurduar,10/12/2007,0.9,Red,800,840,820,
Alipurduar,11/12/2007,1,Jyoti,775,830,800,
Alipurduar,11/12/2007,1,Red,800,850,820,
Alipurduar,12/12/2007,0.9,Jyoti,775,840,810,
Alipurduar,12/12/2007,0.9,Red,800,850,825,
Alipurduar,13/12/2007,1,Jyoti,775,825,800,
Alipurduar,13/12/2007,1,Red,800,850,820,
Alipurduar,14/12/2007,1,Jyoti,720,825,800,
Alipurduar,14/12/2007,1,Red,800,850,820,
Alipurduar,17/12/2007,1.1,Jyoti,750,820,800,
Alipurduar,17/12/2007,1.1,Red,775,840,820,
Alipurduar,19/12/2007,1.2,Jyoti,750,800,775,
Alipurduar,19/12/2007,1.2,Red,775,820,800,
Alipurduar,20/12/2007,1.3,Jyoti,700,800,775,
Alipurduar,20/12/2007,1.3,Red,750,825,800,
Alipurduar,24/12/2007,1.4,Jyoti,650,700,675,
Alipurduar,24/12/2007,1.4,Red,675,725,700,
Alipurduar,27/12/2007,1.5,Jyoti,625,675,650,
Alipurduar,27/12/2007,1.5,Red,640,700,675,
Alipurduar,28/12/2007,1.5,Jyoti,600,675,650,
Alipurduar,28/12/2007,1.5,Red,650,700,675,
Alipurduar,29/12/2007,1.8,Jyoti,575,620,600,
Alipurduar,29/12/2007,1.8,Red,600,650,625,
Bankura Sadar,03/12/2007,50,Jyoti,750,770,760,
Bankura Sadar,04/12/2007,60,Jyoti,750,770,760,
Bankura Sadar,05/12/2007,60,Jyoti,750,770,760,
Bankura Sadar,06/12/2007,40,Jyoti,750,770,760,
Bankura Sadar,07/12/2007,50,Jyoti,720,740,730,
Bankura Sadar,11/12/2007,60,Jyoti,670,690,680,
Bankura Sadar,12/12/2007,80,Jyoti,650,680,670,
Bankura Sadar,14/12/2007,50,Jyoti,670,700,680,
Bankura Sadar,31/12/2007,80,Jyoti,600,630,620,
Barasat,01/12/2007,55,Chandermukhi,850,900,850,
Barasat,01/12/2007,55,Jyoti,820,850,820,
Barasat,02/12/2007,36,Chandermukhi,850,900,850,
Barasat,02/12/2007,36,Jyoti,820,850,820,
Barasat,03/12/2007,63,Chandermukhi,850,900,850,
Barasat,03/12/2007,63,Jyoti,820,850,820,
Barasat,04/12/2007,27,Chandermukhi,850,880,850,
Barasat,04/12/2007,27,Jyoti,750,770,760,
Barasat,05/12/2007,55,Chandermukhi,850,880,850,
Barasat,05/12/2007,55,Jyoti,750,770,760,
Barasat,07/12/2007,50,Chandermukhi,870,880,870,
Barasat,07/12/2007,50,Jyoti,750,770,760,
Barasat,08/12/2007,54,Chandermukhi,770,780,770,
Barasat,08/12/2007,54,Jyoti,750,760,750,
Barasat,09/12/2007,55,Chandermukhi,770,780,770,
Barasat,09/12/2007,55,Jyoti,750,760,750,
Barasat,10/12/2007,45,Chandermukhi,770,780,770,
Barasat,10/12/2007,45,Jyoti,750,760,750,
Barasat,11/12/2007,36,Chandermukhi,770,780,770,
Barasat,11/12/2007,36,Jyoti,750,760,750,
Barasat,12/12/2007,50,Chandermukhi,770,780,770,
Barasat,12/12/2007,50,Jyoti,750,760,750,
Barasat,14/12/2007,63,Chandermukhi,770,780,770,
Barasat,14/12/2007,63,Jyoti,750,760,750,
Barasat,15/12/2007,72,Chandermukhi,770,780,770,
Barasat,15/12/2007,72,Jyoti,750,760,750,
Barasat,16/12/2007,50,Chandermukhi,770,780,770,
Barasat,16/12/2007,50,Jyoti,750,760,750,
Barasat,17/12/2007,45,Chandermukhi,770,780,770,
Barasat,17/12/2007,45,Jyoti,750,760,750,
Barasat,18/12/2007,40,Chandermukhi,770,780,770,
Barasat,18/12/2007,40,Jyoti,750,760,750,
Barasat,19/12/2007,55,Chandermukhi,770,780,770,
Barasat,19/12/2007,55,Jyoti,750,760,750,
Barasat,21/12/2007,45,Chandermukhi,820,830,820,
Barasat,21/12/2007,45,Jyoti,780,790,780,
Barasat,22/12/2007,60,Chandermukhi,820,830,820,
Barasat,22/12/2007,60,Jyoti,780,790,780,
Barasat,23/12/2007,40,Chandermukhi,820,830,820,
Barasat,23/12/2007,40,Jyoti,780,790,780,
Barasat,24/12/2007,45,Chandermukhi,820,830,820,
Barasat,24/12/2007,45,Jyoti,780,790,780,
Barasat,25/12/2007,55,Chandermukhi,820,830,820,
Barasat,25/12/2007,55,Jyoti,780,790,780,
Barasat,27/12/2007,60,Chandermukhi,820,830,820,
Barasat,27/12/2007,60,Jyoti,780,790,780,
Barasat,28/12/2007,50,Chandermukhi,820,830,820,
Barasat,28/12/2007,50,Jyoti,780,790,780,
Barasat,29/12/2007,65,Chandermukhi,820,830,820,
