Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alipurduar,03/04/2013,8,Jyoti,450,550,500,
Alipurduar,03/04/2013,8,Red,550,650,600,
Alipurduar,04/04/2013,8,Jyoti,450,525,500,
Alipurduar,04/04/2013,8,Red,575,650,600,
Alipurduar,05/04/2013,8,Jyoti,450,525,500,
Alipurduar,05/04/2013,8,Red,575,650,600,
Alipurduar,08/04/2013,8,Jyoti,450,550,500,
Alipurduar,08/04/2013,8,Red,600,700,650,
Alipurduar,09/04/2013,8,Jyoti,450,550,500,
Alipurduar,09/04/2013,8,Red,600,700,650,
Alipurduar,10/04/2013,8,Jyoti,475,550,520,
Alipurduar,10/04/2013,8,Red,600,650,625,
Alipurduar,11/04/2013,8,Jyoti,475,550,520,
Alipurduar,11/04/2013,8,Red,600,650,625,
Alipurduar,12/04/2013,8.5,Jyoti,500,550,525,
Alipurduar,12/04/2013,8.5,Red,575,650,600,
Alipurduar,16/04/2013,8.5,Jyoti,475,550,500,
Alipurduar,16/04/2013,8.5,Red,575,650,600,
Alipurduar,17/04/2013,8.5,Jyoti,475,550,500,
Alipurduar,17/04/2013,8.5,Red,575,650,600,
Alipurduar,18/04/2013,8.5,Jyoti,475,550,500,
Alipurduar,18/04/2013,8.5,Red,575,650,600,
Balurghat,01/04/2013,20,Red,400,450,420,
Balurghat,02/04/2013,20,Red,400,450,420,
Balurghat,03/04/2013,25,Red,400,460,430,
Balurghat,04/04/2013,30,Red,420,480,450,
Balurghat,05/04/2013,25,Red,420,480,450,
Balurghat,06/04/2013,25,Red,420,480,450,
Balurghat,07/04/2013,30,Red,420,480,450,
Balurghat,08/04/2013,20,Red,440,500,460,
Balurghat,09/04/2013,15,Red,440,500,470,
Balurghat,10/04/2013,18,Red,440,500,470,
Balurghat,11/04/2013,20,Red,440,500,470,
Balurghat,12/04/2013,18,Red,440,500,470,
Balurghat,13/04/2013,20,Red,430,500,470,
Balurghat,14/04/2013,25,Red,430,500,470,
Balurghat,15/04/2013,20,Red,430,480,460,
Balurghat,16/04/2013,22,Red,420,480,450,
Balurghat,17/04/2013,20,Red,420,470,440,
Balurghat,18/04/2013,30,Red,440,500,470,
Balurghat,19/04/2013,25,Red,450,500,480,
Balurghat,20/04/2013,20,Red,470,530,500,
Balurghat,21/04/2013,30,Red,500,550,520,
Balurghat,22/04/2013,25,Red,520,580,550,
Balurghat,23/04/2013,20,Red,520,580,550,
Balurghat,24/04/2013,20,Red,520,580,540,
Balurghat,25/04/2013,30,Red,520,580,540,
Balurghat,26/04/2013,25,Red,520,580,550,
Balurghat,27/04/2013,20,Red,520,580,550,
Balurghat,28/04/2013,30,Red,520,580,550,
Balurghat,29/04/2013,25,Red,520,580,550,
Balurghat,30/04/2013,15,Red,520,580,550,
Bankura Sadar,01/04/2013,80,Jyoti,540,560,550,
Bankura Sadar,02/04/2013,78,Jyoti,550,580,570,
Bankura Sadar,03/04/2013,75,Jyoti,560,580,570,
Bankura Sadar,04/04/2013,70,Jyoti,560,580,570,
Bankura Sadar,05/04/2013,69,Jyoti,560,590,580,
Bankura Sadar,06/04/2013,69,Jyoti,560,590,580,
Bankura Sadar,08/04/2013,67,Jyoti,590,620,600,
Bankura Sadar,09/04/2013,66,Jyoti,590,620,600,
Bankura Sadar,10/04/2013,68,Jyoti,590,620,610,
Bankura Sadar,11/04/2013,66,Jyoti,590,620,610,
Bankura Sadar,16/04/2013,60,Jyoti,650,700,680,
Bankura Sadar,17/04/2013,65,Jyoti,650,700,680,
Bankura Sadar,18/04/2013,65,Jyoti,670,690,680,
Bankura Sadar,19/04/2013,62.5,Jyoti,670,690,680,
Bankura Sadar,20/04/2013,61,Jyoti,670,700,680,
Bankura Sadar,22/04/2013,60,Jyoti,680,710,700,
Bankura Sadar,23/04/2013,62,Jyoti,680,710,700,
Bankura Sadar,24/04/2013,60,Jyoti,680,710,700,
Bankura Sadar,25/04/2013,55,Jyoti,730,760,750,
Bankura Sadar,26/04/2013,55,Jyoti,820,850,840,
Bankura Sadar,27/04/2013,57,Jyoti,820,840,830,
Bankura Sadar,29/04/2013,60,Jyoti,800,830,820,
Bankura Sadar,30/04/2013,61,Jyoti,800,830,820,
Bara Bazar (Posta Bazar),01/04/2013,10,Jyoti,620,640,620,
Bara Bazar (Posta Bazar),02/04/2013,10,Jyoti,680,700,680,
Bara Bazar (Posta Bazar),03/04/2013,10,Jyoti,660,680,660,
Bara Bazar (Posta Bazar),04/04/2013,10,Jyoti,680,700,680,
Bara Bazar (Posta Bazar),05/04/2013,10,Jyoti,660,680,680,
Bara Bazar (Posta Bazar),06/04/2013,10,Jyoti,660,680,680,
Bara Bazar (Posta Bazar),08/04/2013,10,Jyoti,700,710,700,
Bara Bazar (Posta Bazar),09/04/2013,10,Jyoti,700,710,700,
Bara Bazar (Posta Bazar),10/04/2013,10,Jyoti,720,740,720,
Bara Bazar (Posta Bazar),11/04/2013,10,Jyoti,720,740,720,
Bara Bazar (Posta Bazar),12/04/2013,10,Jyoti,720,740,720,
Bara Bazar (Posta Bazar),13/04/2013,10,Jyoti,760,800,780,
Bara Bazar (Posta Bazar),15/04/2013,10,Jyoti,820,840,820,
Bara Bazar (Posta Bazar),16/04/2013,10,Jyoti,840,860,840,
Bara Bazar (Posta Bazar),17/04/2013,10,Jyoti,840,860,840,
Bara Bazar (Posta Bazar),18/04/2013,10,Jyoti,860,880,860,
Bara Bazar (Posta Bazar),19/04/2013,10,Jyoti,880,900,880,
Bara Bazar (Posta Bazar),20/04/2013,10,Jyoti,880,900,880,
Bara Bazar (Posta Bazar),22/04/2013,10,Jyoti,900,920,900,
Bara Bazar (Posta Bazar),23/04/2013,10,Jyoti,900,920,920,
Bara Bazar (Posta Bazar),24/04/2013,10,Jyoti,920,940,920,
Bara Bazar (Posta Bazar),25/04/2013,10,Jyoti,920,940,920,
Bara Bazar (Posta Bazar),26/04/2013,10,Jyoti,920,940,920,
Bara Bazar (Posta Bazar),27/04/2013,10,Jyoti,900,910,910,
Bara Bazar (Posta Bazar),29/04/2013,10,Jyoti,900,920,920,
Bara Bazar (Posta Bazar),30/04/2013,10,Jyoti,910,920,920,
Baxirhat,01/04/2013,16,Jyoti,450,500,475,
Baxirhat,02/04/2013,13,Jyoti,425,525,475,
Baxirhat,03/04/2013,12,Jyoti,425,525,475,
Baxirhat,04/04/2013,12.5,Jyoti,425,525,475,
Baxirhat,05/04/2013,10,Jyoti,460,500,480,
Baxirhat,08/04/2013,12,Jyoti,450,550,500,
Baxirhat,09/04/2013,12,Jyoti,425,525,475,
Baxirhat,10/04/2013,12,Jyoti,425,525,475,
Baxirhat,11/04/2013,11,Jyoti,460,520,480,
Baxirhat,12/04/2013,12.5,Jyoti,460,520,480,
Baxirhat,16/04/2013,12,Jyoti,460,500,480,
Baxirhat,17/04/2013,8,Jyoti,460,520,490,
Baxirhat,19/04/2013,12,Jyoti,440,540,490,
Baxirhat,22/04/2013,12.5,Jyoti,440,540,490,
Baxirhat,23/04/2013,12.5,Jyoti,450,530,490,
Baxirhat,24/04/2013,12.5,Jyoti,475,525,500,
Baxirhat,25/04/2013,12.5,Jyoti,450,550,500,
Baxirhat,26/04/2013,11,Jyoti,450,550,500,
Baxirhat,29/04/2013,10,Jyoti,450,550,500,
Baxirhat,30/04/2013,10,Jyoti,450,550,500,
Belacoba,01/04/2013,0.6,Jyoti,440,490,460,
Belacoba,01/04/2013,0.6,Red,470,510,490,
Belacoba,02/04/2013,0.4,Jyoti,450,510,490,
Belacoba,03/04/2013,3,Jyoti,460,520,470,
Belacoba,04/04/2013,0.6,Jyoti,460,520,490,
Belacoba,04/04/2013,0.6,Red,490,540,520,
Belacoba,05/04/2013,0.7,Jyoti,460,520,490,
Belacoba,05/04/2013,0.7,Red,490,530,510,
Belacoba,08/04/2013,0.4,Jyoti,460,520,500,
Belacoba,08/04/2013,0.4,Red,500,550,530,
Belacoba,09/04/2013,0.4,Jyoti,470,530,500,
Belacoba,09/04/2013,0.4,Red,510,560,530,
Belacoba,10/04/2013,3.7,Jyoti,470,530,500,
Belacoba,10/04/2013,3.7,Red,510,560,530,
Belacoba,11/04/2013,0.6,Jyoti,470,530,500,
Belacoba,11/04/2013,0.6,Red,520,570,550,
Belacoba,12/04/2013,0.7,Jyoti,470,530,500,
Belacoba,12/04/2013,0.7,Red,520,570,550,
Belacoba,16/04/2013,0.6,Jyoti,480,530,500,
Belacoba,16/04/2013,0.6,Red,530,590,570,
Belacoba,17/04/2013,3,Jyoti,470,520,490,
Belacoba,17/04/2013,3,Red,530,580,550,
Belacoba,18/04/2013,0.6,Jyoti,480,530,500,
Belacoba,18/04/2013,0.6,Red,550,620,600,
Belacoba,19/04/2013,0.7,Jyoti,490,540,510,
Belacoba,19/04/2013,0.7,Red,560,630,610,
Belacoba,22/04/2013,0.6,Jyoti,510,560,540,
Belacoba,22/04/2013,0.6,Red,560,650,640,
Belacoba,23/04/2013,0.4,Jyoti,510,560,540,
Belacoba,23/04/2013,0.4,Red,560,650,640,
