,0
0,"2020-07-01,Bengaluru,13.0"
1,"2020-07-02,Bengaluru,15.0"
2,"2020-07-03,Bengaluru,15.0"
3,"2020-07-04,Bengaluru,15.0"
4,"2020-07-05,Bengaluru,0"
5,"2020-07-06,Bengaluru,15.0"
6,"2020-07-07,Bengaluru,13.0"
7,"2020-07-08,Bengaluru,13.0"
8,"2020-07-09,Bengaluru,13.0"
9,"2020-07-10,Bengaluru,0"
10,"2020-07-11,Bengaluru,0"
11,"2020-07-12,Bengaluru,0"
12,"2020-07-13,Bengaluru,0"
13,"2020-07-14,Bengaluru,0"
14,"2020-07-15,Bengaluru,0"
15,"2020-07-16,Bengaluru,0"
16,"2020-07-17,Bengaluru,0"
17,"2020-07-18,Bengaluru,0"
18,"2020-07-19,Bengaluru,0"
19,"2020-07-20,Bengaluru,0"
20,"2020-07-21,Bengaluru,0"
21,"2020-07-22,Bengaluru,0"
22,"2020-07-23,Bengaluru,0"
23,"2020-07-24,Bengaluru,0"
24,"2020-07-25,Bengaluru,0"
25,"2020-07-26,Bengaluru,0"
26,"2020-07-27,Bengaluru,0"
27,"2020-07-28,Bengaluru,0"
28,"2020-07-29,Bengaluru,0"
29,"2020-07-30,Bengaluru,0"
30,"2020-07-31,Bengaluru,0"
