Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Darjeeling,19/07/2016,0.4,Other,5200,5600,5400,
Darjeeling,20/07/2016,0.5,Other,6000,6400,6200,
Darjeeling,22/07/2016,0.4, ,NR,NR,NR,
Darjeeling,26/07/2016,0.5,Other,5200,5600,5400,
Darjeeling,27/07/2016,0.8,Other,5200,5600,5400,
Darjeeling,28/07/2016,0.5,Other,5200,5600,5400,
Darjeeling,29/07/2016,0.2,Other,5200,5600,5400,
Darjeeling,30/07/2016,0.5,Other,5200,5600,5400,
Darjeeling,31/07/2016,0.5,Other,5200,5600,5400,
Siliguri,01/07/2016,16, ,NR,NR,NR,
Siliguri,04/07/2016,18, ,NR,NR,NR,
Siliguri,05/07/2016,20, ,NR,NR,NR,
Siliguri,07/07/2016,22, ,NR,NR,NR,
Siliguri,08/07/2016,25, ,NR,NR,NR,
Siliguri,11/07/2016,26, ,NR,NR,NR,
Siliguri,12/07/2016,30, ,NR,NR,NR,
Siliguri,13/07/2016,28, ,NR,NR,NR,
Siliguri,14/07/2016,36, ,NR,NR,NR,
Siliguri,15/07/2016,35, ,NR,NR,NR,
Siliguri,18/07/2016,36, ,NR,NR,NR,
Siliguri,21/07/2016,34, ,NR,NR,NR,
Siliguri,25/07/2016,28, ,NR,NR,NR,
Siliguri,26/07/2016,26, ,NR,NR,NR,
Siliguri,27/07/2016,25, ,NR,NR,NR,
Siliguri,28/07/2016,24, ,NR,NR,NR,
