Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Siliguri,01/10/2018,13,Green Ginger,5500,6500,6000,
Siliguri,02/10/2018,11,Green Ginger,6000,7000,6500,
Siliguri,03/10/2018,13, ,NR,NR,NR,
Siliguri,04/10/2018,12, ,NR,NR,NR,
Siliguri,05/10/2018,11, ,NR,NR,NR,
Siliguri,06/10/2018,10,Green Ginger,5500,6500,6000,
Siliguri,08/10/2018,8,Green Ginger,5500,6500,6000,
Siliguri,09/10/2018,10,Green Ginger,5500,6500,6000,
Siliguri,10/10/2018,12,Green Ginger,5500,6500,6000,
Siliguri,11/10/2018,11,Green Ginger,5500,6500,6000,
Siliguri,12/10/2018,12,Green Ginger,5500,6500,6000,
Siliguri,13/10/2018,13,Green Ginger,5500,6500,6000,
Siliguri,15/10/2018,11, ,NR,NR,NR,
Siliguri,16/10/2018,11,Green Ginger,5500,6500,6000,
Siliguri,17/10/2018,11,Green Ginger,5500,6500,6000,
Siliguri,18/10/2018,11,Green Ginger,5500,6500,6000,
Siliguri,19/10/2018,12,Green Ginger,5500,6500,6000,
Siliguri,20/10/2018,13,Green Ginger,5500,6500,6000,
Siliguri,22/10/2018,12,Green Ginger,5500,6500,6000,
Siliguri,23/10/2018,11,Green Ginger,5500,6500,6000,
Siliguri,24/10/2018,12, ,NR,NR,NR,
Siliguri,25/10/2018,11, ,NR,NR,NR,
Siliguri,26/10/2018,12, ,NR,NR,NR,
Siliguri,27/10/2018,11,Green Ginger,5500,6500,6000,
Siliguri,29/10/2018,11,Green Ginger,5500,6500,6000,
Siliguri,30/10/2018,12,Green Ginger,5500,6500,6000,
Siliguri,31/10/2018,13,Green Ginger,5500,6500,6000,
