Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/03/2020,2,Kala Masoor New,5050,5200,5120,
Agra,03/03/2020,3,Kala Masoor New,5000,5200,5100,
Agra,04/03/2020,2.5,Kala Masoor New,5050,5250,5150,
Agra,05/03/2020,3,Kala Masoor New,5100,5250,5180,
Agra,06/03/2020,3.5,Kala Masoor New,5100,5260,5170,
Agra,07/03/2020,2,Kala Masoor New,5050,5250,5165,
Agra,12/03/2020,1,Kala Masoor New,5050,5250,5150,
Agra,13/03/2020,2,Kala Masoor New,5050,5200,5120,
Agra,16/03/2020,2,Kala Masoor New,5050,5250,5150,
Agra,17/03/2020,2.5,Kala Masoor New,5050,5250,5160,
Agra,18/03/2020,3,Kala Masoor New,5050,5250,5140,
Agra,19/03/2020,2,Kala Masoor New,5000,5200,5100,
Agra,20/03/2020,2.5,Kala Masoor New,5050,5250,5150,
Agra,21/03/2020,2,Kala Masoor New,5100,5250,5170,
Agra,30/03/2020,1,Kala Masoor New,5150,5350,5250,
Agra,31/03/2020,0.5,Kala Masoor New,5100,5300,5200,
Akbarpur,01/03/2020,1.8,Kala Masoor New,5500,5550,5510,
Akbarpur,02/03/2020,2.2,Kala Masoor New,5500,5520,5510,
Akbarpur,04/03/2020,1.5,Kala Masoor New,5500,5520,5510,
Akbarpur,05/03/2020,2,Kala Masoor New,5500,5550,5520,
Akbarpur,06/03/2020,2,Kala Masoor New,5500,5600,5550,
Akbarpur,07/03/2020,1.8,Kala Masoor New,5600,5700,5620,
Akbarpur,08/03/2020,2,Kala Masoor New,5600,5680,5660,
Akbarpur,12/03/2020,2,Kala Masoor New,5550,5620,5610,
Akbarpur,13/03/2020,1.8,Kala Masoor New,5600,5680,5650,
Akbarpur,15/03/2020,0.7,Kala Masoor New,5600,5625,5620,
Akbarpur,16/03/2020,2.2,Kala Masoor New,5600,5625,5620,
Akbarpur,18/03/2020,1.8,Kala Masoor New,5600,5700,5650,
Akbarpur,19/03/2020,2,Kala Masoor New,5600,5700,5650,
Akbarpur,20/03/2020,1.5,Kala Masoor New,5500,5650,5600,
Akbarpur,21/03/2020,2,Kala Masoor New,5500,5600,5550,
Akbarpur,23/03/2020,2,Kala Masoor New,5500,5600,5550,
Aligarh,02/03/2020,5,Masoor Gola,5050,5150,5100,
Aligarh,03/03/2020,4,Masoor Gola,5100,5200,5150,
Aligarh,04/03/2020,5,Masoor Gola,5050,5150,5100,
Aligarh,05/03/2020,3,Masoor Gola,5100,5200,5150,
Aligarh,06/03/2020,4,Masoor Gola,5050,5150,5100,
Aligarh,07/03/2020,2,Masoor Gola,5100,5200,5150,
Aligarh,13/03/2020,3,Masoor Gola,5050,5150,5100,
Aligarh,14/03/2020,2,Masoor Gola,5100,5200,5150,
Aligarh,16/03/2020,3,Masoor Gola,5050,5150,5100,
Aligarh,17/03/2020,2,Masoor Gola,5100,5200,5150,
Aligarh,18/03/2020,3,Masoor Gola,5050,5150,5100,
Aligarh,19/03/2020,2,Masoor Gola,5100,5200,5150,
Aligarh,20/03/2020,3,Masoor Gola,5100,5200,5150,
Aligarh,21/03/2020,4,Masoor Gola,5050,5150,5100,
Aligarh,30/03/2020,4,Masoor Gola,5150,5250,5200,
Aligarh,31/03/2020,2,Masoor Gola,5200,5300,5250,
Atarra,01/03/2020,3.5,Masoor Gola,4300,4400,4350,
Atarra,02/03/2020,3,Masoor Gola,4300,4400,4350,
Atarra,03/03/2020,2.5,Masoor Gola,4280,4370,4325,
Atarra,04/03/2020,3.5,Masoor Gola,4280,4370,4325,
Atarra,05/03/2020,3,Masoor Gola,4300,4425,4340,
Atarra,07/03/2020,5,Masoor Gola,4230,4320,4275,
Atarra,08/03/2020,6,Masoor Gola,4225,4325,4280,
Atarra,09/03/2020,6.5,Masoor Gola,4220,4300,4260,
Atarra,12/03/2020,5,Masoor Gola,4200,4290,4250,
Atarra,14/03/2020,4,Masoor Gola,4210,4310,4260,
Atarra,15/03/2020,4.5,Masoor Gola,4230,4320,4275,
Atarra,16/03/2020,5,Masoor Gola,4225,4320,4275,
Atarra,17/03/2020,6.5,Masoor Gola,4225,4325,4280,
Atarra,18/03/2020,7.5,Masoor Gola,4200,4290,4250,
Atarra,19/03/2020,8,Masoor Gola,4200,4300,4250,
Atarra,21/03/2020,5,Masoor Gola,4260,4350,4325,
Atarra,23/03/2020,3,Masoor Gola,4260,4350,4300,
Azamgarh,02/03/2020,1.7,Masoor Gola,5090,5150,5120,
Azamgarh,03/03/2020,1.5,Masoor Gola,5070,5170,5120,
Azamgarh,04/03/2020,1.3,Masoor Gola,5085,5200,5125,
Azamgarh,05/03/2020,1.6,Masoor Gola,5085,5160,5125,
Azamgarh,06/03/2020,1.5,Masoor Gola,5100,5175,5130,
Azamgarh,07/03/2020,1.3,Masoor Gola,5080,5180,5130,
Azamgarh,09/03/2020,1,Masoor Gola,5100,5185,5135,
Azamgarh,11/03/2020,1.2,Masoor Gola,5085,5185,5135,
Azamgarh,12/03/2020,1,Masoor Gola,5100,5200,5150,
Azamgarh,13/03/2020,1.4,Masoor Gola,5100,5200,5150,
Azamgarh,14/03/2020,1.3,Masoor Gola,5120,5200,5160,
Azamgarh,16/03/2020,1,Masoor Gola,5120,5200,5160,
Azamgarh,17/03/2020,1.2,Masoor Gola,5120,5185,5155,
Azamgarh,18/03/2020,1.5,Masoor Gola,5100,5200,5150,
Azamgarh,19/03/2020,2,Masoor Gola,5100,5200,5150,
Azamgarh,20/03/2020,1.8,Masoor Gola,5115,5200,5155,
Azamgarh,21/03/2020,2,Masoor Gola,5115,5185,5150,
Baberu,01/03/2020,2.5,Masoor Gola,4260,4440,4350,
Baberu,02/03/2020,2,Masoor Gola,4270,4450,4360,
Baberu,03/03/2020,2.2,Masoor Gola,4250,4410,4330,
Baberu,05/03/2020,3.4,Masoor Gola,4250,4410,4330,
Baberu,06/03/2020,2.4,Masoor Gola,4210,4390,4300,
Baberu,07/03/2020,3.2,Masoor Gola,4160,4340,4250,
