Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asansol,01/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,02/01/2016,21,Masur Dal,9500,10500,10000,
Asansol,03/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,04/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,05/01/2016,20.5,Masur Dal,9500,10500,10000,
Asansol,06/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,07/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,08/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,09/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,10/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,11/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,12/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,13/01/2016,20.5,Masur Dal,9500,10500,10000,
Asansol,14/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,15/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,16/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,17/01/2016,20.5,Masur Dal,9500,10500,10000,
Asansol,18/01/2016,20,Masur Dal,9500,10500,10000,
Asansol,19/01/2016,23,Masur Dal,9500,10500,10000,
Asansol,20/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,21/01/2016,20.5,Masur Dal,9500,10500,10000,
Asansol,22/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,23/01/2016,22.5, ,NR,NR,NR,
Asansol,24/01/2016,20, ,NR,NR,NR,
Asansol,25/01/2016,22, ,NR,NR,NR,
Asansol,26/01/2016,20, ,NR,NR,NR,
Asansol,27/01/2016,22, ,NR,NR,NR,
Asansol,28/01/2016,23,Masur Dal,9500,10500,10000,
Asansol,29/01/2016,22,Masur Dal,9500,10500,10000,
Asansol,30/01/2016,22.5,Masur Dal,9500,10500,10000,
Asansol,31/01/2016,22,Masur Dal,9500,10500,10000,
