Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asansol,01/08/2018,15.8,Masur Dal,5700,5900,5800,
Asansol,02/08/2018,16,Masur Dal,5600,5800,5700,
Asansol,03/08/2018,15.6,Masur Dal,5600,5800,5700,
Asansol,04/08/2018,15.2,Masur Dal,5600,5800,5700,
Asansol,05/08/2018,1.1,Masur Dal,5600,5800,5700,
Asansol,06/08/2018,15,Masur Dal,5600,5800,5700,
Asansol,07/08/2018,14.5,Masur Dal,5600,5800,5700,
Asansol,08/08/2018,15.2,Masur Dal,5600,5800,5700,
Asansol,09/08/2018,15.6,Masur Dal,5600,5800,5700,
Asansol,10/08/2018,15.1,Masur Dal,5600,5800,5700,
Asansol,11/08/2018,15.5,Masur Dal,5600,5800,5700,
Asansol,12/08/2018,1.3,Masur Dal,5600,5800,5700,
Asansol,13/08/2018,14.6,Masur Dal,5700,5900,5800,
Asansol,14/08/2018,15.2,Masur Dal,5600,6000,5800,
Asansol,15/08/2018,15.5,Masur Dal,5700,5900,5800,
Asansol,16/08/2018,15.1,Masur Dal,5700,5900,5800,
Asansol,17/08/2018,14.6,Masur Dal,5700,5900,5800,
Asansol,18/08/2018,14, ,NR,NR,NR,
Asansol,19/08/2018,0.9,Masur Dal,5700,5900,5800,
Asansol,20/08/2018,13.2,Masur Dal,5700,5900,5800,
Asansol,21/08/2018,14,Masur Dal,5700,5900,5800,
Asansol,22/08/2018,13.6,Masur Dal,5700,5900,5800,
Asansol,23/08/2018,14.2,Masur Dal,5700,5900,5800,
Asansol,24/08/2018,13.7,Masur Dal,5800,6000,5900,
Asansol,25/08/2018,13,Masur Dal,5800,6000,5900,
Asansol,26/08/2018,0.6,Masur Dal,5800,6000,5900,
Asansol,27/08/2018,13.4,Masur Dal,5800,6000,5900,
Asansol,28/08/2018,13,Masur Dal,5800,6000,5900,
Asansol,29/08/2018,13.5,Masur Dal,5700,5900,5800,
Asansol,30/08/2018,13,Masur Dal,5700,5900,5800,
Asansol,31/08/2018,13.6,Masur Dal,5700,5900,5800,
Balarampur,01/08/2018,0.64,Other,5450,5500,5470,
Balarampur,02/08/2018,0.62,Other,5460,5520,5480,
Balarampur,03/08/2018,0.65,Other,5540,5580,5560,
Balarampur,04/08/2018,0.61,Other,5470,5500,5480,
Balarampur,05/08/2018,0.62,Other,5460,5500,5480,
Balarampur,06/08/2018,0.64,Other,5450,5500,5470,
Balarampur,08/08/2018,0.62,Other,5460,5520,5480,
Balarampur,09/08/2018,0.61,Other,5450,5500,5460,
Balarampur,11/08/2018,0.6,Other,5470,5520,5500,
Balarampur,12/08/2018,0.61,Other,5440,5480,5460,
Balarampur,13/08/2018,0.62,Other,5460,5520,5490,
Balarampur,15/08/2018,0.62,Other,5460,5500,5480,
Balarampur,16/08/2018,0.61,Other,5460,5500,5470,
Balarampur,17/08/2018,0.61,Other,5450,5480,5460,
Balarampur,18/08/2018,0.62,Other,5460,5500,5470,
Balarampur,19/08/2018,0.61,Other,5450,5480,5460,
Balarampur,20/08/2018,0.62,Other,5460,5500,5480,
Balarampur,21/08/2018,0.6,Other,5470,5500,5480,
Balarampur,22/08/2018,0.62,Other,5460,5480,5470,
Balarampur,23/08/2018,0.61,Other,5450,5480,5460,
Balarampur,24/08/2018,0.62,Other,5460,5500,5480,
Balarampur,28/08/2018,0.62,Other,5440,5480,5460,
Balarampur,29/08/2018,0.62,Other,5460,5500,5480,
Balarampur,30/08/2018,0.61,Other,5450,5480,5470,
Balarampur,31/08/2018,0.62,Other,5440,5480,5460,
Durgapur,01/08/2018,24,Other,4700,4900,4800,
Durgapur,02/08/2018,23,Other,4700,4850,4800,
Durgapur,03/08/2018,24,Other,4700,4800,4750,
Durgapur,04/08/2018,23,Other,4800,4900,4850,
Durgapur,06/08/2018,24,Other,4650,4750,4700,
Durgapur,07/08/2018,23,Other,4750,4850,4800,
Durgapur,08/08/2018,24,Other,4750,4850,4800,
Durgapur,09/08/2018,24,Other,4800,4900,4850,
Durgapur,10/08/2018,23,Other,4750,4850,4800,
Durgapur,11/08/2018,24,Other,4700,4800,4750,
Durgapur,12/08/2018,23,Other,4600,4800,4700,
Durgapur,13/08/2018,22,Other,4375,4500,4450,
Durgapur,14/08/2018,24,Other,4800,5000,4900,
Durgapur,15/08/2018,23,Other,4850,5000,4900,
Durgapur,16/08/2018,22,Other,4850,4950,4900,
Durgapur,17/08/2018,24,Other,4700,4800,4750,
Durgapur,19/08/2018,22,Other,4800,4950,4850,
Durgapur,20/08/2018,23,Other,4700,4850,4800,
Durgapur,21/08/2018,22,Other,4700,4800,4750,
Durgapur,22/08/2018,24,Other,4750,4900,4800,
Durgapur,23/08/2018,22,Other,4800,4900,4850,
Durgapur,24/08/2018,23,Other,4750,4850,4800,
Durgapur,26/08/2018,24,Other,4800,4900,4850,
Durgapur,27/08/2018,23,Other,4750,4850,4800,
Durgapur,28/08/2018,24,Other,4600,4700,4650,
Durgapur,29/08/2018,23,Other,4600,4700,4650,
Durgapur,30/08/2018,22,Other,4650,4750,4700,
Durgapur,31/08/2018,21,Other,4700,4800,4750,
English Bazar,01/08/2018,11.4,Masur Dal,5700,6000,5800,
English Bazar,02/08/2018,11.2,Masur Dal,5700,6000,5800,
English Bazar,03/08/2018,11.4,Masur Dal,5700,6000,5800,
English Bazar,04/08/2018,11.5,Masur Dal,5800,6100,6000,
English Bazar,05/08/2018,11.4,Masur Dal,5800,6100,6000,
English Bazar,07/08/2018,11,Masur Dal,5800,6100,6000,
English Bazar,08/08/2018,11.2,Masur Dal,5800,6100,6000,
English Bazar,09/08/2018,11.5,Masur Dal,5700,6000,5800,
English Bazar,10/08/2018,11.2,Masur Dal,5700,6000,5800,
English Bazar,11/08/2018,11.2,Masur Dal,5700,6000,5800,
English Bazar,12/08/2018,11.2,Masur Dal,5700,6000,5800,
English Bazar,13/08/2018,11,Masur Dal,5700,6000,5800,
English Bazar,14/08/2018,11,Masur Dal,5700,6000,5800,
English Bazar,16/08/2018,11.2,Masur Dal,5700,6000,5800,
English Bazar,17/08/2018,11.2,Masur Dal,5700,6000,5800,
English Bazar,18/08/2018,11.2,Masur Dal,5800,6100,6000,
English Bazar,21/08/2018,11,Masur Dal,5700,6000,5800,
English Bazar,23/08/2018,11,Masur Dal,5700,6000,5800,
English Bazar,24/08/2018,11,Masur Dal,5700,6000,5800,
English Bazar,25/08/2018,11,Masur Dal,5800,6000,5900,
English Bazar,26/08/2018,11.3,Masur Dal,5700,6000,5800,
English Bazar,27/08/2018,11,Masur Dal,5700,6000,5800,
English Bazar,28/08/2018,10.8,Masur Dal,5800,6000,5900,
English Bazar,30/08/2018,11.3,Masur Dal,5800,6000,5900,
English Bazar,31/08/2018,11,Masur Dal,5700,6100,5800,
Gajol,01/08/2018,7.8,Masur Dal,3400,3500,3450,
Gajol,02/08/2018,7.5,Masur Dal,3400,3500,3450,
Gajol,03/08/2018,7.8,Masur Dal,3400,3500,3450,
Gajol,04/08/2018,8.5,Masur Dal,3400,3500,3450,
Gajol,05/08/2018,8.8,Masur Dal,3400,3500,3450,
Gajol,06/08/2018,9.3,Masur Dal,3450,3550,3500,
Gajol,07/08/2018,9.8,Masur Dal,3450,3550,3500,
Gajol,08/08/2018,9.6,Masur Dal,3450,3550,3500,
Kasipur,01/08/2018,0.49,Other,5640,5740,5680,
Kasipur,02/08/2018,0.48,Other,5640,5720,5660,
Kasipur,03/08/2018,0.49, ,NR,NR,NR,
Kasipur,04/08/2018,0.52,Other,5580,5620,5600,
Kasipur,05/08/2018,0.49,Other,5600,5700,5650,
Kasipur,06/08/2018,0.48,Other,5660,5700,5680,
Kasipur,07/08/2018,0.49,Other,5640,5680,5660,
