Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asansol,01/06/2018,20,Masur Dal,6200,6400,6300,
Asansol,02/06/2018,21,Masur Dal,6100,6250,6200,
Asansol,03/06/2018,21.2,Masur Dal,6150,6350,6250,
Asansol,04/06/2018,21,Masur Dal,6150,6250,6200,
Asansol,05/06/2018,20.5,Masur Dal,6100,6300,6200,
Asansol,06/06/2018,22.3,Masur Dal,6100,6300,6200,
Asansol,07/06/2018,21.8,Masur Dal,6100,6300,6200,
Asansol,08/06/2018,21,Masur Dal,6050,6250,6150,
Asansol,09/06/2018,21.5,Masur Dal,6000,6150,6100,
Asansol,10/06/2018,21,Masur Dal,6000,6200,6100,
Asansol,11/06/2018,20.5,Masur Dal,6000,6200,6100,
Asansol,12/06/2018,21,Masur Dal,6000,6200,6100,
Asansol,13/06/2018,21.5,Masur Dal,5900,6200,6100,
Asansol,14/06/2018,21,Masur Dal,6000,6200,6100,
Asansol,15/06/2018,21.8,Masur Dal,5900,6200,6100,
Asansol,16/06/2018,22.5,Masur Dal,5900,6200,6100,
Asansol,17/06/2018,23,Masur Dal,5950,6150,6050,
Asansol,18/06/2018,23.5,Masur Dal,5800,6100,6000,
Asansol,19/06/2018,23,Masur Dal,5900,6100,6000,
Asansol,20/06/2018,22.2,Masur Dal,5800,6100,6000,
Asansol,21/06/2018,21.4,Masur Dal,5800,6100,6000,
Asansol,22/06/2018,20.7,Masur Dal,5700,6000,5900,
Asansol,23/06/2018,21.4,Masur Dal,5700,6000,5900,
Asansol,24/06/2018,3,Masur Dal,5800,6200,6000,
Asansol,25/06/2018,19,Masur Dal,5800,6200,6000,
Asansol,26/06/2018,19.5,Masur Dal,5800,6200,6000,
Asansol,27/06/2018,20,Masur Dal,5800,6000,5900,
Asansol,29/06/2018,20,Masur Dal,5600,5900,5800,
Asansol,30/06/2018,20.6,Masur Dal,5600,6000,5800,
Balarampur,01/06/2018,0.62,Other,5650,5720,5670,
Balarampur,02/06/2018,0.6,Other,5680,5750,5700,
Balarampur,04/06/2018,0.55,Other,5680,5750,5700,
Balarampur,05/06/2018,0.6,Other,5670,NR,5690,
Balarampur,06/06/2018,0.55,Other,5680,5750,5700,
Balarampur,07/06/2018,0.56,Other,5660,5750,5700,
Balarampur,08/06/2018,0.58,Other,5640,5720,5680,
Balarampur,09/06/2018,0.6,Other,5630,5700,5650,
Balarampur,12/06/2018,0.58,Other,5640,5730,5680,
Balarampur,13/06/2018,0.6,Other,5680,5750,5700,
Balarampur,14/06/2018,0.58,Other,5680,5760,5700,
Balarampur,15/06/2018,0.6,Other,5650,5720,5700,
Balarampur,16/06/2018,0.56,Other,5650,5740,5670,
Balarampur,17/06/2018,0.55,Other,5670,5750,5680,
