Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,01/09/2017,872.4,Onion,1000,2375,1830,
Azadpur,02/09/2017,1087.3,Onion,1000,2125,1673,
Azadpur,04/09/2017,362.6,Onion,1000,2000,1615,
Azadpur,05/09/2017,1741.2,Onion,1000,2250,1632,
Azadpur,06/09/2017,715,Onion,1000,2250,1625,
Azadpur,07/09/2017,863.6,Onion,1000,2250,1625,
Azadpur,08/09/2017,854.7,Onion,1000,2375,1650,
Azadpur,09/09/2017,1152.8,Onion,1000,2375,1650,
Azadpur,11/09/2017,427.7,Onion,750,2375,1628,
Azadpur,12/09/2017,1911.3,Onion,750,2375,1608,
Azadpur,13/09/2017,1092.1,Onion,750,2375,1608,
Azadpur,14/09/2017,987.7,Onion,750,2000,1482,
Azadpur,15/09/2017,1192,Onion,750,1875,1437,
Azadpur,16/09/2017,1224.3,Onion,750,1700,1253,
Azadpur,18/09/2017,171.6,Onion,750,1750,1274,
Azadpur,19/09/2017,844,Onion,750,1500,1167,
Azadpur,20/09/2017,521.7,Onion,750,2000,1202,
Azadpur,21/09/2017,541.5,Onion,750,2125,1350,
Azadpur,22/09/2017,445.3,Onion,750,2125,1350,
Azadpur,23/09/2017,389.7,Onion,500,1875,1152,
Azadpur,25/09/2017,443.3,Onion,500,1875,1152,
Azadpur,26/09/2017,1117.8,Onion,625,1875,1143,
Azadpur,27/09/2017,1120.7,Onion,625,2000,1192,
Azadpur,28/09/2017,729.6,Onion,625,2000,1192,
Azadpur,29/09/2017,939.1,Onion,625,2000,1192,
Azadpur,30/09/2017,808.4,Onion,625,2000,1192,
Keshopur,01/09/2017,30,Onion,1500,2250,2000,
Keshopur,02/09/2017,64.45,Onion,1500,2250,2000,
Keshopur,03/09/2017,84.65,Onion,1500,2250,2000,
Keshopur,04/09/2017,199.24,Onion,1500,2250,2000,
Keshopur,05/09/2017,108.05,Onion,1500,2250,2000,
Keshopur,07/09/2017,45.15,Onion,1500,2250,2000,
Keshopur,08/09/2017,213.84,Onion,1000,2000,1750,
Keshopur,09/09/2017,151.42,Onion,1000,2250,1750,
Keshopur,10/09/2017,75.63,Onion,1000,2250,1750,
Keshopur,11/09/2017,190.23,Onion,1000,2000,1750,
Keshopur,12/09/2017,183.11,Onion,1000,2250,1750,
Keshopur,14/09/2017,51.31,Onion,1000,1750,1500,
Keshopur,15/09/2017,52.85,Onion,1000,1750,1500,
Keshopur,16/09/2017,89.79,Onion,1000,1750,1500,
Keshopur,17/09/2017,60.25,Onion,1000,1750,1500,
Keshopur,18/09/2017,145.86,Onion,1000,1750,1500,
Keshopur,19/09/2017,47.06,Onion,100,1575,1375,
Keshopur,21/09/2017,24.08,Onion,1000,1500,1250,
Keshopur,22/09/2017,64.79,Onion,1000,1500,1250,
Keshopur,23/09/2017,7.05,Onion,1000,1500,1250,
Keshopur,24/09/2017,65.48,Onion,1000,1500,1250,
Keshopur,25/09/2017,27.06,Onion,1250,1750,1500,
Keshopur,26/09/2017,65.87,Onion,1250,1750,1500,
Keshopur,28/09/2017,74.42,Onion,1250,1750,1500,
Keshopur,29/09/2017,200.62,Onion,1500,1750,1625,
Keshopur,30/09/2017,156.66,Onion,1250,1875,1500,
Shahdara,01/09/2017,162.35,Nasik,1900,2100,2000,
Shahdara,01/09/2017,162.35,Other,1600,2000,1800,
Shahdara,02/09/2017,78.1,Nasik,1800,2000,1900,
Shahdara,02/09/2017,78.1,Other,1500,1800,1600,
Shahdara,03/09/2017,185.65,Nasik,2000,2200,2100,
Shahdara,03/09/2017,185.65,Other,1600,1800,1700,
Shahdara,04/09/2017,200,Nasik,2000,2200,2100,
Shahdara,04/09/2017,200,Other,1600,1800,1700,
Shahdara,05/09/2017,81.46,Nasik,1700,1900,1800,
Shahdara,05/09/2017,81.46,Other,1600,1800,1700,
Shahdara,06/09/2017,372.88,Nasik,1900,2100,2000,
Shahdara,06/09/2017,372.88,Other,1700,1900,1800,
Shahdara,07/09/2017,228.95,Nasik,1700,1900,1800,
Shahdara,08/09/2017,296.8,Nasik,1700,1900,1800,
Shahdara,08/09/2017,296.8,Other,1600,1800,1700,
Shahdara,09/09/2017,298.19,Nasik,1700,1900,1800,
Shahdara,09/09/2017,298.19,Other,1600,1800,1700,
Shahdara,10/09/2017,159.3,Nasik,1700,1900,1800,
Shahdara,10/09/2017,159.3,Other,1500,1700,1600,
Shahdara,11/09/2017,241.17,Nasik,1600,1800,1700,
Shahdara,11/09/2017,241.17,Other,1500,1700,1600,
Shahdara,12/09/2017,368.2,Nasik,1600,1800,1700,
Shahdara,12/09/2017,368.2,Other,1450,1650,1550,
Shahdara,13/09/2017,324.1,Nasik,1500,1700,1600,
Shahdara,13/09/2017,324.1,Other,1300,1500,1400,
Shahdara,14/09/2017,116.7,Other,1500,1700,1600,
Shahdara,15/09/2017,366.85,Nasik,1500,1700,1600,
Shahdara,15/09/2017,366.85,Other,1400,1600,1500,
Shahdara,16/09/2017,165.35,Nasik,1500,1700,1600,
Shahdara,16/09/2017,165.35,Other,1400,1600,1500,
Shahdara,17/09/2017,167.75,Other,1400,1600,1500,
Shahdara,18/09/2017,245.1,Nasik,1300,1700,1500,
Shahdara,18/09/2017,245.1,Other,1100,1500,1300,
Shahdara,19/09/2017,128,Other,1200,1600,1400,
Shahdara,20/09/2017,90.55,Other,1300,1600,1400,
