Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bandrol,12/09/2017,3,Other,800,1000,900,
Bhuntar,01/09/2017,1,Other,700,1500,1100,
Bhuntar,03/09/2017,0.9,Other,1000,1700,1400,
Bhuntar,05/09/2017,0.9,Other,700,1600,1300,
Bhuntar,06/09/2017,1.1,Other,700,1400,1100,
Bhuntar,07/09/2017,1,Other,700,1400,1000,
Bhuntar,08/09/2017,0.9,Other,700,1500,1100,
Bhuntar,10/09/2017,0.7,Other,700,1400,1000,
Bhuntar,11/09/2017,0.8,Other,700,1500,1100,
Bhuntar,12/09/2017,0.7,Other,700,1500,1100,
Bhuntar,13/09/2017,0.9,Other,700,1400,1100,
Bhuntar,15/09/2017,0.7,Other,600,1400,1000,
Bhuntar,17/09/2017,0.5,Other,600,1400,1000,
Bhuntar,18/09/2017,0.8,Other,600,1500,1100,
Bhuntar,20/09/2017,0.6,Other,700,1200,900,
Bhuntar,21/09/2017,0.8,Other,700,1400,1000,
Bhuntar,22/09/2017,0.7,Other,700,1400,1100,
Bhuntar,24/09/2017,0.5,Other,700,1300,1000,
Bhuntar,25/09/2017,0.9,Other,600,1200,800,
Bhuntar,26/09/2017,1,Other,600,1300,1000,
Bhuntar,28/09/2017,1.1,Other,600,1300,1000,
Bhuntar,29/09/2017,0.9,Other,600,1200,900,
Bilaspur,01/09/2017,2.1,Other,500,1400,700,
Bilaspur,04/09/2017,2,Other,600,1500,1200,
Bilaspur,05/09/2017,2.5,Other,600,1400,1000,
Bilaspur,06/09/2017,2.6,Other,600,1500,1200,
Bilaspur,07/09/2017,2.3,Other,600,1300,800,
Bilaspur,08/09/2017,2.6,Other,500,1400,700,
Bilaspur,11/09/2017,2.3,Other,600,1400,1200,
Bilaspur,12/09/2017,2.5,Other,600,1500,1200,
Bilaspur,13/09/2017,2.3,Other,600,1400,1100,
Bilaspur,14/09/2017,2.3,Other,600,1400,1200,
Bilaspur,15/09/2017,2.5,Other,500,1400,600,
Bilaspur,19/09/2017,2.6,Other,600,1400,700,
Bilaspur,20/09/2017,2.1,Other,600,1400,1200,
Bilaspur,25/09/2017,1.6,Other,600,1400,1200,
Chail Chowk,04/09/2017,4,Other,600,800,700,
Chail Chowk,05/09/2017,2,Other,500,700,600,
Chail Chowk,06/09/2017,3.7,Other,400,700,600,
Chail Chowk,14/09/2017,1.4,Other,1000,1000,1000,
Chail Chowk,15/09/2017,0.9,Other,1000,1000,1000,
Chail Chowk,18/09/2017,0.7,Other,900,1000,950,
Chail Chowk,20/09/2017,1.6,Other,400,1000,700,
Chail Chowk,21/09/2017,1,Other,900,900,900,
Chail Chowk,22/09/2017,0.5,Other,1000,1000,1000,
Chail Chowk,23/09/2017,1.2,Other,1000,1000,1000,
Chamba,04/09/2017,0.85,Other,450,550,500,
Chamba,05/09/2017,0.23,Other,900,1100,1000,
Chamba,06/09/2017,2.25,Other,450,550,500,
Chamba,07/09/2017,1.73,Other,500,1000,750,
Chamba,08/09/2017,0.2,Other,1100,1300,1200,
Chamba,11/09/2017,1.5,Other,450,650,550,
Chamba,13/09/2017,0.22,Other,900,1100,1000,
Chamba,14/09/2017,0.23,Other,1000,1200,1100,
Chamba,16/09/2017,1.2,Other,450,650,550,
Chamba,19/09/2017,0.23,Other,1000,1200,1100,
Chamba,21/09/2017,0.23,Other,900,1100,1000,
Chamba,23/09/2017,0.23,Other,1000,1200,1100,
Chamba,25/09/2017,1,Other,500,700,600,
Chamba,27/09/2017,1,Other,1200,1400,1300,
Dhanotu (Mandi),01/09/2017,1.3,Other,400,1100,750,
Dhanotu (Mandi),04/09/2017,1.2,Other,300,1200,750,
Dhanotu (Mandi),05/09/2017,1.2,Other,400,1100,750,
Dhanotu (Mandi),06/09/2017,1.4,Other,400,1200,800,
Dhanotu (Mandi),07/09/2017,1.4,Other,400,1300,850,
Dhanotu (Mandi),08/09/2017,1.2,Other,700,1300,850,
Dhanotu (Mandi),11/09/2017,2.1,Other,300,1300,800,
Dhanotu (Mandi),12/09/2017,1.6,Other,400,1200,800,
Dhanotu (Mandi),13/09/2017,1.2,Other,300,1200,750,
Dhanotu (Mandi),14/09/2017,1.4,Other,400,1200,800,
Dhanotu (Mandi),15/09/2017,1.5,Other,400,1300,850,
Dhanotu (Mandi),18/09/2017,2,Other,400,1600,800,
Dhanotu (Mandi),19/09/2017,1.8,Other,400,1200,800,
Dhanotu (Mandi),20/09/2017,1.4,Other,400,1200,800,
Dhanotu (Mandi),21/09/2017,1.4,Other,400,1200,800,
Dhanotu (Mandi),22/09/2017,1.5,Other,400,1200,800,
Dhanotu (Mandi),23/09/2017,1.4,Other,400,1200,800,
Hamirpur,01/09/2017,2,Desi,600,1000,800,
Hamirpur,01/09/2017,2,Other,1200,1500,1350,
Hamirpur,04/09/2017,2.45,Desi,550,850,700,
Hamirpur,04/09/2017,2.45,Other,1200,1500,1350,
Hamirpur,05/09/2017,2.34,Desi,500,800,650,
Hamirpur,05/09/2017,2.34,Other,1200,1500,1350,
Hamirpur,06/09/2017,2.4,Desi,500,800,650,
Hamirpur,06/09/2017,2.4,Other,1200,1500,1350,
Hamirpur,07/09/2017,1.7,Desi,500,800,650,
Hamirpur,07/09/2017,1.7,Other,1200,1500,1350,
Hamirpur,08/09/2017,2.4,Desi,500,800,650,
Hamirpur,08/09/2017,2.4,Other,1200,1500,1350,
Hamirpur,11/09/2017,1.7,Desi,500,800,650,
Hamirpur,11/09/2017,1.7,Other,1200,1500,1350,
Hamirpur,12/09/2017,1.7,Desi,500,800,650,
Hamirpur,12/09/2017,1.7,Other,1200,1500,1350,
Hamirpur,13/09/2017,2.3,Desi,500,800,650,
Hamirpur,13/09/2017,2.3,Other,1200,1500,1350,
Hamirpur,14/09/2017,1.85,Desi,500,800,650,
Hamirpur,14/09/2017,1.85,Other,1200,1500,1350,
