Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,02/08/2017,14,Potato,200,400,265,
Abohar,03/08/2017,30,Potato,200,375,310,
Abohar,04/08/2017,26,Potato,175,374,215,
Abohar,05/08/2017,30,Potato,200,340,225,
Abohar,07/08/2017,32.5,Potato,180,337,220,
Abohar,08/08/2017,33,Potato,160,400,230,
Abohar,09/08/2017,26,Potato,160,375,235,
Abohar,10/08/2017,21.5, ,NR,NR,NR,
Abohar,11/08/2017,26.5,Potato,200,375,240,
Abohar,12/08/2017,20,Potato,150,350,225,
Abohar,14/08/2017,30, ,NR,NR,NR,
Abohar,16/08/2017,11.2,Potato,220,300,245,
Abohar,18/08/2017,25, ,NR,NR,NR,
Abohar,19/08/2017,20, ,NR,NR,NR,
Abohar,21/08/2017,30,Potato,210,375,280,
Abohar,23/08/2017,30,Potato,180,350,275,
Abohar,24/08/2017,30,Potato,180,350,275,
Abohar,31/08/2017,30,Potato,150,350,300,
Adampur,02/08/2017,3.8,Other,240,400,400,
Adampur,03/08/2017,4.7,Other,300,400,400,
Adampur,04/08/2017,4.3,Other,250,400,400,
Adampur,05/08/2017,4.1,Other,250,400,400,
Adampur,07/08/2017,3.8,Other,300,400,400,
Adampur,08/08/2017,3.6,Other,250,350,350,
Adampur,09/08/2017,3.8,Other,250,350,350,
Adampur,10/08/2017,4,Other,240,350,350,
Adampur,11/08/2017,4.1,Other,250,350,350,
Adampur,12/08/2017,4.2,Other,250,400,400,
Adampur,14/08/2017,4.6,Other,250,400,400,
Adampur,15/08/2017,4.2,Other,250,400,400,
Adampur,16/08/2017,4.5,Other,200,350,350,
Adampur,17/08/2017,4.1,Other,200,400,400,
Adampur,18/08/2017,4.1,Other,200,400,400,
Adampur,19/08/2017,4,Other,200,400,400,
Adampur,21/08/2017,4.2,Other,200,400,400,
Adampur,23/08/2017,3.9,Other,200,300,300,
Adampur,24/08/2017,3.3, ,NR,NR,NR,
Adampur,29/08/2017,4.1,Other,200,300,300,
Adampur,30/08/2017,2.9,Other,200,300,300,
Adampur,31/08/2017,3.1,Other,200,300,300,
Ajnala,01/08/2017,1.3,Jalander,400,600,500,
Ajnala,02/08/2017,1.05,Jalander,400,500,500,
Ajnala,03/08/2017,1.05,Jalander,400,500,500,
Ajnala,04/08/2017,1.1,Jalander,400,500,500,
Ajnala,05/08/2017,1.8,Jalander,500,600,600,
Ajnala,06/08/2017,0.85,Jalander,500,600,600,
Ajnala,07/08/2017,0.9,Jalander,500,600,600,
Ajnala,08/08/2017,1.05,Jalander,400,600,500,
Ajnala,09/08/2017,1.4,Jalander,400,600,500,
Ajnala,11/08/2017,1,Jalander,400,600,500,
Ajnala,12/08/2017,1.4,Jalander,400,600,500,
Ajnala,13/08/2017,1.25,Jalander,400,600,500,
Ajnala,14/08/2017,1.55,Jalander,400,600,500,
