Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/06/2020,19,Potato,700,1300,1100,
Abohar,04/06/2020,19,Potato,800,1400,1100,
Abohar,05/06/2020,25,Potato,1000,1500,1250,
Abohar,06/06/2020,15,Potato,800,1500,1000,
Abohar,08/06/2020,25,Potato,900,1600,1250,
Abohar,10/06/2020,20,Potato,1200,1600,1400,
Abohar,12/06/2020,18,Potato,1200,1600,1400,
Abohar,15/06/2020,35,Potato,1500,1800,1650,
Abohar,17/06/2020,29,Potato,1200,1800,1600,
Abohar,19/06/2020,25,Potato,1200,1800,1500,
Abohar,20/06/2020,25,Potato,1200,1800,1500,
Abohar,22/06/2020,15,Potato,1000,1600,1300,
Abohar,24/06/2020,28,Potato,1500,2000,1800,
Abohar,26/06/2020,30,Potato,1300,2000,1600,
Abohar,29/06/2020,33,Potato,1400,1800,1600,
Adampur,01/06/2020,1.9, ,NR,NR,NR,
Adampur,02/06/2020,1.7,Other,1400,1600,1600,
Adampur,03/06/2020,1.9,Other,1400,1600,1600,
Adampur,04/06/2020,1.5,Other,1500,1600,1600,
Adampur,05/06/2020,1.7,Other,1400,1600,1600,
Adampur,06/06/2020,1.6,Other,1400,1600,1600,
Adampur,08/06/2020,1.8,Other,1400,1600,1600,
Adampur,09/06/2020,1.7,Other,1400,1600,1600,
Adampur,10/06/2020,2,Other,1400,1600,1600,
Adampur,11/06/2020,2.2,Other,1400,1600,1600,
Adampur,12/06/2020,1.8, ,NR,NR,NR,
Adampur,13/06/2020,1.6,Other,1500,1600,1600,
Adampur,15/06/2020,1.9,Other,1500,1600,1600,
Adampur,16/06/2020,1.9,Other,1500,1700,1700,
Adampur,17/06/2020,2,Other,1500,1700,1700,
Adampur,18/06/2020,1.8,Other,1500,NR,1600,
Adampur,19/06/2020,1.6,Other,1500,NR,1600,
Adampur,20/06/2020,1.2,Other,1500,1600,1600,
Adampur,23/06/2020,1.4,Other,1500,1600,1600,
Adampur,26/06/2020,2.5,Other,1500,1600,1600,
Adampur,27/06/2020,1,Other,1500,1600,1600,
Adampur,29/06/2020,2.6,Other,1500,1600,1600,
Adampur,30/06/2020,2.7,Other,1500,1600,1600,
Ajnala,01/06/2020,0.8,Jalander,1200,1400,1400,
Ajnala,02/06/2020,0.8,Jalander,1200,1400,1400,
Ajnala,03/06/2020,0.7,Jalander,1100,1200,1200,
Ajnala,04/06/2020,0.65,Jalander,1100,1200,1100,
Ajnala,05/06/2020,1.35,Jalander,1100,1200,1200,
Ajnala,06/06/2020,0.6,Jalander,1100,1200,1200,
Ajnala,08/06/2020,0.68,Jalander,1100,1200,1100,
Ajnala,09/06/2020,0.55,Jalander,1200,1300,1200,
Ajnala,10/06/2020,0.65,Jalander,1100,1200,1200,
Ajnala,11/06/2020,0.6,Jalander,900,1100,1100,
Ajnala,12/06/2020,0.57,Jalander,1200,1300,1200,
Ajnala,13/06/2020,0.52,Jalander,900,1000,900,
Ajnala,15/06/2020,0.61,Jalander,1000,1100,1100,
Ajnala,16/06/2020,0.59,Jalander,1200,1400,1200,
Ajnala,17/06/2020,0.56,Jalander,900,1100,1100,
Ajnala,18/06/2020,0.58,Jalander,1100,1200,1100,
Ajnala,19/06/2020,0.75,Jalander,1200,1300,1300,
Ajnala,22/06/2020,6.2,Jalander,1000,1200,1200,
Ajnala,23/06/2020,0.65,Jalander,900,1000,900,
Ajnala,24/06/2020,0.59,Jalander,1000,1300,1300,
Ajnala,25/06/2020,0.52,Jalander,900,1100,900,
Ajnala,26/06/2020,0.65,Jalander,1000,1200,1200,
Ajnala,27/06/2020,0.55,Jalander,900,1100,900,
Ajnala,29/06/2020,0.58,Jalander,900,1000,900,
Ajnala,30/06/2020,0.6,Jalander,1000,1100,1000,
Amritsar(Amritsar Mewa Mandi),01/06/2020,47.5,Potato,700,1300,1000,
Amritsar(Amritsar Mewa Mandi),02/06/2020,66.5,Potato,600,1400,1000,
Amritsar(Amritsar Mewa Mandi),03/06/2020,43.5,Potato,450,1200,800,
Amritsar(Amritsar Mewa Mandi),04/06/2020,52.8,Potato,500,1150,800,
Amritsar(Amritsar Mewa Mandi),05/06/2020,51.4,Potato,500,1100,800,
Amritsar(Amritsar Mewa Mandi),06/06/2020,51,Potato,600,1200,1000,
Amritsar(Amritsar Mewa Mandi),08/06/2020,47.2,Potato,600,1200,900,
Amritsar(Amritsar Mewa Mandi),09/06/2020,42.3,Potato,600,1300,900,
Amritsar(Amritsar Mewa Mandi),10/06/2020,46,Potato,700,1300,1000,
Amritsar(Amritsar Mewa Mandi),11/06/2020,75,Potato,600,1300,1000,
Amritsar(Amritsar Mewa Mandi),12/06/2020,48.5,Potato,600,1300,1000,
Amritsar(Amritsar Mewa Mandi),15/06/2020,54,Potato,600,1300,1000,
Amritsar(Amritsar Mewa Mandi),16/06/2020,55.8,Potato,600,1400,900,
Amritsar(Amritsar Mewa Mandi),17/06/2020,59,Potato,600,1350,900,
Amritsar(Amritsar Mewa Mandi),18/06/2020,49.7,Potato,500,1300,800,
Amritsar(Amritsar Mewa Mandi),19/06/2020,51.5,Potato,500,1400,850,
Amritsar(Amritsar Mewa Mandi),22/06/2020,48.5,Potato,500,1300,850,
Amritsar(Amritsar Mewa Mandi),23/06/2020,49.5,Potato,500,1450,900,
Amritsar(Amritsar Mewa Mandi),24/06/2020,48.6,Potato,500,1400,900,
Amritsar(Amritsar Mewa Mandi),25/06/2020,46.8,Potato,400,1500,900,
Amritsar(Amritsar Mewa Mandi),26/06/2020,67,Potato,400,1400,850,
Amritsar(Amritsar Mewa Mandi),29/06/2020,48,Potato,500,1400,1000,
Amritsar(Amritsar Mewa Mandi),30/06/2020,63.5,Potato,600,1400,1000,
Baghapurana,01/06/2020,0.4, ,NR,NR,NR,
Baghapurana,02/06/2020,0.7, ,NR,NR,NR,
Baghapurana,03/06/2020,0.6, ,NR,NR,NR,
Baghapurana,05/06/2020,0.6,Local,750,800,780,
Baghapurana,06/06/2020,0.5,Local,750,800,780,
Baghapurana,08/06/2020,0.4,Local,750,800,780,
Baghapurana,09/06/2020,0.6,Local,750,800,780,
Baghapurana,10/06/2020,0.5,Local,750,800,780,
Baghapurana,11/06/2020,0.5,Local,750,800,780,
Baghapurana,12/06/2020,0.6,Local,750,800,780,
Baghapurana,15/06/2020,0.5,Local,800,900,850,
Baghapurana,16/06/2020,0.5,Local,800,900,850,
Baghapurana,17/06/2020,1,Local,800,900,850,
Baghapurana,18/06/2020,0.8,Local,800,900,850,
Baghapurana,19/06/2020,0.5,Local,800,900,850,
Baghapurana,20/06/2020,0.5,Local,800,900,850,
Baghapurana,22/06/2020,0.4,Local,1000,1500,1200,
Baghapurana,23/06/2020,0.5,Local,800,900,850,
Baghapurana,24/06/2020,0.4,Local,800,900,850,
Baghapurana,25/06/2020,0.4,Local,800,900,850,
Baghapurana,26/06/2020,0.6,Local,800,900,850,
Baghapurana,27/06/2020,0.6,Local,800,900,850,
Baghapurana,29/06/2020,0.6,Local,800,900,850,
Baghapurana,30/06/2020,0.5,Local,800,900,850,
Banga,02/06/2020,6.9,Other,1350,1623,1500,
Banga,03/06/2020,7.8,Other,1350,1610,1400,
Banga,04/06/2020,8.5,Other,1350,1668,1400,
Banga,05/06/2020,7.2,Other,1300,1618,1400,
Banga,06/06/2020,8.2,Other,1425,1625,1500,
Banga,07/06/2020,11.9,Other,1000,1500,1410,
Banga,09/06/2020,11.5,Other,1350,1665,1400,
Banga,10/06/2020,12,Other,1200,1674,1400,
Banga,11/06/2020,5.9,Other,1400,1687,1454,
Banga,12/06/2020,7.8,Other,1402,1694,1500,
Banga,13/06/2020,8.2,Other,1421,1736,1500,
Banga,14/06/2020,5.7,Other,1434,1772,1600,
Banga,16/06/2020,9.6,Other,1400,1727,1600,
Banga,17/06/2020,12.3,Other,1400,1788,1550,
Banga,18/06/2020,9.8,Other,1400,1767,1500,
Banga,19/06/2020,7.9,Other,1500,1771,1620,
Banga,20/06/2020,6.8,Other,1400,1835,1700,
Banga,21/06/2020,6.2,Other,1400,1789,1565,
Banga,23/06/2020,6.6,Other,1500,1811,1600,
Banga,24/06/2020,9,Other,1500,1789,1600,
Banga,25/06/2020,6.7,Other,1421,1801,1500,
Banga,26/06/2020,6.8,Other,1466,1795,1500,
Banga,27/06/2020,6.4,Other,1500,1807,1525,
Banga,28/06/2020,8.9,Other,1500,1806,1610,
Banga,30/06/2020,9.7,Other,1246,1818,1512,
Banur,01/06/2020,4, ,NR,NR,NR,
Banur,02/06/2020,0.4,Other,1200,1500,1500,
Banur,03/06/2020,0.4,Other,1200,1500,1500,
Banur,04/06/2020,0.4,Other,1200,1500,1500,
Banur,05/06/2020,0.4,Other,1200,1500,1500,
Banur,06/06/2020,0.4,Other,1200,1500,1500,
Banur,07/06/2020,0.4,Other,1200,1500,1500,
Banur,08/06/2020,0.4,Other,1200,1500,1500,
Banur,09/06/2020,0.4,Other,1500,1600,1600,
Banur,10/06/2020,0.5,Other,1200,1600,1600,
Banur,11/06/2020,0.5,Other,1500,1600,1600,
Banur,12/06/2020,0.5,Other,1500,1600,1600,
Banur,16/06/2020,0.5,Other,1500,1800,1800,
Banur,17/06/2020,0.5,Other,1500,1800,1800,
Banur,18/06/2020,0.5,Other,1500,1600,1600,
Banur,19/06/2020,0.5,Other,1800,2000,2000,
Banur,20/06/2020,0.5,Other,1500,1600,1600,
Banur,22/06/2020,0.5,Other,1500,1800,1800,
Banur,23/06/2020,0.2,Other,1500,1600,1600,
Banur,24/06/2020,0.3,Other,1500,1600,1600,
Banur,25/06/2020,0.2,Other,1500,1600,1600,
Banur,26/06/2020,0.2,Other,1500,1600,1600,
Banur,29/06/2020,0.2,Other,1200,1400,1400,
Banur (Kheragaju),01/06/2020,1.2, ,NR,NR,NR,
Banur (Kheragaju),02/06/2020,1.2, ,NR,NR,NR,
Banur (Kheragaju),03/06/2020,1.5,(Red Nanital),1500,1700,1700,
Banur (Kheragaju),04/06/2020,1,(Red Nanital),1200,1600,1600,
Banur (Kheragaju),05/06/2020,1.5,(Red Nanital),1200,1600,1600,
Banur (Kheragaju),06/06/2020,1.5,(Red Nanital),1500,1600,1600,
Banur (Kheragaju),07/06/2020,1.5,(Red Nanital),1500,1600,1600,
Banur (Kheragaju),08/06/2020,1.5,(Red Nanital),1500,1600,1600,
Banur (Kheragaju),09/06/2020,1.5,(Red Nanital),1500,1600,1600,
Banur (Kheragaju),10/06/2020,1,(Red Nanital),1200,1600,1600,
Banur (Kheragaju),11/06/2020,1,(Red Nanital),1600,1700,1700,
Banur (Kheragaju),12/06/2020,1.2,(Red Nanital),1800,2000,2000,
Banur (Kheragaju),16/06/2020,15,(Red Nanital),1500,1800,1800,
Banur (Kheragaju),17/06/2020,1.2,(Red Nanital),1800,2000,2000,
