Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,22/04/2019,1,Tomato,1000,1000,1000,
Bagepalli,01/04/2019,17,Tomato,750,1700,1315,
Bagepalli,02/04/2019,15,Tomato,750,1600,1300,
Bagepalli,03/04/2019,17,Tomato,800,1750,1340,
Bagepalli,04/04/2019,18,Tomato,700,1700,1265,
Bagepalli,05/04/2019,9,Tomato,800,1600,1150,
Bagepalli,08/04/2019,18,Tomato,750,1600,1180,
Bagepalli,09/04/2019,19,Tomato,650,1500,1050,
Bagepalli,10/04/2019,16,Tomato,800,1800,1350,
Bagepalli,11/04/2019,11,Tomato,1200,2600,1980,
Bagepalli,12/04/2019,6,Tomato,1500,3000,2250,
Bagepalli,15/04/2019,12,Tomato,1500,3200,2330,
Bagepalli,20/04/2019,12,Tomato,1500,2600,1940,
Bagepalli,22/04/2019,10,Tomato,1000,1800,1525,
Bagepalli,23/04/2019,8,Tomato,1200,2100,1740,
Bagepalli,24/04/2019,12,Tomato,1300,2500,1985,
Bagepalli,25/04/2019,13,Tomato,1350,2400,1910,
Bagepalli,26/04/2019,2,Tomato,1200,2600,1950,
Bagepalli,27/04/2019,12,Tomato,1800,3500,2840,
Bagepalli,29/04/2019,11,Tomato,1800,3500,2450,
Bagepalli,30/04/2019,10,Tomato,1800,3600,2650,
Bangarpet,13/04/2019,2,Tomato,300,1700,800,
Bangarpet,15/04/2019,3,Tomato,300,1800,900,
Bangarpet,24/04/2019,1,Tomato,300,1600,980,
Bangarpet,25/04/2019,2,Tomato,350,1450,980,
Belur,01/04/2019,1,Hybrid,1000,1000,1000,
Belur,04/04/2019,3,Hybrid,1250,1250,1250,
Belur,11/04/2019,3,Hybrid,1250,1250,1250,
Belur,15/04/2019,3,Hybrid,1000,1500,1000,
Belur,22/04/2019,2,Hybrid,1250,1250,1250,
Belur,25/04/2019,3,Hybrid,1346,1500,1346,
Belur,02/04/2019,41,Tomato,1200,1600,1400,
Belur,03/04/2019,45,Tomato,1200,1800,1400,
Belur,04/04/2019,42,Tomato,1400,2000,1800,
Belur,05/04/2019,19,Tomato,1600,2200,1800,
Belur,08/04/2019,30,Tomato,2000,2400,2200,
Belur,09/04/2019,37,Tomato,1800,2200,2000,
Belur,10/04/2019,38,Tomato,1800,2000,1900,
Belur,11/04/2019,35,Tomato,1800,2000,1900,
Belur,12/04/2019,39,Tomato,1600,2000,1800,
Belur,15/04/2019,43,Tomato,1600,2000,1800,
Belur,16/04/2019,46,Tomato,1800,2200,2000,
Belur,20/04/2019,36,Tomato,2000,2400,2200,
Belur,22/04/2019,48,Tomato,2500,3500,3000,
Belur,23/04/2019,48,Tomato,2000,3000,2500,
Belur,24/04/2019,33,Tomato,2000,3000,2500,
Belur,25/04/2019,38,Tomato,2000,3000,2500,
Belur,26/04/2019,16,Tomato,2000,3000,2500,
Belur,27/04/2019,33,Tomato,2000,3000,2500,
Belur,29/04/2019,39,Tomato,2000,3000,2800,
Belur,30/04/2019,36,Tomato,2000,3400,3000,
Channapatana,01/04/2019,2,Tomato,650,1500,1100,
Channapatana,02/04/2019,2,Tomato,750,1600,1250,
Channapatana,03/04/2019,2,Tomato,750,1500,1200,
Channapatana,04/04/2019,2,Tomato,1000,2000,1500,
Channapatana,05/04/2019,3,Tomato,750,2000,1300,
Channapatana,08/04/2019,1,Tomato,650,1250,1000,
Channapatana,09/04/2019,2,Tomato,600,1400,1200,
Channapatana,10/04/2019,3,Tomato,500,1400,1000,
Channapatana,11/04/2019,1,Tomato,1000,2250,1500,
Channapatana,12/04/2019,2,Tomato,1250,2500,1750,
Channapatana,13/04/2019,2,Tomato,1250,2750,2000,
Channapatana,15/04/2019,2,Tomato,1500,2750,2100,
Channapatana,16/04/2019,2,Tomato,1250,2500,1750,
Channapatana,17/04/2019,1,Tomato,1250,2500,1700,
Channapatana,19/04/2019,1,Tomato,1250,2750,2000,
Channapatana,20/04/2019,1,Tomato,1250,3000,2250,
Channapatana,22/04/2019,1,Tomato,1750,3250,2500,
Channapatana,23/04/2019,1,Tomato,1500,3000,2250,
Channapatana,24/04/2019,2,Tomato,1250,3250,2250,
Channapatana,25/04/2019,1,Tomato,1250,3250,2000,
Channapatana,26/04/2019,2,Tomato,1000,2250,1500,
Channapatana,27/04/2019,2,Tomato,1500,2500,2000,
Channapatana,29/04/2019,1,Tomato,1500,3000,2250,
Channapatana,30/04/2019,2,Tomato,1500,3250,2250,
Chickkaballapura,01/04/2019,21,Tomato,380,1920,1340,
Chickkaballapura,02/04/2019,29,Tomato,400,2160,1460,
Chickkaballapura,03/04/2019,40,Tomato,400,2030,1400,
Chickkaballapura,05/04/2019,42,Tomato,400,2230,1500,
Chickkaballapura,06/04/2019,28,Tomato,400,1920,1350,
Chickkaballapura,07/04/2019,5,Tomato,400,1770,1270,
Chickkaballapura,08/04/2019,23,Tomato,400,1850,1310,
Chickkaballapura,09/04/2019,26,Tomato,400,1900,1500,
Chickkaballapura,10/04/2019,28,Tomato,400,1920,1340,
Chickkaballapura,12/04/2019,39,Tomato,400,1770,1270,
Chickkaballapura,13/04/2019,20,Tomato,400,2000,1380,
Chickkaballapura,14/04/2019,12,Tomato,400,2300,1550,
Chickkaballapura,15/04/2019,12,Tomato,400,2230,1500,
Chickkaballapura,16/04/2019,14,Tomato,400,2300,1550,
Chickkaballapura,17/04/2019,12,Tomato,400,2300,1500,
Chickkaballapura,19/04/2019,16,Tomato,400,2230,1500,
Chickkaballapura,20/04/2019,22,Tomato,400,2700,1730,
Chickkaballapura,21/04/2019,24,Tomato,400,2300,1530,
Chickkaballapura,22/04/2019,18,Tomato,500,2300,1500,
Chickkaballapura,23/04/2019,12,Tomato,400,2300,1500,
Chickkaballapura,24/04/2019,16,Tomato,400,2400,1600,
Chickkaballapura,26/04/2019,19,Tomato,500,2700,1700,
Chickkaballapura,27/04/2019,15,Tomato,500,2500,1600,
Chickkaballapura,28/04/2019,16,Tomato,500,2600,1700,
Chickkaballapura,29/04/2019,17,Tomato,500,2600,1700,
Chickkaballapura,30/04/2019,30,Tomato,400,3000,1900,
Chikkamagalore,01/04/2019,46,Tomato,965,1165,1065,
Chikkamagalore,02/04/2019,14,Tomato,998,1198,1098,
Chikkamagalore,03/04/2019,36,Tomato,1014,1214,1114,
Chikkamagalore,04/04/2019,16,Tomato,996,1196,1096,
Chikkamagalore,05/04/2019,39,Tomato,1056,1256,1156,
Chikkamagalore,08/04/2019,60,Tomato,1290,1490,1390,
Chikkamagalore,09/04/2019,8,Tomato,1000,1250,1172,
Chikkamagalore,10/04/2019,22,Tomato,1173,1373,1273,
Chikkamagalore,11/04/2019,7,Tomato,1042,1242,1142,
Chikkamagalore,12/04/2019,23,Tomato,1101,1301,1201,
Chikkamagalore,15/04/2019,39,Tomato,1337,1537,1437,
Chikkamagalore,16/04/2019,6,Tomato,971,1171,1071,
Chikkamagalore,20/04/2019,34,Tomato,1307,1507,1407,
Chikkamagalore,22/04/2019,16,Tomato,1301,1501,1401,
Chikkamagalore,24/04/2019,12,Tomato,1311,1511,1411,
Chikkamagalore,25/04/2019,2,Tomato,1304,1304,1304,
Chikkamagalore,26/04/2019,4,Tomato,1328,1528,1428,
Chikkamagalore,27/04/2019,4,Tomato,1347,1547,1447,
Chikkamagalore,29/04/2019,11,Tomato,1582,1782,1682,
Chintamani,01/04/2019,58,Tomato,333,1700,900,
Chintamani,02/04/2019,27,Tomato,366,1600,933,
Chintamani,03/04/2019,92,Tomato,400,1867,1000,
Chintamani,04/04/2019,68,Tomato,333,1833,1067,
Chintamani,05/04/2019,64,Tomato,300,1567,1000,
Chintamani,06/04/2019,38,Tomato,300,1567,1000,
