Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,01/07/2020,60, ,NR,NR,NR,
Aklera,02/07/2020,200,Other,1760,1840,1800,
Aklera,03/07/2020,250,Other,1780,1860,1820,
Aklera,04/07/2020,150,Other,1750,1810,1780,
Aklera,06/07/2020,250,Other,1700,1770,1735,
Aklera,07/07/2020,140,Other,1710,1760,1735,
Aklera,08/07/2020,180, ,NR,NR,NR,
Aklera,09/07/2020,240,Other,1710,1780,1745,
Aklera,10/07/2020,100,Other,1710,1777,1743,
Aklera,11/07/2020,90,Other,1700,1790,1745,
Aklera,13/07/2020,70,Other,1770,1815,1792,
Aklera,14/07/2020,80,Other,1740,1800,1770,
Aklera,15/07/2020,80,Other,1700,1756,1728,
Aklera,16/07/2020,25,Other,1700,1760,1730,
Aklera,17/07/2020,30,Other,1710,1765,1737,
Aklera,18/07/2020,25,Other,1710,1760,1735,
Aklera,20/07/2020,30,Other,1690,1750,1720,
Alwar,01/07/2020,91.2,Other,1750,1800,1795,
Alwar,02/07/2020,147,Other,1760,1800,1782,
Alwar,03/07/2020,107.4,Other,1750,1770,1750,
Alwar,06/07/2020,119.5,Other,1700,1761,1750,
Alwar,07/07/2020,74.8,Other,1750,1785,1758,
Alwar,08/07/2020,75.7,Other,1750,1775,1755,
Alwar,09/07/2020,67.5,Other,1730,1755,1745,
Alwar,10/07/2020,82,Other,1740,1745,1743,
Alwar,11/07/2020,53.5,Other,1700,1735,1725,
Alwar,13/07/2020,82.6,Other,1710,1717,1715,
Alwar,14/07/2020,70.9,Other,1650,1720,1715,
Alwar,15/07/2020,64.3,Other,1710,1727,1720,
Alwar,17/07/2020,41.9,Other,1730,1738,1735,
Alwar,18/07/2020,47.6,Other,1730,1740,1735,
Anoopgarh,01/07/2020,17.9, ,NR,NR,NR,
Anoopgarh,02/07/2020,38.8, ,NR,NR,NR,
Anoopgarh,03/07/2020,50, ,NR,NR,NR,
Anoopgarh,04/07/2020,16, ,NR,NR,NR,
Anoopgarh,06/07/2020,73.9, ,NR,NR,NR,
Anoopgarh,07/07/2020,37.6, ,NR,NR,NR,
Anoopgarh,08/07/2020,40.2, ,NR,NR,NR,
Anoopgarh,09/07/2020,13.5, ,NR,NR,NR,
Anoopgarh,10/07/2020,90.8, ,NR,NR,NR,
Anoopgarh,11/07/2020,41.2, ,NR,NR,NR,
Anoopgarh,13/07/2020,32, ,NR,NR,NR,
Anoopgarh,14/07/2020,41.8, ,NR,NR,NR,
Anoopgarh,15/07/2020,45.4, ,NR,NR,NR,
Anoopgarh,16/07/2020,17.5, ,NR,NR,NR,
Anta,14/07/2020,20.9,Other,1718,1729,1723,
Anta,16/07/2020,13.2,Other,1709,1746,1727,
Anta,17/07/2020,14,Other,1675,1715,1695,
Anta,18/07/2020,5.7,Other,1685,1715,1700,
Atru,02/07/2020,3.7,Other,1665,1765,1715,
Atru,03/07/2020,135.8,Other,1700,1730,1715,
Atru,04/07/2020,40.9,Other,1695,1717,1706,
Atru,06/07/2020,50.3,Other,1666,1698,1682,
Atru,07/07/2020,22.1,Other,1647,1695,1671,
Atru,08/07/2020,36,Other,1658,1709,1683,
Atru,09/07/2020,44.3,Other,1631,1724,1677,
Atru,10/07/2020,32,Other,1650,1772,1686,
Atru,11/07/2020,31.9,Other,1679,1713,1696,
Atru,13/07/2020,33.4,Other,1658,1726,1692,
Atru,14/07/2020,36.1, ,NR,NR,NR,
Atru,15/07/2020,29.1,Other,1600,1740,1670,
Atru,16/07/2020,37.6,Other,1665,1736,1700,
Atru,17/07/2020,37.8,Other,1600,1735,1697,
Atru,18/07/2020,26.9,Other,1650,1713,1682,
Atru(Kawai Salpura),01/07/2020,47,Other,1780,1960,1870,
Atru(Kawai Salpura),02/07/2020,116.4,Other,1740,1790,1765,
Atru(Kawai Salpura),04/07/2020,116.8,Other,1750,1787,1769,
Atru(Kawai Salpura),06/07/2020,82.6,Other,1720,1826,1773,
Atru(Kawai Salpura),07/07/2020,114.7,Other,1670,1790,1730,
Atru(Kawai Salpura),08/07/2020,132,Other,1700,1780,1740,
Atru(Kawai Salpura),09/07/2020,162.2,Other,1700,1770,1735,
Atru(Kawai Salpura),10/07/2020,103,Other,1700,1828,1764,
Atru(Kawai Salpura),11/07/2020,107.2,Other,1720,1810,1765,
Atru(Kawai Salpura),13/07/2020,113.7,Other,1730,1799,1765,
Atru(Kawai Salpura),14/07/2020,89.9,Other,1710,1795,1759,
Atru(Kawai Salpura),15/07/2020,71.5,Other,1700,1798,1749,
Atru(Kawai Salpura),16/07/2020,73,Other,1725,1786,1756,
Atru(Kawai Salpura),17/07/2020,38.1,Other,1727,1815,1771,
Atru(Kawai Salpura),18/07/2020,30,Other,1728,1825,1772,
Badrisadri,01/07/2020,280, ,NR,NR,NR,
Badrisadri,02/07/2020,206,Other,1706,1827,1750,
Badrisadri,03/07/2020,377,Other,1619,1803,1725,
Badrisadri,04/07/2020,82,Other,1715,1811,1750,
Badrisadri,06/07/2020,220,Other,1661,1838,1725,
Badrisadri,07/07/2020,131,Other,1690,1802,1725,
Badrisadri,08/07/2020,177,Other,1681,1821,1725,
Badrisadri,09/07/2020,209,Other,1653,1837,1725,
Badrisadri,10/07/2020,339,Other,1516,1872,1750,
Badrisadri,13/07/2020,235,Other,1686,1833,1750,
Badrisadri,14/07/2020,338,Other,1667,1800,1725,
Badrisadri,15/07/2020,254,Other,1462,1813,1750,
Badrisadri,16/07/2020,276,Other,1651,1837,1750,
Badrisadri,17/07/2020,310,Other,1613,1829,1725,
Badrisadri,18/07/2020,61,Other,1652,1741,1700,
Bagru,02/07/2020,6.7,Other,1800,2000,1900,
Bagru,06/07/2020,10.6,Other,1700,2000,1850,
Bagru,07/07/2020,5,Other,1700,1900,1850,
Bagru,09/07/2020,7.8,Other,1700,2000,1850,
Bagru,10/07/2020,1.8,Other,1700,2000,1850,
Bagru,13/07/2020,1.6,Other,1700,1900,1800,
Bagru,16/07/2020,1.3,Other,1700,1900,1800,
Bandikui,05/07/2020,14.7,Other,1729,1740,1735,
Bandikui,10/07/2020,22.2,Other,1710,1777,1714,
Bandikui,11/07/2020,25.9,Other,1665,1800,1733,
Bandikui,12/07/2020,25.6,Other,1650,1715,1683,
Bandikui,13/07/2020,26.7,Other,1697,1705,1701,
Bandikui,15/07/2020,19.4,Other,1650,1738,1694,
Bandikui,17/07/2020,21.2,Other,1650,1670,1660,
Bandikui,18/07/2020,6.6,Other,1640,1681,1661,
Bandikui(Geejgarh),07/07/2020,3.6,Other,1590,1697,1644,
Bandikui(Geejgarh),10/07/2020,0.3,Other,1711,1711,1711,
Bandikui(Geejgarh),12/07/2020,3.1,Other,1651,1715,1683,
Bandikui(Geejgarh),14/07/2020,3.1,Other,1631,1667,1649,
Bandikui(Geejgarh),15/07/2020,1.7,Other,1601,1602,1602,
Bandikui(Geejgarh),17/07/2020,0.6,Other,1600,1620,1610,
Bandikui(Geejgarh),18/07/2020,2.7,Other,1616,1625,1620,
Baran,01/07/2020,250,Other,1740,1835,1800,
Baran,02/07/2020,1250,Other,1700,1850,1800,
Baran,03/07/2020,1250,Other,1700,1785,1760,
Baran,04/07/2020,250,Other,1700,1816,1790,
Baran,06/07/2020,500,Other,1680,1770,1750,
Baran,07/07/2020,750,Other,1680,1770,1740,
Baran,08/07/2020,800,Other,1680,1757,1720,
Baran,09/07/2020,800,Other,1700,1760,1740,
Baran,10/07/2020,450,Other,1700,1818,1742,
Baran,11/07/2020,600,Other,1708,1803,1750,
Baran,13/07/2020,900,Other,1695,1800,1752,
Baran,14/07/2020,650,Other,1690,1765,1725,
Baran,15/07/2020,600,Other,1691,1774,1745,
Baran,16/07/2020,450,Other,1680,1767,1731,
Baran,17/07/2020,375,Other,1690,1768,1740,
Baran,18/07/2020,300,Other,1670,1750,1730,
Bayana,01/07/2020,90.6,Other,1748,1768,1758,
Bayana,02/07/2020,117.3,Other,1758,1758,1758,
Bayana,03/07/2020,144.2,Other,1625,1733,1680,
Bayana,04/07/2020,69.6,Other,1731,1738,1735,
Bayana,06/07/2020,139.4,Other,1691,1710,1700,
Bayana,07/07/2020,93.6,Other,1649,1705,1677,
Bayana,08/07/2020,90.2,Other,1600,1713,1658,
Bayana,09/07/2020,103.5, ,NR,NR,NR,
Bayana,10/07/2020,80.3,Other,1700,1732,1716,
Bayana,11/07/2020,24.9,Other,1700,1735,1718,
Bayana,13/07/2020,109.5,Other,1666,1713,1690,
Bayana,14/07/2020,79.9,Other,1699,1709,1704,
Bayana,15/07/2020,66.8,Other,1680,1709,1695,
Bayana,17/07/2020,74.7,Other,1683,1710,1690,
Bayana,18/07/2020,16.2,Other,1685,1700,1692,
Beawar,02/07/2020,2.3, ,NR,NR,NR,
Beawar,03/07/2020,0.8,Other,1700,2200,1950,
Beawar,04/07/2020,1.6,Other,1700,2200,1950,
Beawar,05/07/2020,2,Other,1700,2000,1850,
Beawar,07/07/2020,2,Other,1700,2200,1950,
Beawar,08/07/2020,2,Other,1700,2200,1950,
Beawar,09/07/2020,1,Other,1700,2200,1950,
Beawar,14/07/2020,0.8,Other,1800,2200,2000,
Beawar,15/07/2020,0.8,Other,1800,2200,2000,
Beawar,16/07/2020,3.2,Other,1800,2200,2000,
Begu,04/07/2020,200,Other,1750,1900,1850,
Begu,05/07/2020,165,Other,1740,1900,1840,
Begu,06/07/2020,120,Other,1750,1900,1840,
Begu,07/07/2020,205,Other,1740,1900,1850,
Begu,08/07/2020,190,Other,1740,1900,1850,
Begu,09/07/2020,90,Other,1740,1890,1840,
Begu,13/07/2020,160,Other,1740,1900,1850,
Begu,16/07/2020,100,Other,1740,1900,1840,
Bhadara,02/07/2020,0.4,Other,1780,1780,1780,
Bhadara,06/07/2020,5.8,Other,1771,1780,1776,
Bhadara,08/07/2020,2.5,Other,1750,1750,1750,
Bhadara,10/07/2020,0.2,Other,1770,1770,1770,
Bhadara,11/07/2020,0.2,Other,1740,1740,1740,
Bhawani Mandi,02/07/2020,90,Other,1660,1764,1712,
Bhawani Mandi,03/07/2020,62,Other,1675,1729,1727,
Bhawani Mandi,04/07/2020,50,Other,1675,1749,1712,
Bhawani Mandi,07/07/2020,50,Other,1631,1731,1681,
Bhawani Mandi,08/07/2020,45,Other,1651,1720,1686,
Bhawani Mandi,09/07/2020,35,Other,1650,1714,1682,
Bhawani Mandi,10/07/2020,30,Other,1650,1724,1687,
Bhawani Mandi,11/07/2020,40,Other,1600,1726,1663,
Bhawani Mandi,13/07/2020,40,Other,1600,1725,1663,
Bhawani Mandi,15/07/2020,42,Other,1600,1731,1665,
Bhawani Mandi,16/07/2020,25,Other,1630,1692,1661,
Bhawani Mandi,17/07/2020,22.5,Other,1630,1681,1655,
Bhawani Mandi,18/07/2020,39,Other,1575,1661,1618,
Bhawani Mandi(Choumehla),01/07/2020,52, ,NR,NR,NR,
Bhawani Mandi(Choumehla),02/07/2020,28,Other,1700,1776,1738,
Bhawani Mandi(Choumehla),03/07/2020,45,Other,1720,1770,1745,
Bhawani Mandi(Choumehla),04/07/2020,22.5,Other,1700,1810,1755,
Bhawani Mandi(Choumehla),06/07/2020,27,Other,1700,1770,1735,
Bhawani Mandi(Choumehla),07/07/2020,18,Other,1726,1770,1748,
Bhawani Mandi(Choumehla),08/07/2020,19,Other,1700,1750,1725,
Bhawani Mandi(Choumehla),09/07/2020,15,Other,1700,1760,1730,
Bhawani Mandi(Choumehla),10/07/2020,15,Other,1700,1750,1725,
Bhawani Mandi(Choumehla),11/07/2020,25,Other,1700,1760,1730,
Bhawani Mandi(Choumehla),13/07/2020,12.5,Other,1700,1750,1725,
Bhawani Mandi(Choumehla),14/07/2020,15.5,Other,1700,1740,1720,
Bhawani Mandi(Choumehla),15/07/2020,10,Other,1690,1708,1699,
Bhawani Mandi(Choumehla),16/07/2020,24,Other,1696,1730,1713,
