Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,15/05/2017,300,Dara,1575,1650,1625,
Achalda,31/05/2017,290,Dara,1590,1655,1630,
Achnera,29/05/2017,2400,Dara,1615,1635,1625,
Agra,01/05/2017,1580,Dara,1610,1650,1620,
Agra,02/05/2017,1430,Dara,1610,1640,1630,
Agra,03/05/2017,1380,Dara,1620,1650,1635,
Agra,04/05/2017,1430,Dara,1610,1650,1630,
Agra,06/05/2017,1500,Dara,1610,1650,1630,
Agra,08/05/2017,1605,Dara,1610,1650,1630,
Agra,09/05/2017,1660,Dara,1600,1640,1625,
Agra,10/05/2017,1575,Dara,1610,1650,1630,
Agra,11/05/2017,1930,Dara,1600,1640,1630,
Agra,13/05/2017,1950,Dara,1620,1645,1635,
Agra,15/05/2017,1905,Dara,1610,1650,1630,
Agra,16/05/2017,2020,Dara,1600,1640,1625,
Agra,17/05/2017,2045,Dara,1600,1640,1630,
Agra,18/05/2017,2075,Dara,1610,1650,1630,
Agra,19/05/2017,2100,Dara,1600,1645,1625,
Agra,22/05/2017,2050,Dara,1610,1650,1625,
Agra,23/05/2017,2160,Dara,1610,1650,1630,
Agra,24/05/2017,2170,Dara,1610,1640,1630,
Agra,25/05/2017,2170,Dara,1610,1640,1630,
Agra,26/05/2017,2180,Dara,1610,1640,1625,
Agra,27/05/2017,2150,Dara,1610,1640,1630,
Agra,29/05/2017,2130,Dara,1610,1640,1630,
Agra,30/05/2017,2172,Dara,1610,1640,1625,
Agra,31/05/2017,2173,Dara,1600,1645,1630,
Ahirora,25/05/2017,28,Other,NR,NR,1630,
Ajuha,12/05/2017,200,Dara,1600,1680,1640,
Akbarpur,01/05/2017,38,Dara,1600,1635,1630,
Akbarpur,03/05/2017,40,Dara,1600,1635,1630,
Akbarpur,04/05/2017,57.5,Dara,1600,1635,1630,
Akbarpur,05/05/2017,60,Dara,1600,1635,1630,
Akbarpur,06/05/2017,48,Dara,1600,1635,1630,
Akbarpur,07/05/2017,47.5,Dara,1600,1635,1630,
Akbarpur,08/05/2017,45,Dara,1600,1635,1630,
Akbarpur,10/05/2017,57.5,Dara,1600,1635,1625,
Akbarpur,11/05/2017,60,Dara,1600,1635,1625,
Akbarpur,12/05/2017,59.5,Dara,1600,1635,1625,
Akbarpur,13/05/2017,48,Dara,1600,1635,1625,
Akbarpur,14/05/2017,47.5,Dara,1600,1635,1625,
Akbarpur,15/05/2017,60,Dara,1600,1650,1625,
Akbarpur,17/05/2017,57.5,Dara,1600,1635,1625,
Akbarpur,18/05/2017,55,Dara,1600,1635,1625,
Akbarpur,19/05/2017,67.5,Dara,1600,1635,1625,
Akbarpur,20/05/2017,73.5,Dara,1600,1635,1625,
Akbarpur,21/05/2017,65,Dara,1600,1650,1625,
Akbarpur,22/05/2017,48,Dara,1600,1635,1625,
Akbarpur,24/05/2017,57.5,Dara,1600,1635,1625,
Akbarpur,25/05/2017,45,Dara,1600,1635,1625,
Akbarpur,26/05/2017,55,Dara,1600,1635,1625,
Akbarpur,27/05/2017,49.5,Dara,1600,1635,1625,
Akbarpur,28/05/2017,43.5,Dara,1600,1635,1625,
Akbarpur,29/05/2017,50,Dara,1600,1635,1625,
Akbarpur,31/05/2017,65,Dara,1600,1635,1625,
Aliganj,01/05/2017,140,Dara,NR,NR,1625,
Aliganj,03/05/2017,180,Dara,NR,NR,1625,
Aliganj,04/05/2017,160,Dara,NR,NR,1625,
Aliganj,05/05/2017,100,Dara,NR,NR,1625,
Aliganj,06/05/2017,80,Dara,NR,NR,1625,
Aliganj,07/05/2017,60,Dara,NR,NR,1625,
Aliganj,08/05/2017,70,Dara,NR,NR,1625,
Aliganj,10/05/2017,80,Dara,NR,NR,1625,
Aliganj,11/05/2017,90,Dara,NR,NR,1625,
Aliganj,12/05/2017,80,Dara,NR,NR,1625,
Aliganj,13/05/2017,70,Dara,NR,NR,1625,
Aliganj,14/05/2017,60,Dara,NR,NR,1625,
Aliganj,15/05/2017,80,Dara,NR,NR,1625,
Aliganj,17/05/2017,140,Dara,NR,NR,1625,
Aliganj,18/05/2017,120,Dara,NR,NR,1625,
Aliganj,19/05/2017,100,Dara,NR,NR,1625,
Aliganj,20/05/2017,80,Dara,NR,NR,1625,
Aliganj,21/05/2017,70,Dara,NR,NR,1625,
Aliganj,22/05/2017,80,Dara,NR,NR,1625,
Aliganj,24/05/2017,60,Dara,NR,NR,1625,
