Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achnera,02/08/2019,24,Dara,1830,1870,1850,
Achnera,03/08/2019,25,Dara,1800,1900,1850,
Achnera,04/08/2019,20,Dara,1800,1880,1840,
Achnera,05/08/2019,22,Dara,1800,1900,1850,
Achnera,06/08/2019,20,Dara,1800,1880,1840,
Achnera,10/08/2019,26,Dara,1800,1880,1840,
Achnera,11/08/2019,22, ,NR,NR,NR,
Achnera,12/08/2019,20, ,NR,NR,NR,
Achnera,13/08/2019,20,Dara,1800,1880,1840,
Achnera,14/08/2019,18,Dara,1820,1880,1850,
Achnera,16/08/2019,19,Dara,1820,1900,1860,
Achnera,17/08/2019,5,Dara,1840,1920,1880,
Achnera,18/08/2019,4,Dara,1870,1930,1900,
Achnera,19/08/2019,22,Dara,1880,1960,1920,
Achnera,20/08/2019,17,Dara,1850,1950,1900,
Achnera,21/08/2019,19,Dara,1850,1950,1900,
Achnera,23/08/2019,19,Dara,1850,1950,1900,
Achnera,24/08/2019,18,Dara,1920,1980,1950,
Achnera,25/08/2019,18,Dara,1880,1960,1920,
Achnera,26/08/2019,19,Dara,1890,1950,1920,
Achnera,27/08/2019,17,Dara,1880,1940,1910,
Achnera,28/08/2019,18,Dara,1880,1960,1920,
Achnera,30/08/2019,17,Dara,1890,1950,1920,
Achnera,31/08/2019,16,Dara,1870,1950,1910,
Agra,01/08/2019,937,Dara,1900,1940,1920,
Agra,02/08/2019,945,Dara,1900,1920,1910,
Agra,03/08/2019,935,Dara,1900,1930,1920,
Agra,05/08/2019,1011,Dara,1900,1950,1925,
Agra,06/08/2019,824,Dara,1910,1940,1930,
Agra,07/08/2019,976,Dara,1910,1940,1930,
Agra,08/08/2019,915,Dara,1900,1935,1920,
Agra,09/08/2019,882,Dara,1900,1930,1910,
Agra,12/08/2019,831,Dara,1900,1950,1920,
Agra,13/08/2019,777,Dara,1910,1940,1925,
Agra,14/08/2019,805,Dara,1900,1950,1930,
