Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badnagar,01/12/2016,4.6,Average,4302,7777,7199,
,02/12/2016,4.9,Average,4411,8300,7440,
,03/12/2016,6.6,Average,4350,7600,7171,
,05/12/2016,3,Average,4444,7299,6810,
,06/12/2016,3.5,Average,4852,7610,6710,
,07/12/2016,1.7,Average,4399,6711,6262,
,08/12/2016,5.8,Average,4344,6599,6399,
,09/12/2016,4.7,Average,4040,6299,5900,
,14/12/2016,4,Average,4211,6710,6399,
,15/12/2016,3.8,Average,4100,8000,7812,
,16/12/2016,2.1,Average,3200,8092,6600,
,17/12/2016,1.5,Average,4290,9100,8401,
,19/12/2016,2.2,Average,4501,9720,7500,
,20/12/2016,1.4,Average,4500,10252,9392,
,21/12/2016,1.4,Average,4400,10100,9140,
,22/12/2016,1.2,Average,4011,8800,7899,
,23/12/2016,0.7,Average,4000,8777,7500,
,26/12/2016,0.9,Average,4110,9300,8700,
,27/12/2016,1.2,Average,2800,10300,9393,
,28/12/2016,0.4,Average,4000,10400,8888,
,30/12/2016,1.7,Average,4310,10600,9100,
,31/12/2016,0.3,Average,4500,8600,7200,
Badnawar(F&V),01/12/2016,34,Other,2911,11111,5767,
,02/12/2016,15,Other,3000,6800,5489,
,03/12/2016,25,Other,2500,6000,4722,
,05/12/2016,23,Other,4000,8800,5500,
,06/12/2016,21,Other,2500,6800,4015,
,07/12/2016,12,Other,2400,6000,4033,
,08/12/2016,30,Other,3535,6700,4103,
,09/12/2016,24,Other,2005,5500,4217,
,10/12/2016,29,Other,2400,5800,4783,
,11/12/2016,0.6,Other,4000,4000,4000,
,12/12/2016,12,Other,4100,5858,5141,
,15/12/2016,18,Other,4500,5000,4795,
,16/12/2016,10,Other,4000,7500,5550,
,17/12/2016,14,Other,6050,6050,6050,
,19/12/2016,21,Other,4000,6667,5370,
,20/12/2016,8,Other,4000,5000,4250,
,21/12/2016,17,Other,4005,6633,6182,
,22/12/2016,13,Other,4000,6250,4712,
,23/12/2016,28,Other,4000,7000,5697,
,24/12/2016,3,Other,7000,7000,7000,
,26/12/2016,18,Other,4000,7000,5531,
,28/12/2016,195,Other,4000,8247,6000,
,29/12/2016,12,Other,5500,8008,6932,
Betul,23/12/2016,2,Average,6500,7500,7000,
,31/12/2016,5,Average,2100,2800,2500,
Bhopal(F&V),01/12/2016,4.5,Other,4000,6000,5000,
,02/12/2016,2.7,Other,4000,6000,5000,
,03/12/2016,12.7,Other,4000,6000,5000,
,04/12/2016,4,Other,4000,6000,5000,
,05/12/2016,5,Other,4000,6000,5000,
,06/12/2016,5.5,Other,4000,6000,5000,
,07/12/2016,6.3,Other,4000,6000,5000,
,09/12/2016,6.7,Other,4000,6000,5000,
,10/12/2016,6.2,Other,4000,6000,5000,
,11/12/2016,2.2,Other,4000,6000,5000,
,12/12/2016,4,Other,4000,6000,5000,
,13/12/2016,6.2,Other,4000,6000,5000,
,14/12/2016,8,Other,4000,6000,5000,
,16/12/2016,8.3,Other,4000,6000,5000,
,17/12/2016,4,Other,4000,6000,5000,
,18/12/2016,6.5,Other,4000,6000,5000,
,19/12/2016,7.2,Other,4000,6000,5000,
,20/12/2016,3.5,Other,4000,6000,5000,
,21/12/2016,7,Other,4000,6000,5000,
,22/12/2016,7.1,Other,4000,6000,5000,
,25/12/2016,2.5,Other,4000,6000,5000,
,27/12/2016,1.3,Other,4000,6000,5000,
,28/12/2016,4.4,Other,4000,6000,5000,
,29/12/2016,6,Other,4000,6000,5000,
,30/12/2016,6.8,Other,4000,6000,5000,
,31/12/2016,16.1,Other,4000,6000,5000,
Biaora,08/12/2016,11.91,Other,1245,1465,1450,
Damoh(F&V),08/12/2016,1,Other,2500,3000,2500,
Dewas(F&V),01/12/2016,0.1,Other,6000,8000,7000,
,03/12/2016,0.1,Other,4000,8000,6000,
,06/12/2016,0.1,Other,3000,7000,5000,
,08/12/2016,0.1,Other,3000,7000,5000,
,10/12/2016,0.1,Other,2000,8000,5000,
,11/12/2016,0.1,Other,3000,7000,5000,
,15/12/2016,0.1,Other,4000,8000,6000,
,16/12/2016,0.1,Other,2000,8000,5000,
,17/12/2016,0.1,Other,2000,8000,5000,
,19/12/2016,0.1,Other,3000,6000,4500,
,21/12/2016,0.1,Other,3000,7000,5000,
,23/12/2016,0.1,Other,5000,8000,6500,
,25/12/2016,0.1,Other,400,7000,5500,
,26/12/2016,0.1,Other,3000,6000,4500,
,27/12/2016,0.1,Other,2500,6000,4050,
,28/12/2016,0.1,Other,2000,5500,3750,
,30/12/2016,0.1,Other,2200,5400,3800,
Haatpipliya,01/12/2016,0.04,Garlic,4000,8500,8000,
,02/12/2016,0.04,Garlic,3500,8500,8000,
,03/12/2016,0.03,Garlic,3000,8500,8000,
,04/12/2016,0.03,Garlic,3000,8000,7500,
,05/12/2016,0.02,Garlic,4000,8500,8000,
,06/12/2016,0.03,Garlic,3000,8000,7000,
,07/12/2016,0.02,Garlic,3000,8000,7000,
,09/12/2016,0.03,Garlic,3000,8000,7000,
,10/12/2016,0.03,Garlic,4000,8500,8000,
,11/12/2016,0.04,Garlic,5000,7500,7000,
,12/12/2016,0.01,Garlic,3000,8000,7000,
,13/12/2016,0.03,Garlic,4000,8500,7500,
,14/12/2016,0.04,Garlic,3500,8000,7000,
,15/12/2016,0.03,Garlic,4000,8000,7000,
Indore(F&V),01/12/2016,141.7,Desi,1000,10000,5000,
,02/12/2016,186.5,Desi,1000,9000,5000,
,03/12/2016,176.6,Desi,1000,8500,5000,
,05/12/2016,189.8,Desi,1200,8500,5000,
,06/12/2016,243,Desi,1200,8500,5500,
,07/12/2016,232.9,Desi,1100,8500,5500,
