Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,01/10/2016,296.6,Green Ginger,2125,3000,2542,
,03/10/2016,10.2,Green Ginger,2500,3167,2813,
,04/10/2016,547.9,Green Ginger,2500,3000,2721,
,05/10/2016,356.5,Green Ginger,2000,2833,2492,
,06/10/2016,356,Green Ginger,2000,2667,2413,
,08/10/2016,299.1,Green Ginger,2000,3000,2521,
,11/10/2016,429.1,Green Ginger,2417,3167,2708,
,12/10/2016,380.3,Green Ginger,2417,3000,2688,
,13/10/2016,304.7,Green Ginger,2417,3000,2708,
,14/10/2016,410.2,Green Ginger,2417,3000,2708,
,15/10/2016,239.5,Green Ginger,2500,3667,2896,
,17/10/2016,35.2,Green Ginger,2500,4000,3125,
,18/10/2016,487,Green Ginger,2500,3833,3104,
,19/10/2016,492.2,Green Ginger,2500,3667,2983,
,20/10/2016,443.2,Green Ginger,2000,3500,2833,
,21/10/2016,481.5,Green Ginger,2000,3500,2833,
,22/10/2016,440.3,Green Ginger,1667,3167,2575,
,24/10/2016,46.1,Green Ginger,1500,3000,2383,
,25/10/2016,580.6,Green Ginger,1500,3000,2383,
,26/10/2016,402.7,Green Ginger,1500,3000,2383,
,27/10/2016,451.1,Green Ginger,1500,3000,2383,
,28/10/2016,408.8,Green Ginger,1500,3000,2383,
,29/10/2016,484.3,Green Ginger,1500,3167,2411,
,31/10/2016,14.4,Green Ginger,1500,3000,2411,
