Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,01/08/2017,186.3,Green Ginger,2000,4500,3054,
,03/08/2017,276.4,Green Ginger,1833,4167,2933,
,04/08/2017,138.4,Green Ginger,1500,4667,2773,
,05/08/2017,239.6,Green Ginger,1500,4667,2773,
,07/08/2017,59.5,Green Ginger,1500,4667,2773,
,08/08/2017,194.1,Green Ginger,1500,4500,3027,
,09/08/2017,193.7,Green Ginger,1500,4500,2895,
,10/08/2017,304.8,Green Ginger,1500,4500,2895,
,11/08/2017,205.6,Green Ginger,1500,4667,2910,
,12/08/2017,269.6,Green Ginger,1500,4667,2910,
,14/08/2017,91.7,Green Ginger,1500,5167,3458,
,16/08/2017,14.5,Green Ginger,1500,5167,3458,
,17/08/2017,385.4,Green Ginger,1500,5500,3552,
,18/08/2017,348.3,Green Ginger,1500,5000,3273,
,19/08/2017,359.3,Green Ginger,1500,5000,3273,
,21/08/2017,173.4,Green Ginger,1500,4500,3191,
,22/08/2017,366.2,Green Ginger,1500,5000,3174,
,23/08/2017,302.6,Green Ginger,1500,5000,3174,
,24/08/2017,280.3,Green Ginger,1500,5000,3174,
,25/08/2017,283.8,Green Ginger,1500,5000,3292,
,26/08/2017,202.8,Green Ginger,1500,5000,3292,
,28/08/2017,11.1,Green Ginger,1500,5000,3292,
,29/08/2017,373.9,Green Ginger,1500,5000,3292,
,30/08/2017,288.9,Green Ginger,1500,5000,3371,
,31/08/2017,356.7,Green Ginger,1500,4800,3332,
