Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,01/07/2020,230,Green Ginger,6000,8000,7000,
,02/07/2020,220.9,Green Ginger,6000,7500,7000,
,03/07/2020,216.2,Green Ginger,6000,7500,7000,
,04/07/2020,207.1,Green Ginger,6000,7500,7000,
,06/07/2020,12.4,Green Ginger,6000,7500,7000,
,07/07/2020,152.2,Green Ginger,3800,6500,5000,
,08/07/2020,87.9,Green Ginger,3800,6500,5000,
,09/07/2020,128.4,Green Ginger,3800,6500,5000,
,10/07/2020,151.7,Green Ginger,3000,6000,4500,
,11/07/2020,178.5,Green Ginger,3000,5500,4250,
,13/07/2020,13.1,Green Ginger,3000,5000,4000,
,14/07/2020,172.7,Green Ginger,4500,6500,5250,
,15/07/2020,59.7,Green Ginger,4500,6500,5250,
,16/07/2020,153.8,Green Ginger,4500,6500,5250,
,17/07/2020,257.5,Green Ginger,4500,5500,5000,
,18/07/2020,131.1,Green Ginger,4500,5500,5000,
