Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Darjeeling,01/04/2019,0.2,Other,4800,5200,5000,
,02/04/2019,0.4,Other,4800,5200,5000,
,03/04/2019,0.3,Other,4800,5200,5000,
,04/04/2019,0.2,Other,4800,5200,5000,
,05/04/2019,0.2,Other,5400,5800,5600,
,06/04/2019,0.3,Other,5400,5800,5600,
,07/04/2019,0.5,Other,5400,5800,5600,
,08/04/2019,0.2,Other,5400,5800,5600,
,09/04/2019,0.2,Other,5400,5800,5600,
,10/04/2019,0.4,Other,5400,5800,5600,
,11/04/2019,0.2,Other,5400,5800,5600,
,19/04/2019,0.2,Other,5400,5800,5600,
,20/04/2019,0.3,Other,5400,5800,5600,
,21/04/2019,0.5,Other,5600,6000,5800,
,22/04/2019,0.2,Other,5600,6000,5800,
,23/04/2019,0.3,Other,5600,6000,5800,
,24/04/2019,0.4,Other,5600,6000,5800,
,25/04/2019,0.3,Other,5600,6000,5800,
,26/04/2019,0.2,Other,5600,6000,5800,
,27/04/2019,0.3,Other,6000,6400,6200,
,28/04/2019,0.5,Other,6000,6400,6200,
,29/04/2019,0.2,Other,6000,6400,6200,
,30/04/2019,0.6,Other,6400,6800,6600,
Siliguri,01/04/2019,19,Green Ginger,6000,7000,6500,
,02/04/2019,18,Green Ginger,6000,7000,6500,
,03/04/2019,17,Green Ginger,6000,7000,6500,
,04/04/2019,19,Green Ginger,6000,7000,6500,
,05/04/2019,21,Green Ginger,6000,7000,6500,
,06/04/2019,19,Green Ginger,6000,7000,6500,
,08/04/2019,22,Green Ginger,6000,7000,6500,
,09/04/2019,23,Green Ginger,6000,7000,6500,
,10/04/2019,24,Green Ginger,6000,7000,6500,
,11/04/2019,21,Green Ginger,6000,7000,6500,
,12/04/2019,22,Green Ginger,6000,7000,6500,
,15/04/2019,21,Green Ginger,6000,7000,6500,
,16/04/2019,22,Green Ginger,6000,7000,6500,
,22/04/2019,21,Green Ginger,9000,11000,10000,
,23/04/2019,19,Green Ginger,9000,11000,10000,
,24/04/2019,18,Green Ginger,9000,11000,10000,
,25/04/2019,19,Green Ginger,9000,11000,10000,
,26/04/2019,18,Green Ginger,9000,11000,10000,
,30/04/2019,17,Green Ginger,9000,11000,10000,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Darjeeling,01/04/2019,0.2,Other,4800,5200,5000,
,02/04/2019,0.4,Other,4800,5200,5000,
,03/04/2019,0.3,Other,4800,5200,5000,
,04/04/2019,0.2,Other,4800,5200,5000,
,05/04/2019,0.2,Other,5400,5800,5600,
,06/04/2019,0.3,Other,5400,5800,5600,
,07/04/2019,0.5,Other,5400,5800,5600,
,08/04/2019,0.2,Other,5400,5800,5600,
,09/04/2019,0.2,Other,5400,5800,5600,
,10/04/2019,0.4,Other,5400,5800,5600,
,11/04/2019,0.2,Other,5400,5800,5600,
,19/04/2019,0.2,Other,5400,5800,5600,
,20/04/2019,0.3,Other,5400,5800,5600,
,21/04/2019,0.5,Other,5600,6000,5800,
,22/04/2019,0.2,Other,5600,6000,5800,
,23/04/2019,0.3,Other,5600,6000,5800,
,24/04/2019,0.4,Other,5600,6000,5800,
,25/04/2019,0.3,Other,5600,6000,5800,
,26/04/2019,0.2,Other,5600,6000,5800,
,27/04/2019,0.3,Other,6000,6400,6200,
,28/04/2019,0.5,Other,6000,6400,6200,
,29/04/2019,0.2,Other,6000,6400,6200,
,30/04/2019,0.6,Other,6400,6800,6600,
Siliguri,01/04/2019,19,Green Ginger,6000,7000,6500,
,02/04/2019,18,Green Ginger,6000,7000,6500,
,03/04/2019,17,Green Ginger,6000,7000,6500,
,04/04/2019,19,Green Ginger,6000,7000,6500,
,05/04/2019,21,Green Ginger,6000,7000,6500,
,06/04/2019,19,Green Ginger,6000,7000,6500,
,08/04/2019,22,Green Ginger,6000,7000,6500,
,09/04/2019,23,Green Ginger,6000,7000,6500,
,10/04/2019,24,Green Ginger,6000,7000,6500,
,11/04/2019,21,Green Ginger,6000,7000,6500,
,12/04/2019,22,Green Ginger,6000,7000,6500,
,15/04/2019,21,Green Ginger,6000,7000,6500,
,16/04/2019,22,Green Ginger,6000,7000,6500,
,22/04/2019,21,Green Ginger,9000,11000,10000,
,23/04/2019,19,Green Ginger,9000,11000,10000,
,24/04/2019,18,Green Ginger,9000,11000,10000,
,25/04/2019,19,Green Ginger,9000,11000,10000,
,26/04/2019,18,Green Ginger,9000,11000,10000,
,30/04/2019,17,Green Ginger,9000,11000,10000,
