Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/05/2018,14,Kala Masoor New,3850,4100,3980,
,02/05/2018,15,Kala Masoor New,3800,4100,3950,
,03/05/2018,20,Kala Masoor New,3700,3950,3800,
,04/05/2018,17,Kala Masoor New,3700,4000,3850,
,05/05/2018,18,Kala Masoor New,3700,3950,3840,
,07/05/2018,160,Kala Masoor New,3700,4000,3850,
,08/05/2018,19,Kala Masoor New,3700,3950,3820,
,09/05/2018,20,Kala Masoor New,3700,3900,3800,
,10/05/2018,21,Kala Masoor New,3700,3950,3830,
,11/05/2018,15,Kala Masoor New,3600,3850,3750,
,12/05/2018,14,Kala Masoor New,3650,3900,3780,
,14/05/2018,12.5,Kala Masoor New,3700,3900,3800,
,15/05/2018,13,Kala Masoor New,3650,3900,3790,
,16/05/2018,12,Kala Masoor New,3700,3900,3800,
,18/05/2018,15,Kala Masoor New,3600,3850,3750,
,19/05/2018,13,Kala Masoor New,3600,3850,3780,
,21/05/2018,12,Kala Masoor New,3700,3900,3800,
,22/05/2018,13,Kala Masoor New,3600,3900,3750,
,24/05/2018,14,Kala Masoor New,3650,3900,3760,
,25/05/2018,10,Kala Masoor New,3600,3900,3750,
,26/05/2018,11,Kala Masoor New,3600,3800,3700,
,28/05/2018,10,Kala Masoor New,3650,3900,3780,
,29/05/2018,11,Kala Masoor New,3600,3900,3750,
,30/05/2018,12,Kala Masoor New,3600,3900,3740,
,31/05/2018,12.5,Kala Masoor New,3600,3800,3700,
Ait,05/05/2018,1,Other,3210,3230,3220,
,07/05/2018,1.2,Other,3150,3170,3160,
,11/05/2018,1.5,Other,3200,3220,3210,
,16/05/2018,1.6,Other,3140,3160,3150,
,18/05/2018,1.5,Other,3120,3140,3130,
,19/05/2018,1,Other,3115,3135,3125,
,20/05/2018,1.6,Other,3200,3220,3210,
,22/05/2018,1.6,Other,3190,3210,3200,
,27/05/2018,1.6,Other,3240,3260,3250,
,28/05/2018,1.4,Other,3210,3230,3220,
,30/05/2018,0.9,Other,3240,3260,3250,
Aligarh,01/05/2018,6,Masoor Gola,3750,3850,3800,
,02/05/2018,7,Masoor Gola,3700,3800,3750,
,03/05/2018,8,Masoor Gola,3650,3750,3700,
,04/05/2018,6,Masoor Gola,3700,3800,3750,
,05/05/2018,5,Masoor Gola,3650,3750,3700,
,07/05/2018,4,Masoor Gola,3700,3800,3750,
,08/05/2018,25,Masoor Gola,3700,3800,3750,
,09/05/2018,6,Masoor Gola,3700,3800,3750,
,10/05/2018,7,Masoor Gola,3650,3750,3700,
,11/05/2018,6,Masoor Gola,3650,3750,3700,
,12/05/2018,5,Masoor Gola,3700,3800,3750,
,14/05/2018,6,Masoor Gola,3650,3750,3700,
,15/05/2018,5,Masoor Gola,3700,3800,3750,
,16/05/2018,6,Masoor Gola,3650,3750,3700,
,17/05/2018,7,Masoor Gola,3650,3750,3700,
,18/05/2018,6,Masoor Gola,3700,3800,3750,
,19/05/2018,7,Masoor Gola,3700,3800,3750,
,21/05/2018,7,Masoor Gola,3650,3750,3700,
,22/05/2018,6,Masoor Gola,3650,3750,3700,
,23/05/2018,7,Masoor Gola,3700,3800,3750,
,24/05/2018,8,Masoor Gola,3650,3750,3700,
,25/05/2018,6,Masoor Gola,3700,3800,3750,
,26/05/2018,7,Masoor Gola,3650,3750,3700,
,28/05/2018,6,Masoor Gola,3650,3750,3700,
,29/05/2018,7,Masoor Gola,3650,3750,3700,
,30/05/2018,5,Masoor Gola,3700,3800,3750,
,31/05/2018,6,Masoor Gola,3650,3750,3700,
Atarra,01/05/2018,21,Other,2900,3100,3000,
,03/05/2018,28,Other,2900,3100,3000,
,05/05/2018,30,Other,2900,3100,3000,
,06/05/2018,12,Other,2900,3100,3000,
,07/05/2018,16,Other,2900,3100,3000,
,08/05/2018,18,Other,2900,3200,3000,
,09/05/2018,15,Other,2900,3100,3000,
,10/05/2018,14,Other,2900,3100,3000,
,12/05/2018,12.5,Other,2900,3100,3000,
,13/05/2018,13,Other,2900,3100,3000,
,14/05/2018,16,Other,2900,3100,3000,
,15/05/2018,14,Other,2900,3100,3000,
,16/05/2018,10,Other,2900,3100,3000,
,17/05/2018,12,Other,2900,3100,3000,
,19/05/2018,14,Other,3000,3100,3050,
,20/05/2018,16,Other,3000,3100,3050,
,21/05/2018,20,Other,3000,3100,3050,
,22/05/2018,25,Other,3000,3100,3050,
,23/05/2018,20,Other,3000,3100,3050,
,24/05/2018,13,Other,3000,3100,3050,
,26/05/2018,16,Other,3000,3100,3050,
,27/05/2018,14,Other,3000,3200,3100,
,28/05/2018,10,Other,3000,3200,3100,
,29/05/2018,12.5,Other,3000,3200,3100,
,30/05/2018,12,Other,3000,3200,3100,
,31/05/2018,13,Other,3000,3200,3100,
Auraiya,01/05/2018,1.6,Kala Masoor New,3350,3450,3400,
,02/05/2018,1.5,Kala Masoor New,3400,3500,3450,
,03/05/2018,5,Kala Masoor New,3300,3400,3350,
,04/05/2018,4.5,Kala Masoor New,3350,3500,3400,
,05/05/2018,10,Kala Masoor New,3300,3400,3350,
,07/05/2018,8,Kala Masoor New,3200,3400,3300,
,08/05/2018,3,Kala Masoor New,3250,3350,3300,
,09/05/2018,2.5,Kala Masoor New,3200,3400,3300,
,10/05/2018,2.5,Kala Masoor New,3250,3350,3300,
,11/05/2018,3,Kala Masoor New,3200,3400,3300,
,12/05/2018,2.5,Kala Masoor New,3300,3400,3350,
,14/05/2018,2.6,Kala Masoor New,3350,3450,3400,
,15/05/2018,1,Kala Masoor New,3200,3350,3300,
