Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/02/2019,7,Kala Masoor New,5000,5200,5100,
,02/02/2019,8,Kala Masoor New,5050,5280,5150,
,04/02/2019,9,Kala Masoor New,5050,5250,5140,
,05/02/2019,7,Kala Masoor New,5100,5300,5200,
,06/02/2019,7.5,Kala Masoor New,5100,5250,5180,
,07/02/2019,8,Kala Masoor New,5050,5250,5150,
,08/02/2019,6.5,Kala Masoor New,5100,5300,5200,
,09/02/2019,6,Kala Masoor New,5050,5250,5150,
,11/02/2019,7,Kala Masoor New,5100,5250,5180,
,12/02/2019,6.5,Kala Masoor New,5100,5300,5200,
,13/02/2019,6,Kala Masoor New,5100,5250,5180,
,14/02/2019,7,Kala Masoor New,5050,5250,5150,
,15/02/2019,4.5,Kala Masoor New,5000,5150,5080,
,16/02/2019,6,Kala Masoor New,4950,5150,5050,
,18/02/2019,4,Kala Masoor New,5000,5200,5100,
,19/02/2019,6,Kala Masoor New,5050,5250,5150,
,20/02/2019,5.5,Kala Masoor New,5100,5250,5180,
,21/02/2019,7.5,Kala Masoor New,5100,5250,5160,
,22/02/2019,8,Kala Masoor New,5050,5250,5150,
,23/02/2019,7.5,Kala Masoor New,5100,5300,5200,
,25/02/2019,9,Kala Masoor New,5080,5300,5180,
,26/02/2019,7.5,Kala Masoor New,5100,5300,5200,
,27/02/2019,8,Kala Masoor New,5050,5250,5150,
,28/02/2019,9.5,Kala Masoor New,5050,5280,5120,
Akbarpur,01/02/2019,6.7,Kala Masoor New,4970,5080,5020,
,08/02/2019,7,Kala Masoor New,4970,5080,5030,
,15/02/2019,7.5,Kala Masoor New,4950,5050,5000,
,22/02/2019,7.8,Kala Masoor New,4980,5070,5020,
Aligarh,01/02/2019,1,Masoor Gola,5100,5200,5150,
,02/02/2019,1,Masoor Gola,5050,5150,5100,
,04/02/2019,1,Masoor Gola,5050,5150,5100,
,05/02/2019,1,Masoor Gola,5100,5200,5150,
,06/02/2019,1,Masoor Gola,5050,5150,5100,
,07/02/2019,1,Masoor Gola,5100,5200,5150,
,08/02/2019,1,Masoor Gola,5050,5150,5100,
,09/02/2019,1,Masoor Gola,5100,5200,5150,
,11/02/2019,1,Masoor Gola,5050,5150,5100,
,12/02/2019,1,Masoor Gola,5100,5200,5150,
,13/02/2019,1,Masoor Gola,5050,5150,5100,
,14/02/2019,1,Masoor Gola,5050,5150,5100,
,15/02/2019,1,Masoor Gola,5100,5200,5150,
,16/02/2019,1,Masoor Gola,5050,5150,5100,
,18/02/2019,1,Masoor Gola,5100,5200,5150,
,19/02/2019,1,Masoor Gola,5050,5150,5100,
,20/02/2019,1,Masoor Gola,5100,5200,5150,
,21/02/2019,1,Masoor Gola,5100,5200,5150,
,22/02/2019,1,Masoor Gola,5050,5150,5100,
,23/02/2019,1,Masoor Gola,5100,5200,5150,
,25/02/2019,1.5,Masoor Gola,5050,5150,5100,
,26/02/2019,1,Masoor Gola,5100,5200,5150,
,27/02/2019,1,Masoor Gola,5050,5150,5100,
,28/02/2019,1,Masoor Gola,5100,5200,5150,
Atarra,02/02/2019,6,Masoor Gola,3700,3900,3800,
,03/02/2019,4,Masoor Gola,3700,3900,3800,
,04/02/2019,5,Masoor Gola,3700,3900,3800,
,05/02/2019,3,Masoor Gola,3700,3900,3800,
,06/02/2019,6,Masoor Gola,3700,3900,3800,
,09/02/2019,4,Masoor Gola,3700,3900,3800,
,10/02/2019,5,Masoor Gola,3700,3900,3800,
,11/02/2019,6,Masoor Gola,3800,3900,3850,
,12/02/2019,7,Masoor Gola,3800,4000,3900,
,13/02/2019,4,Masoor Gola,3840,3950,3900,
,14/02/2019,3.5,Masoor Gola,3800,4000,3900,
,16/02/2019,6,Masoor Gola,3800,4000,3900,
,17/02/2019,7.5,Masoor Gola,3800,4000,3900,
,18/02/2019,5,Masoor Gola,3850,3950,3900,
,20/02/2019,12,Masoor Gola,3850,3950,3900,
,21/02/2019,12,Masoor Gola,3850,3950,3900,
,23/02/2019,10,Masoor Gola,3850,3950,3900,
,24/02/2019,11,Masoor Gola,3800,3900,3850,
,25/02/2019,9,Masoor Gola,3800,3900,3850,
,26/02/2019,10,Masoor Gola,3800,3900,3850,
,27/02/2019,11,Masoor Gola,3800,3900,3850,
,28/02/2019,10,Masoor Gola,3800,3900,3850,
Auraiya,01/02/2019,1,Kala Masoor New,3700,3900,3800,
,02/02/2019,1,Kala Masoor New,3750,4000,3850,
,04/02/2019,1,Kala Masoor New,3700,3900,3800,
,05/02/2019,1,Kala Masoor New,3650,3850,3750,
,06/02/2019,1,Kala Masoor New,3700,3900,3800,
,07/02/2019,1,Kala Masoor New,3800,4000,3900,
,08/02/2019,1,Kala Masoor New,3700,3900,3800,
,09/02/2019,1,Kala Masoor New,3800,3900,3850,
,11/02/2019,1,Kala Masoor New,3800,4000,3900,
,12/02/2019,1,Kala Masoor New,3700,3900,3800,
,13/02/2019,1,Kala Masoor New,3750,3950,3850,
,14/02/2019,1,Kala Masoor New,3700,3900,3800,
,15/02/2019,1,Kala Masoor New,3700,3900,3825,
,16/02/2019,1,Kala Masoor New,3750,3950,3850,
,18/02/2019,1,Kala Masoor New,3700,3900,3800,
,19/02/2019,1,Kala Masoor New,3650,3850,3750,
,20/02/2019,1,Kala Masoor New,3700,3850,3780,
,21/02/2019,1,Kala Masoor New,3800,4000,3900,
,22/02/2019,1,Kala Masoor New,3800,4100,3950,
,23/02/2019,1,Kala Masoor New,3900,4100,4000,
,25/02/2019,1,Kala Masoor New,4000,4200,4100,
,26/02/2019,1,Kala Masoor New,3900,4100,4000,
,27/02/2019,1,Kala Masoor New,4000,4200,4100,
,28/02/2019,1,Kala Masoor New,4050,4250,4150,
Azamgarh,01/02/2019,1.8,Masoor Gola,4380,4450,4415,
,02/02/2019,2.1,Masoor Gola,4380,4500,4410,
,04/02/2019,2.3,Masoor Gola,4360,4460,4410,
,05/02/2019,2.5,Masoor Gola,4360,4460,4410,
,06/02/2019,2,Masoor Gola,4380,4440,4415,
,07/02/2019,2.8,Masoor Gola,4380,4450,4415,
,08/02/2019,2.2,Masoor Gola,4390,4450,4415,
,09/02/2019,2.5,Masoor Gola,4360,4460,4410,
,11/02/2019,2,Masoor Gola,4360,4460,4410,
,12/02/2019,1.8,Masoor Gola,4360,4460,4410,
,13/02/2019,1.5,Masoor Gola,4365,4465,4415,
,14/02/2019,1.6,Masoor Gola,4350,4450,4400,
,15/02/2019,1.8,Masoor Gola,4380,4440,4400,
,16/02/2019,2,Masoor Gola,4360,4460,4410,
,18/02/2019,1.5,Masoor Gola,4360,4460,4410,
,19/02/2019,1.8,Masoor Gola,4360,4460,4410,
,20/02/2019,1.2,Masoor Gola,4365,4465,4415,
,21/02/2019,1,Masoor Gola,4380,4470,4420,
,22/02/2019,1.1,Masoor Gola,4400,4450,4420,
,23/02/2019,1.2,Masoor Gola,4380,4460,4410,
,25/02/2019,1,Masoor Gola,4380,4500,4415,
,26/02/2019,1.5,Masoor Gola,4365,4465,4415,
,27/02/2019,1.2,Masoor Gola,4370,4470,4420,
,28/02/2019,1,Masoor Gola,4370,4470,4420,
Baberu,01/02/2019,3,Masoor Gola,3790,3950,3875,
,02/02/2019,2.7,Masoor Gola,3840,4000,3920,
,03/02/2019,3,Masoor Gola,3810,3970,3890,
,04/02/2019,3.3,Masoor Gola,3790,3960,3875,
,05/02/2019,2.8,Masoor Gola,3815,3975,3890,
,07/02/2019,3.2,Masoor Gola,3845,4010,3930,
,08/02/2019,3,Masoor Gola,3850,4010,3930,
,09/02/2019,3.5,Masoor Gola,3830,3990,3910,
,10/02/2019,4,Masoor Gola,3845,4015,3930,
,11/02/2019,3.2,Masoor Gola,3830,3990,3910,
,12/02/2019,2.7,Masoor Gola,3790,3965,3875,
,14/02/2019,3,Masoor Gola,3845,4015,3930,
,15/02/2019,2.8,Masoor Gola,3790,3960,3875,
,16/02/2019,2.5,Masoor Gola,3775,3975,3875,
,17/02/2019,2.9,Masoor Gola,3800,3980,3890,
,18/02/2019,2.6,Masoor Gola,3785,3965,3875,
,19/02/2019,3,Masoor Gola,3785,3965,3875,
,21/02/2019,3.8,Masoor Gola,3700,3880,3790,
,22/02/2019,2.7,Masoor Gola,3700,3880,3790,
,23/02/2019,2.9,Masoor Gola,3650,3850,3750,
,24/02/2019,3.6,Masoor Gola,3650,3810,3730,
,25/02/2019,2.6,Masoor Gola,3650,3810,3730,
,26/02/2019,3,Masoor Gola,3610,3790,3700,
,28/02/2019,3.5,Masoor Gola,3650,3810,3730,
Badayoun,01/02/2019,1,Masoor Gola,4280,4400,4360,
,04/02/2019,1,Masoor Gola,4260,4485,4365,
,05/02/2019,0.5,Masoor Gola,4250,4420,4370,
,08/02/2019,0.5,Masoor Gola,4260,4450,4360,
,11/02/2019,0.4,Masoor Gola,4250,4450,4360,
,14/02/2019,0.3,Masoor Gola,4390,4850,4660,
,15/02/2019,0.4,Masoor Gola,4400,4800,4630,
,18/02/2019,0.4,Masoor Gola,4420,4800,4620,
,19/02/2019,0.5,Masoor Gola,4410,4800,4600,
,20/02/2019,0.3,Masoor Gola,4400,4800,4610,
,21/02/2019,0.2,Masoor Gola,4400,4800,4600,
,22/02/2019,0.3,Masoor Gola,4400,4800,4610,
,23/02/2019,0.2,Masoor Gola,4400,4800,4600,
,25/02/2019,0.5,Masoor Gola,4400,4800,4600,
,26/02/2019,0.4,Masoor Gola,4400,4800,4600,
Ballia,01/02/2019,11,Masoor Gola,4280,4420,4350,
,02/02/2019,12,Masoor Gola,4280,4400,4340,
,04/02/2019,14,Masoor Gola,4275,4385,4325,
,05/02/2019,7,Masoor Gola,4300,4410,4350,
,06/02/2019,5,Masoor Gola,4300,4400,4360,
,07/02/2019,7,Masoor Gola,4280,4360,4325,
,11/02/2019,5,Masoor Gola,4280,4420,4350,
,12/02/2019,6.5,Masoor Gola,4270,4410,4340,
,13/02/2019,8,Masoor Gola,4270,4390,4325,
,14/02/2019,6.5,Masoor Gola,4270,4390,4330,
,15/02/2019,8,Masoor Gola,4300,4400,4350,
,16/02/2019,7,Masoor Gola,4290,4410,4350,
,18/02/2019,5,Masoor Gola,4320,4430,4375,
,20/02/2019,8,Masoor Gola,4300,4400,4350,
,21/02/2019,11,Masoor Gola,4300,4420,4375,
,22/02/2019,10,Masoor Gola,4300,4430,4375,
,23/02/2019,9,Masoor Gola,4300,4400,4360,
,25/02/2019,9,Masoor Gola,4300,4360,4350,
