Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/06/2020,1,Kala Masoor New,5580,5700,5640,
,02/06/2020,1.5,Kala Masoor New,5800,5900,5850,
,03/06/2020,1,Kala Masoor New,5800,5940,5860,
,04/06/2020,2,Kala Masoor New,5800,5920,5865,
,05/06/2020,2.5,Kala Masoor New,5800,5920,5860,
,06/06/2020,1,Kala Masoor New,5800,5900,5850,
,08/06/2020,2.5,Kala Masoor New,5780,5920,5840,
,09/06/2020,1.5,Kala Masoor New,5800,5900,5860,
,10/06/2020,2,Kala Masoor New,5800,5950,5900,
,11/06/2020,1,Kala Masoor New,5800,5950,5870,
,12/06/2020,1.5,Kala Masoor New,5750,5950,5860,
,15/06/2020,2,Kala Masoor New,5750,5850,5800,
Aligarh,01/06/2020,2,Masoor Gola,5950,6050,6000,
,02/06/2020,2,Masoor Gola,6000,6100,6050,
,03/06/2020,3,Masoor Gola,5950,6050,6000,
,04/06/2020,2,Masoor Gola,5950,6050,6000,
,05/06/2020,3,Masoor Gola,6020,6080,6050,
,06/06/2020,3,Masoor Gola,5950,6050,6000,
,08/06/2020,2,Masoor Gola,5950,6050,6000,
,09/06/2020,3,Masoor Gola,6000,6100,6050,
,10/06/2020,2,Masoor Gola,5950,6050,6000,
,11/06/2020,2,Masoor Gola,5950,6050,6000,
,12/06/2020,3,Masoor Gola,5950,6050,6000,
,13/06/2020,2,Masoor Gola,5800,5900,5850,
,15/06/2020,3,Masoor Gola,5750,5850,5800,
Azamgarh,01/06/2020,2,Masoor Gola,4900,5000,4950,
,02/06/2020,1.8,Masoor Gola,4950,5000,4975,
,03/06/2020,1,Masoor Gola,4950,5000,4975,
,04/06/2020,1.5,Masoor Gola,4940,5000,4970,
,05/06/2020,1.4,Masoor Gola,4915,5000,4960,
,06/06/2020,1.5,Masoor Gola,4920,4980,4950,
,07/06/2020,1.6,Masoor Gola,4900,5000,4950,
,08/06/2020,1.7,Masoor Gola,4900,5000,4950,
,09/06/2020,1.4,Masoor Gola,4850,4950,4900,
