Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/07/2017,40,Dara,1400,1625,1500,
,04/07/2017,20,Other,1400,1625,1500,
,05/07/2017,40,Dara,1400,1625,1500,
,06/07/2017,30,Dara,1400,1625,1500,
,07/07/2017,10,Dara,1500,1625,1600,
,08/07/2017,20,Dara,1500,1625,1600,
,09/07/2017,30,Dara,1500,1625,1600,
,11/07/2017,20,Dara,1500,1625,1600,
,12/07/2017,10,Dara,1400,1625,1550,
,13/07/2017,30,Dara,1300,1600,1400,
,14/07/2017,10,Dara,1400,1600,1500,
,15/07/2017,20,Dara,1300,1500,1400,
,16/07/2017,30,Other,1300,1600,1400,
,18/07/2017,30.3,Dara,1300,1600,1400,
,19/07/2017,20,Dara,1300,1600,1400,
,20/07/2017,62.1,Dara,1300,1600,1500,
,21/07/2017,30,Dara,1300,1600,1500,
,22/07/2017,20,Dara,1300,1590,1400,
,23/07/2017,10, ,NR,NR,NR,
,25/07/2017,20,Dara,1300,1590,1400,
,26/07/2017,40,Dara,1200,1600,1400,
,27/07/2017,20,Dara,1300,1600,1400,
,28/07/2017,30,Other,1300,1600,1400,
,29/07/2017,10,Dara,1200,1590,1400,
,30/07/2017,20,Dara,1000,1300,1100,
Achnera,01/07/2017,24,Dara,1622,1628,1625,
,02/07/2017,19,Dara,1625,1630,1628,
,03/07/2017,18,Dara,1625,1630,1628,
,04/07/2017,22.5,Dara,1625,1630,1628,
,05/07/2017,25,Dara,1625,1630,1628,
,07/07/2017,30,Dara,1623,1628,1625,
,08/07/2017,28,Dara,1622,1628,1625,
,09/07/2017,27,Dara,1621,1628,1625,
,10/07/2017,29,Dara,1622,1628,1625,
,11/07/2017,35,Dara,1624,1630,1628,
,12/07/2017,38,Dara,1620,1628,1625,
,14/07/2017,35,Dara,1620,1628,1625,
,15/07/2017,28,Dara,1612,1625,1620,
,16/07/2017,25,Dara,1620,1628,1625,
,17/07/2017,27,Dara,1610,1625,1620,
,18/07/2017,25,Dara,1610,1625,1620,
,19/07/2017,30,Dara,1610,1625,1620,
